Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana (Saba),CAR,Abra,1400100000,,,,,,0.01,0.03
Banana (Saba),CAR,Apayao,1408100000,,,,,,0.01,0.00
Banana (Saba),CAR,Benguet,1401100000,,,,,,0.02,0.02
Banana (Saba),CAR,Ifugao,1402700000,,,,,,0.01,0.00
Banana (Saba),CAR,Kalinga,1403200000,,,,,,0.00,0.00
Banana (Saba),CAR,Mountain Province,1404400000,,,,,,0.01,0.00
Banana (Saba),Region I,Ilocos Norte,0102800000,,,,,,0.01,0.01
Banana (Saba),Region I,Ilocos Sur,0102900000,,,,,,0.01,0.01
Banana (Saba),Region I,La Union,0103300000,,,,,,0.01,0.01
Banana (Saba),Region I,Pangasinan,0105500000,,,,,,0.00,0.00
Banana (Saba),Region II,Batanes,0200900000,,,,,,0.00,0.00
Banana (Saba),Region II,Cagayan,0201500000,,,,,,0.01,0.00
Banana (Saba),Region II,Isabela,0203100000,,,,,,0.01,0.00
Banana (Saba),Region II,Nueva Vizcaya,0205000000,,,,,,0.01,0.01
Banana (Saba),Region II,Quirino,0205700000,,,,,,0.01,0.00
Banana (Saba),Region III,Aurora,0307700000,,,,,,0.00,0.00
Banana (Saba),Region III,Bataan,0300800000,,,,,,0.00,0.00
Banana (Saba),Region III,Bulacan,0301400000,,,,,,0.01,0.01
Banana (Saba),Region III,Nueva Ecija,0304900000,,,,,,0.01,0.00
Banana (Saba),Region III,Pampanga,0305400000,,,,,,0.00,0.00
Banana (Saba),Region III,Tarlac,0306900000,,,,,,0.01,0.01
Banana (Saba),Region III,Zambales,0307100000,,,,,,0.01,0.01
Banana (Saba),Region IV-A,Batangas,0401000000,,,,,,0.00,0.00
Banana (Saba),Region IV-A,Cavite,0402100000,,,,,,0.01,0.01
Banana (Saba),Region IV-A,Laguna,0403400000,,,,,,0.00,0.00
Banana (Saba),Region IV-A,Quezon,0405600000,,,,,,0.00,0.00
Banana (Saba),Region IV-A,Rizal,0405800000,,,,,,0.00,0.00
