Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ginger,CAR,Abra,1400100000,,,,,,2.19,2.89
Ginger,CAR,Apayao,1408100000,,,,,,4.07,4.23
Ginger,CAR,Benguet,1401100000,,,,,,9.56,12.14
Ginger,CAR,Ifugao,1402700000,,,,,,10.28,7.12
Ginger,CAR,Kalinga,1403200000,,,,,,6.60,8.86
Ginger,CAR,Mountain Province,1404400000,,,,,,3.99,0.45
Ginger,Region I,Ilocos Norte,0102800000,,,,,,6.98,7.35
Ginger,Region I,Ilocos Sur,0102900000,,,,,,3.79,6.79
Ginger,Region I,La Union,0103300000,,,,,,4.76,5.33
Ginger,Region I,Pangasinan,0105500000,,,,,,4.71,3.88
Ginger,Region II,Batanes,0200900000,,,,,,2.13,2.10
Ginger,Region II,Cagayan,0201500000,,,,,,5.75,6.59
Ginger,Region II,Isabela,0203100000,,,,,,6.35,7.19
Ginger,Region II,Nueva Vizcaya,0205000000,,,,,,7.65,11.53
Ginger,Region II,Quirino,0205700000,,,,,,8.30,8.58
Ginger,Region III,Aurora,0307700000,,,,,,5.11,9.08
Ginger,Region III,Bataan,0300800000,,,,,,7.46,
Ginger,Region III,Bulacan,0301400000,,,,,,10.72,
Ginger,Region III,Nueva Ecija,0304900000,,,,,,3.67,4.50
Ginger,Region III,Pampanga,0305400000,,,,,,6.25,1.24
Ginger,Region III,Tarlac,0306900000,,,,,,7.19,6.43
Ginger,Region III,Zambales,0307100000,,,,,,7.12,21.22
Ginger,Region IV-A,Batangas,0401000000,,,,,,2.91,3.78
Ginger,Region IV-A,Cavite,0402100000,,,,,,7.39,7.11
Ginger,Region IV-A,Laguna,0403400000,,,,,,5.43,0.00
Ginger,Region IV-A,Quezon,0405600000,,,,,,10.19,13.09
Ginger,Region IV-A,Rizal,0405800000,,,,,,4.93,13.70
Ginger,MIMAROPA,Marinduque,1704000000,,,,,,2.91,0.22
Ginger,MIMAROPA,Occidental Mindoro,1705100000,,,,,,4.58,8.00
Ginger,MIMAROPA,Oriental Mindoro,1705200000,,,,,,3.22,0.27
Ginger,MIMAROPA,Palawan,1705300000,,,,,,3.08,3.46
Ginger,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,1.49
Ginger,MIMAROPA,Romblon,1705900000,,,,,,8.18,7.85
Ginger,Region V,Albay,0500500000,,,,,,0.34,0.04
Ginger,Region V,Camarines Norte,0501600000,,,,,,200.83,1.14
Ginger,Region V,Camarines Sur,0501700000,,,,,,3.04,2.69
Ginger,Region V,Catanduanes,0502000000,,,,,,10.46,0.50
Ginger,Region V,Masbate,0504100000,,,,,,1.92,8.97
Ginger,Region V,Sorsogon,0506200000,,,,,,4.02,4.09
Ginger,Region VI,Aklan,0600400000,,,,,,8.62,8.59
Ginger,Region VI,Antique,0600600000,,,,,,5.77,5.71
Ginger,Region VI,Capiz,0601900000,,,,,,6.88,6.76
Ginger,Region VI,Guimaras,0607900000,,,,,,7.83,10.50
Ginger,Region VI,Iloilo,0603000000,,,,,,6.96,8.03
Ginger,NIR,Negros Occidental,1804500000,,,,,,,
Ginger,NIR,Negros Occidental,1804500000,,,,,,11.17,12.01
