Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14001,Abra,60099.00,55337.00,53681.95,48837.60,51901.30
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14081,Apayao,64076.28,57858.11,61745.47,52014.41,41739.54
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14011,Benguet,20861.00,20745.77,19123.15,16249.60,16997.25
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14027,Ifugao,39979.02,30448.06,31763.58,26634.55,29702.82
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14032,Kalinga,118287.64,110426.26,109292.01,97681.84,133721.10
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14044,Mountain Province,13875.32,13746.96,10813.92,10758.55,11092.00
Irrigated Palay,REGION I (ILOCOS REGION),PH01028,Ilocos Norte,286064.60,286685.50,289895.00,292835.50,299859.80
Irrigated Palay,REGION I (ILOCOS REGION),PH01029,Ilocos Sur,161461.00,161888.83,162747.00,157265.00,150517.00
Irrigated Palay,REGION I (ILOCOS REGION),PH01033,La Union,102738.00,110699.50,112205.13,111784.57,112392.58
Irrigated Palay,REGION I (ILOCOS REGION),PH01055,Pangasinan,829477.00,845801.00,856501.03,841488.00,839928.97
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02009,Batanes,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02015,Cagayan,897380.00,909003.00,944681.00,888425.00,917540.00
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02031,Isabela,1366983.53,1395376.56,1407282.65,1389630.81,1434238.76
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02050,Nueva Vizcaya,298907.00,276919.63,289970.89,282025.90,294161.40
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02057,Quirino,117388.00,108501.63,109950.73,94507.16,104798.89
Irrigated Palay,REGION III (CENTRAL LUZON),PH03077,Aurora,110260.00,101636.00,96764.12,81594.10,81181.11
Irrigated Palay,REGION III (CENTRAL LUZON),PH03008,Bataan,116003.05,114451.46,108184.07,106129.43,105191.85
Irrigated Palay,REGION III (CENTRAL LUZON),PH03014,Bulacan,326677.64,363362.65,340854.32,295751.00,323853.00
Irrigated Palay,REGION III (CENTRAL LUZON),PH03049,Nueva Ecija,1822245.97,1754296.10,1820369.53,1761056.06,1801091.96
Irrigated Palay,REGION III (CENTRAL LUZON),PH03054,Pampanga,476974.60,474339.44,463526.28,421586.75,418908.75
Irrigated Palay,REGION III (CENTRAL LUZON),PH03069,Tarlac,585616.81,586344.56,592478.23,603758.00,607263.45
Irrigated Palay,REGION III (CENTRAL LUZON),PH03071,Zambales,117485.16,102020.84,105965.82,106863.09,117695.44
Irrigated Palay,REGION IV-A (CALABARZON),PH04010,Batangas,26724.84,27369.61,32418.66,17188.99,20716.00
Irrigated Palay,REGION IV-A (CALABARZON),PH04021,Cavite,27089.66,22744.58,20668.09,15205.98,18818.75
Irrigated Palay,REGION IV-A (CALABARZON),PH04034,Laguna,116832.31,124491.01,142053.67,111209.67,163558.96
Irrigated Palay,REGION IV-A (CALABARZON),PH04056,Quezon,127357.00,113964.00,132266.00,94284.45,102209.85
Irrigated Palay,REGION IV-A (CALABARZON),PH04058,Rizal,21782.16,21752.86,21519.02,17157.82,16885.69
Irrigated Palay,MIMAROPA REGION,PH17040,Marinduque,10627.00,11392.59,10549.00,9230.00,11507.08
Irrigated Palay,MIMAROPA REGION,PH17051,Occidental Mindoro,258025.00,252297.22,260157.89,235601.89,348828.29
Irrigated Palay,MIMAROPA REGION,PH17052,Oriental Mindoro,340002.74,322873.78,312077.22,298348.70,308366.67
Irrigated Palay,MIMAROPA REGION,PH17053,Palawan,251514.00,267223.13,285628.65,279653.50,280078.71
Irrigated Palay,MIMAROPA REGION,PH17059,Romblon,19786.00,20611.24,21065.61,18041.44,20557.00
Irrigated Palay,REGION V (BICOL REGION),PH05005,Albay,190727.00,193457.00,196126.35,174048.80,177262.61
Irrigated Palay,REGION V (BICOL REGION),PH05016,Camarines Norte,79206.88,73657.05,71828.78,58883.09,61204.01
Irrigated Palay,REGION V (BICOL REGION),PH05017,Camarines Sur,536442.00,514860.00,503853.00,493475.00,495077.00
Irrigated Palay,REGION V (BICOL REGION),PH05020,Catanduanes,13089.49,12804.97,8227.66,8653.20,11668.49
Irrigated Palay,REGION V (BICOL REGION),PH05041,Masbate,39992.00,35166.00,36286.20,31771.11,43585.00
Irrigated Palay,REGION V (BICOL REGION),PH05062,Sorsogon,113741.00,109348.45,106718.75,92603.66,80505.45
Irrigated Palay,REGION VI (WESTERN VISAYAS),PH06004,Aklan,59082.25,63292.57,50760.50,46855.00,43838.00
Irrigated Palay,REGION VI (WESTERN VISAYAS),PH06006,Antique,180991.00,182680.97,160721.77,124679.56,142285.98
Irrigated Palay,REGION VI (WESTERN VISAYAS),PH06019,Capiz,117104.16,103998.66,91750.82,91063.58,94921.38
Irrigated Palay,REGION VI (WESTERN VISAYAS),PH06079,Guimaras,15734.00,16609.00,16657.00,15234.00,15870.00
Irrigated Palay,REGION VI (WESTERN VISAYAS),PH06030,Iloilo,416881.00,414843.00,455544.22,335509.66,393700.64
Irrigated Palay,NEGROS ISLAND REGION,PH06045,Negros Occidental,0,0,0,319542.00,317782.00
Irrigated Palay,NEGROS ISLAND REGION,PH07046,Negros Oriental,0,0,0,56123.00,77701.00
Irrigated Palay,NEGROS ISLAND REGION,PH07061,Siquijor,0,0,0,1246.24,1730.58
Irrigated Palay,REGION VII (CENTRAL VISAYAS),PH07012,Bohol,132849.00,110438.85,136425.87,146271.44,163832.28
Irrigated Palay,REGION VII (CENTRAL VISAYAS),PH07022,Cebu,11222.00,10632.76,10684.00,8809.32,11146.70
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08078,Biliran,53222.50,52579.26,51706.00,51426.00,47562.00
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08026,Eastern Samar,15806.08,11907.69,12967.29,12173.38,10757.35
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08037,Leyte,341691.59,338280.93,346865.41,350335.55,345921.15
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08048,Northern Samar,8348.00,7979.81,7845.76,7576.00,7588.00
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08060,Samar,20305.76,20213.05,20249.53,19863.76,21806.90
Irrigated Palay,REGION VIII (EASTERN VISAYAS),PH08064,Southern Leyte,73845.00,58026.65,57623.70,55604.00,47896.40
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),PH09072,Zamboanga del Norte,67747.05,62406.30,58944.38,59779.68,67063.44
