Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14001,Abra,4.13,3.80,3.69,3.35,3.56
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14081,Apayao,3.74,3.38,3.62,3.82,3.73
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14011,Benguet,3.53,3.51,3.24,2.76,2.88
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14027,Ifugao,3.27,2.71,2.80,2.54,3.40
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14032,Kalinga,4.47,4.17,4.14,3.69,5.00
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14044,Mountain Province,3.27,3.26,3.12,3.10,3.20
Irrigated Palay,REGION I (ILOCOS REGION),PH01028,Ilocos Norte,5.24,5.28,5.28,5.37,5.47
Irrigated Palay,REGION I (ILOCOS REGION),PH01029,Ilocos Sur,5.02,5.18,5.23,5.09,4.68
Irrigated Palay,REGION I (ILOCOS REGION),PH01033,La Union,4.24,4.56,4.62,4.60,4.62
Irrigated Palay,REGION I (ILOCOS REGION),PH01055,Pangasinan,4.78,4.87,4.87,4.85,4.79
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02009,Batanes,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02015,Cagayan,4.79,4.72,4.85,4.69,4.94
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02031,Isabela,5.05,5.14,5.19,5.10,5.23
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02050,Nueva Vizcaya,4.79,4.44,4.50,4.48,4.99
Irrigated Palay,REGION II (CAGAYAN VALLEY),PH02057,Quirino,4.89,4.64,4.73,4.36,4.80
Irrigated Palay,REGION III (CENTRAL LUZON),PH03077,Aurora,4.45,4.43,4.43,4.17,4.14
Irrigated Palay,REGION III (CENTRAL LUZON),PH03008,Bataan,4.36,4.28,4.22,4.24,4.10
Irrigated Palay,REGION III (CENTRAL LUZON),PH03014,Bulacan,4.53,4.51,4.56,4.43,4.51
Irrigated Palay,REGION III (CENTRAL LUZON),PH03049,Nueva Ecija,5.99,6.11,6.30,6.07,6.07
Irrigated Palay,REGION III (CENTRAL LUZON),PH03054,Pampanga,5.04,4.83,4.92,4.82,4.66
Irrigated Palay,REGION III (CENTRAL LUZON),PH03069,Tarlac,4.35,4.29,4.36,4.41,4.45
Irrigated Palay,REGION III (CENTRAL LUZON),PH03071,Zambales,4.46,4.26,4.20,4.55,4.59
Irrigated Palay,REGION IV-A (CALABARZON),PH04010,Batangas,3.36,3.29,3.43,3.05,3.37
Irrigated Palay,REGION IV-A (CALABARZON),PH04021,Cavite,3.78,3.82,3.90,3.49,3.82
Irrigated Palay,REGION IV-A (CALABARZON),PH04034,Laguna,4.28,4.44,4.84,3.99,4.40
Irrigated Palay,REGION IV-A (CALABARZON),PH04056,Quezon,3.88,3.69,4.00,3.49,3.38
Irrigated Palay,REGION IV-A (CALABARZON),PH04058,Rizal,4.22,4.18,3.86,3.74,3.68
Irrigated Palay,MIMAROPA REGION,PH17040,Marinduque,3.66,3.67,3.59,3.63,3.73
Irrigated Palay,MIMAROPA REGION,PH17051,Occidental Mindoro,4.43,4.38,4.53,4.19,4.56
Irrigated Palay,MIMAROPA REGION,PH17052,Oriental Mindoro,3.98,3.81,3.72,3.55,3.60
Irrigated Palay,MIMAROPA REGION,PH17053,Palawan,4.19,4.22,4.26,4.25,4.31
Irrigated Palay,MIMAROPA REGION,PH17059,Romblon,3.86,3.89,3.69,3.57,3.81
Irrigated Palay,MIMAROPA REGION,,Puerto Princesa City,0.00,0.00,0.00,0.00,0.00
Irrigated Palay,REGION V (BICOL REGION),PH05005,Albay,4.40,4.41,4.48,3.96,4.16
Irrigated Palay,REGION V (BICOL REGION),PH05016,Camarines Norte,5.13,4.78,4.74,4.38,4.52
Irrigated Palay,REGION V (BICOL REGION),PH05017,Camarines Sur,4.09,3.96,3.88,3.75,3.74
Irrigated Palay,REGION V (BICOL REGION),PH05020,Catanduanes,3.13,3.26,2.59,3.39,3.79
Irrigated Palay,REGION V (BICOL REGION),PH05041,Masbate,3.21,3.27,3.10,2.98,3.27
Irrigated Palay,REGION V (BICOL REGION),PH05062,Sorsogon,4.51,4.42,4.42,4.26,3.48
