Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lemon Grass,CAR,Abra,1400100000,0.00,0.00,0.00,0.00,0.00,0.28,0.00
Lemon Grass,CAR,Apayao,1408100000,0.00,0.00,0.00,0.00,0.00,0.24,0.20
Lemon Grass,CAR,Benguet,1401100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,CAR,Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,CAR,Kalinga,1403200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,Region I,Ilocos Norte,0102800000,0.00,0.00,0.00,0.00,0.35,0.76,0.10
Lemon Grass,Region I,Ilocos Sur,0102900000,0.00,0.00,0.00,0.00,0.01,0.01,0.01
Lemon Grass,Region I,La Union,0103300000,6.54,7.04,7.84,8.04,8.58,7.91,0.25
Lemon Grass,Region I,Pangasinan,0105500000,0.00,0.00,0.00,0.04,0.08,0.05,0.02
Lemon Grass,Region II,Batanes,0200900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,Region II,Cagayan,0201500000,0.00,0.00,0.00,32.63,3.69,0.83,0.38
Lemon Grass,Region II,Isabela,0203100000,0.05,0.02,0.02,0.02,0.30,0.32,0.31
Lemon Grass,Region II,Nueva Vizcaya,0205000000,0.18,0.15,0.16,0.19,0.52,0.48,0.15
Lemon Grass,Region II,Quirino,0205700000,0.00,0.00,0.00,0.00,0.72,0.72,0.42
Lemon Grass,Region III,Aurora,0307700000,0.00,0.00,0.00,0.00,1.00,0.94,0.74
Lemon Grass,Region III,Bataan,0300800000,0.00,0.00,0.00,0.00,0.00,8.51,0.00
Lemon Grass,Region III,Bulacan,0301400000,38.10,33.34,34.10,35.67,37.70,36.39,13.93
Lemon Grass,Region III,Nueva Ecija,0304900000,0.00,0.00,0.00,0.00,6.22,19.07,4.62
Lemon Grass,Region III,Pampanga,0305400000,3.13,3.16,3.17,3.16,3.21,4.99,1.76
Lemon Grass,Region III,Tarlac,0306900000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lemon Grass,Region III,Zambales,0307100000,0.00,0.00,0.00,0.00,0.13,0.04,0.00
Lemon Grass,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.00,2.51,3.25,0.00
Lemon Grass,Region IV-A,Cavite,0402100000,0.00,0.00,0.00,0.00,0.25,8.71,8.30
Lemon Grass,Region IV-A,Laguna,0403400000,12.75,13.31,13.84,18.10,22.89,19.48,8.81
Lemon Grass,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,26.96,26.39,0.00
Lemon Grass,Region IV-A,Rizal,0405800000,4.38,4.63,22.77,26.35,23.92,25.19,1.72
Lemon Grass,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.10,0.08,0.14,0.00
Lemon Grass,MIMAROPA,Occidental Mindoro,1705100000,0.00,0.00,0.00,0.00,1.20,0.00,0.00
Lemon Grass,MIMAROPA,Oriental Mindoro,1705200000,1.07,3.60,3.98,2.32,2.65,3.47,0.84
Lemon Grass,MIMAROPA,Palawan,1705300000,4.97,6.58,4.14,4.17,4.28,4.74,0.64
Lemon Grass,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.40
