Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lemon grass,CAR,Abra,1400100000,,,,,,28.00,
Lemon grass,CAR,Apayao,1408100000,,,,,,3.00,5.00
Lemon grass,CAR,Benguet,1401100000,,,,,,,
Lemon grass,CAR,Ifugao,1402700000,,,,,,,
Lemon grass,CAR,Kalinga,1403200000,,,,,,,
Lemon grass,CAR,Mountain Province,1404400000,,,,,,,
Lemon grass,Region I,Ilocos Norte,0102800000,,,,,,2.05,2.00
Lemon grass,Region I,Ilocos Sur,0102900000,,,,,,0.04,0.04
Lemon grass,Region I,La Union,0103300000,,,,,,2.43,0.25
Lemon grass,Region I,Pangasinan,0105500000,,,,,,0.71,0.50
Lemon grass,Region II,Batanes,0200900000,,,,,,,
Lemon grass,Region II,Cagayan,0201500000,,,,,,0.84,0.48
Lemon grass,Region II,Isabela,0203100000,,,,,,1.88,5.17
Lemon grass,Region II,Nueva Vizcaya,0205000000,,,,,,0.68,0.30
Lemon grass,Region II,Quirino,0205700000,,,,,,1.36,1.05
Lemon grass,Region III,Aurora,0307700000,,,,,,0.99,3.70
Lemon grass,Region III,Bataan,0300800000,,,,,,1.50,
Lemon grass,Region III,Bulacan,0301400000,,,,,,1.12,2.66
Lemon grass,Region III,Nueva Ecija,0304900000,,,,,,2.24,2.31
Lemon grass,Region III,Pampanga,0305400000,,,,,,2.47,88.00
Lemon grass,Region III,Tarlac,0306900000,,,,,,,
Lemon grass,Region III,Zambales,0307100000,,,,,,1.00,
Lemon grass,Region IV-A,Batangas,0401000000,,,,,,10.83,
Lemon grass,Region IV-A,Cavite,0402100000,,,,,,5.38,5.53
Lemon grass,Region IV-A,Laguna,0403400000,,,,,,4.58,5.40
Lemon grass,Region IV-A,Quezon,0405600000,,,,,,7.33,
Lemon grass,Region IV-A,Rizal,0405800000,,,,,,3.38,9.05
Lemon grass,MIMAROPA,Marinduque,1704000000,,,,,,3.50,
Lemon grass,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Lemon grass,MIMAROPA,Oriental Mindoro,1705200000,,,,,,0.05,0.78
Lemon grass,MIMAROPA,Palawan,1705300000,,,,,,0.36,0.55
Lemon grass,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,5.00
Lemon grass,MIMAROPA,Romblon,1705900000,,,,,,2.10,2.97
Lemon grass,Region V,Albay,0500500000,,,,,,0.58,0.60
Lemon grass,Region V,Camarines Norte,0501600000,,,,,,0.66,1.43
Lemon grass,Region V,Camarines Sur,0501700000,,,,,,4.18,7.92
Lemon grass,Region V,Catanduanes,0502000000,,,,,,0.33,5.15
Lemon grass,Region V,Masbate,0504100000,,,,,,1.13,1.97
Lemon grass,Region V,Sorsogon,0506200000,,,,,,3.90,4.73
Lemon grass,Region VI,Aklan,0600400000,,,,,,3.81,4.08
Lemon grass,Region VI,Antique,0600600000,,,,,,3.24,3.70
Lemon grass,Region VI,Capiz,0601900000,,,,,,2.61,3.27
Lemon grass,Region VI,Guimaras,0607900000,,,,,,3.27,2.51
