Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14001,Abra,30335.39,21584.00,20733.03,20027.00,21426.30,0.00
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14081,Apayao,18392.64,16521.75,13984.81,17779.64,21372.87,427.29
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14011,Benguet,2806.00,2665.00,2401.00,2154.30,2163.00,0.00
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14027,Ifugao,1923.44,2486.03,2438.13,1702.70,2406.55,100.00
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14032,Kalinga,4671.70,4378.50,3547.97,3628.00,4832.86,0.00
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),PH14044,Mountain Province,1825.92,1870.02,1944.64,1931.92,1894.19,0.00
Rainfed Palay,REGION I (ILOCOS REGION),PH01028,Ilocos Norte,51127.00,44063.50,48786.32,49053.00,49394.66,1099.00
Rainfed Palay,REGION I (ILOCOS REGION),PH01029,Ilocos Sur,83173.00,82525.00,83328.76,82021.00,77081.50,285.00
Rainfed Palay,REGION I (ILOCOS REGION),PH01033,La Union,55143.00,60577.03,61686.43,60505.38,61212.05,0.00
Rainfed Palay,REGION I (ILOCOS REGION),PH01055,Pangasinan,333159.00,373132.00,375137.02,372182.00,373383.00,2331.00
Rainfed Palay,REGION II (CAGAYAN VALLEY),PH02009,Batanes,20.31,61.42,80.27,51.50,110.58,0.00
Rainfed Palay,REGION II (CAGAYAN VALLEY),PH02015,Cagayan,154241.00,159495.28,182460.50,174978.00,173108.20,19169.00
Rainfed Palay,REGION II (CAGAYAN VALLEY),PH02031,Isabela,58923.64,62373.64,71907.41,79279.19,77144.99,8874.22
Rainfed Palay,REGION II (CAGAYAN VALLEY),PH02050,Nueva Vizcaya,9270.40,7957.50,8675.88,5183.99,5199.86,986.00
Rainfed Palay,REGION II (CAGAYAN VALLEY),PH02057,Quirino,6836.60,8477.04,11078.29,8635.00,8604.58,1876.88
Rainfed Palay,REGION III (CENTRAL LUZON),PH03077,Aurora,5108.00,4574.00,3538.00,2031.06,1226.04,115.50
Rainfed Palay,REGION III (CENTRAL LUZON),PH03008,Bataan,1140.00,951.00,1011.23,981.92,0.00,0.00
Rainfed Palay,REGION III (CENTRAL LUZON),PH03014,Bulacan,61021.40,39052.87,33798.00,34907.00,32423.00,0.00
Rainfed Palay,REGION III (CENTRAL LUZON),PH03049,Nueva Ecija,62078.00,27667.90,19489.15,11392.65,3802.12,0.00
Rainfed Palay,REGION III (CENTRAL LUZON),PH03054,Pampanga,0.00,0.00,0.00,0.00,0.00,0.00
Rainfed Palay,REGION III (CENTRAL LUZON),PH03069,Tarlac,19514.00,13232.00,16190.57,16141.00,15659.15,0.00
Rainfed Palay,REGION III (CENTRAL LUZON),PH03071,Zambales,37085.90,34783.57,36261.95,40292.35,32895.15,0.00
Rainfed Palay,REGION IV-A (CALABARZON),PH04010,Batangas,8629.20,7502.33,5608.15,4839.90,5970.50,842.92
Rainfed Palay,REGION IV-A (CALABARZON),PH04021,Cavite,739.00,469.20,303.51,256.06,348.03,0.00
Rainfed Palay,REGION IV-A (CALABARZON),PH04034,Laguna,3391.71,3940.37,4201.68,3493.96,6032.09,1873.58
Rainfed Palay,REGION IV-A (CALABARZON),PH04056,Quezon,75726.00,71914.50,72363.00,46657.24,48342.50,16445.00
Rainfed Palay,REGION IV-A (CALABARZON),PH04058,Rizal,1643.20,1750.24,1997.64,764.99,1228.00,0.00
Rainfed Palay,MIMAROPA REGION,PH17040,Marinduque,7867.00,7526.27,7270.00,7296.00,8856.07,2936.82
Rainfed Palay,MIMAROPA REGION,PH17051,Occidental Mindoro,108926.70,110122.01,67588.61,68683.35,97435.33,1881.50
Rainfed Palay,MIMAROPA REGION,PH17052,Oriental Mindoro,54861.77,55630.88,53371.46,50483.46,49749.09,11417.17
Rainfed Palay,MIMAROPA REGION,PH17053,Palawan,156758.00,166172.33,176296.75,174185.61,174448.89,58284.50
Rainfed Palay,MIMAROPA REGION,PH17059,Romblon,16915.00,18084.25,16378.88,16341.75,14393.00,5128.00
Rainfed Palay,REGION V (BICOL REGION),PH05005,Albay,33806.00,32773.80,36522.90,29997.40,33692.20,7732.00
Rainfed Palay,REGION V (BICOL REGION),PH05016,Camarines Norte,37085.75,36135.38,36561.36,27018.56,29116.76,8268.71
Rainfed Palay,REGION V (BICOL REGION),PH05017,Camarines Sur,146761.00,150570.00,139548.00,134607.00,135593.00,41257.00
Rainfed Palay,REGION V (BICOL REGION),PH05020,Catanduanes,10286.93,12004.49,9565.60,12251.32,13933.68,4787.59
Rainfed Palay,REGION V (BICOL REGION),PH05041,Masbate,108762.00,116087.00,118867.80,105102.61,125767.00,35974.00
Rainfed Palay,REGION V (BICOL REGION),PH05062,Sorsogon,37052.40,42140.26,38542.59,33667.58,23326.14,3762.34
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06004,Aklan,47464.86,48288.04,34178.48,31362.47,29541.40,13020.61
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06006,Antique,121755.00,130380.76,88097.88,65320.35,58047.61,16675.11
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06019,Capiz,266705.40,250851.00,231529.76,219832.29,226752.55,101763.94
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06079,Guimaras,45542.75,48369.84,37343.00,37815.50,36648.90,5126.00
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06030,Iloilo,602108.02,601744.87,610521.31,495824.11,444151.57,91860.41
Rainfed Palay,REGION VI (WESTERN VISAYAS),PH06045,Negros Occidental,141131.00,130781.00,145854.60,0,0.00,0.00
