Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tobacco (Native),CAR,Abra,1400100000,9.7,9.38,8.59,8.28,7.53,8.2,0
Tobacco (Native),CAR,Apayao,1408100000,0.2,0.22,0,0,0,0,0
Tobacco (Native),CAR,Benguet,1401100000,0,0,0,0,0,0,0
Tobacco (Native),CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Tobacco (Native),CAR,Kalinga,1403200000,2.75,3.00,3.76,4.10,4.20,4.30,0
Tobacco (Native),CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Tobacco (Native),Region I,Ilocos Norte,0102800000,757.37,556.53,554.34,409.94,362.03,910.33,17.18
Tobacco (Native),Region I,Ilocos Sur,0102900000,1730.97,1699.86,1634.47,1667.17,2366.64,2392.38,755.63
Tobacco (Native),Region I,La Union,0103300000,1885.44,1588.87,1476.83,1588.36,1625.65,1642.55,113.24
Tobacco (Native),Region I,Pangasinan,0105500000,681.45,670.51,656.90,673.81,691.20,655.20,5.10
Tobacco (Native),Region II,Batanes,0200900000,0,0,0,0,0,0,0
Tobacco (Native),Region II,Cagayan,0201500000,553.2,81.2,80.36,79.59,60.88,212.42,7.65
Tobacco (Native),Region II,Isabela,0203100000,1262.17,1215.17,1201.75,1207.93,1098.69,1069.90,5642.50
Tobacco (Native),Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Tobacco (Native),Region II,Quirino,0205700000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Aurora,0307700000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Bataan,0300800000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Tobacco (Native),Region III,Zambales,0307100000,0,0,0,0,0,0,0
Tobacco (Native),Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Tobacco (Native),Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Tobacco (Native),Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Tobacco (Native),Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Tobacco (Native),Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Tobacco (Native),MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Tobacco (Native),MIMAROPA,Occidental Mindoro,1705100000,0,0.85,0.6,0,0,0,0
Tobacco (Native),MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,1.52
Tobacco (Native),MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Tobacco (Native),MIMAROPA,Romblon,1705900000,1.09,1.21,0.98,0.74,0.72,0.69,0.35
Tobacco (Native),MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0.34,0,0
Tobacco (Native),Region V,Albay,0500500000,0,0,0,0,0,0,0
Tobacco (Native),Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Tobacco (Native),Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Tobacco (Native),Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Tobacco (Native),Region V,Masbate,0504100000,0,0,0,0,0,0,0
Tobacco (Native),Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Tobacco (Native),Region VI,Aklan,0600400000,0,0,0,0,0,0,0
Tobacco (Native),Region VI,Antique,0600600000,6.76,6.83,6.90,10.60,10.09,10.24,3.00
Tobacco (Native),Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Tobacco (Native),Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Tobacco (Native),Region VI,Iloilo,0603000000,241.35,280.05,196.50,239.15,220.15,225.35,0.98
Tobacco (Native),NIR,Negros Occidental,1804500000,6.88,5.26,5.08,3.91,0,0,0
Tobacco (Native),NIR,Negros Occidental,1804500000,0,0,0,0,3.50,3.35,1.40
Tobacco (Native),NIR,Negros Oriental,1804600000,0,0,0,0,6.37,7.31,0.75
Tobacco (Native),NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tobacco (Native),NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Tobacco (Native),Region VII,Bohol,0701200000,0,0,0,0.27,0.08,0.08,0.05
Tobacco (Native),Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Tobacco (Native),NIR,Negros Oriental,1804600000,13.22,7.68,4.46,10.33,0,0,0
Tobacco (Native),NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tobacco (Native),Region VIII,Biliran,0807800000,0.57,0.66,0.68,0.50,0.43,0.46,0.04
Tobacco (Native),Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Tobacco (Native),Region VIII,Leyte,0803700000,1.81,1.79,1.69,2.08,2.03,1.84,0.31
Tobacco (Native),Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Tobacco (Native),Region VIII,Samar,0806000000,1.07,1.14,1.16,0.22,0.03,0,0
Tobacco (Native),Region VIII,Southern Leyte,0806400000,0.04,0.03,0.01,0.01,0.02,0,0
Tobacco (Native),Region IX,Sulu,0906600000,0,0,0,0,0.79,0,0
