Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tobacco,CAR,Abra,1400100000,1601.37,1549.75,1569.95,1463.19,1033.60,1765.90,937.50
Tobacco,CAR,Apayao,1408100000,0.2,0.22,0,0,0,0,0
Tobacco,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Tobacco,CAR,Ifugao,1402700000,0.64,0.55,0.65,25.5,43,25,0
Tobacco,CAR,Kalinga,1403200000,2.75,3.00,3.76,4.10,4.20,4.30,0
Tobacco,CAR,Mountain Province,1404400000,0,0,0,0,0,95,0
Tobacco,Region I,Ilocos Norte,0102800000,3388.56,3379.48,4016.28,3836.19,3966.54,4706.72,424.38
Tobacco,Region I,Ilocos Sur,0102900000,22803.39,21834.56,17920.29,19697.17,21310.46,28530.41,17569.63
Tobacco,Region I,La Union,0103300000,5255.48,4606.88,4392.46,4891.11,4924.70,4826.64,1332.64
Tobacco,Region I,Pangasinan,0105500000,4842.60,5831.39,5540.99,5456.69,5672.19,5394.70,38.09
Tobacco,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Tobacco,Region II,Cagayan,0201500000,1443.7,173.6,163.66,168.5,145.4,613.71,9.14
Tobacco,Region II,Isabela,0203100000,10567.78,10918.02,11421.04,11419.63,10141.56,13464.76,8558.80
Tobacco,Region II,Nueva Vizcaya,0205000000,47.22,49.23,50.96,61.02,0,73.36,1.85
Tobacco,Region II,Quirino,0205700000,0,0,0,0,0,0.55,0
Tobacco,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Tobacco,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Tobacco,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Tobacco,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Tobacco,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Tobacco,Region III,Tarlac,0306900000,39.48,34.20,45.15,43.00,43.34,45.24,18.56
Tobacco,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Tobacco,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Tobacco,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Tobacco,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Tobacco,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Tobacco,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Tobacco,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Tobacco,MIMAROPA,Occidental Mindoro,1705100000,0,0.85,0.6,0,0,0,0
Tobacco,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,1.52
Tobacco,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Tobacco,MIMAROPA,Romblon,1705900000,1.09,1.21,0.98,0.74,0.72,0.69,0.35
Tobacco,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0.34,0,0
Tobacco,Region V,Albay,0500500000,0,0,0,0,0,0,0
Tobacco,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Tobacco,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Tobacco,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Tobacco,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Tobacco,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Tobacco,Region VI,Aklan,0600400000,0,0,0,0,0,0,0
Tobacco,Region VI,Antique,0600600000,6.76,6.83,6.90,10.60,10.09,10.24,3.00
Tobacco,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Tobacco,Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Tobacco,Region VI,Iloilo,0603000000,241.35,280.05,196.50,239.15,220.15,225.35,0.98
Tobacco,NIR,Negros Occidental,1804500000,6.88,5.26,5.08,3.91,0,0,0
Tobacco,NIR,Negros Occidental,1804500000,0,0,0,0,3.50,3.35,1.40
Tobacco,NIR,Negros Oriental,1804600000,0,0,0,0,6.37,7.31,0.75
Tobacco,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tobacco,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Tobacco,Region VII,Bohol,0701200000,0,0,0,0.27,0.08,0.08,0.05
Tobacco,Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Tobacco,NIR,Negros Oriental,1804600000,13.22,7.68,4.46,10.33,0,0,0
Tobacco,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tobacco,Region VIII,Biliran,0807800000,0.57,0.66,0.68,0.50,0.43,0.46,0.04
Tobacco,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Tobacco,Region VIII,Leyte,0803700000,1.81,1.79,1.69,2.08,2.03,1.84,0.31
Tobacco,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Tobacco,Region VIII,Samar,0806000000,1.07,1.14,1.16,0.22,0.03,0,0
Tobacco,Region VIII,Southern Leyte,0806400000,0.04,0.03,0.01,0.01,0.02,0,0
Tobacco,Region IX,Sulu,0906600000,0,0,0,0,0.79,0,0
Tobacco,Region IX,Zamboanga del Norte,0907200000,1.10,1.03,0.99,1.06,0.94,1.01,0.19
Tobacco,Region IX,Zamboanga del Sur,0907300000,0,0,0,0.06,0.02,0,0
Tobacco,Region IX,Zamboanga Sibugay,0908300000,22.11,22.94,24.32,23.06,5.23,5.28,1.01
Tobacco,Region IX,City of Zamboanga,0907400000,0.50,0.54,0.51,0,0,0,0
Tobacco,Region X,Bukidnon,1001300000,0,0,0,0,0,0,0.01
Tobacco,Region X,Camiguin,1001800000,0,0,0,0,0,0,0
Tobacco,Region X,Lanao del Norte,1003500000,0,0,0,0,0,0,0
Tobacco,Region X,Misamis Occidental,1004200000,0,0,0,0,0,0,0
Tobacco,Region X,Misamis Oriental,1004300000,2120.52,2194.53,2337.63,6511.18,7735.17,8192.65,68.62
Tobacco,Region XI,Davao de Oro,1108200000,0.94,0.91,0.86,0.78,0.64,0.61,0.20
Tobacco,Region XI,Davao del Norte,1102300000,4.37,4.21,4.07,4.09,4.01,3.95,0.70
Tobacco,Region XI,Davao del Sur,1102400000,3.77,3.84,3.80,3.89,3.51,2.98,0.76
Tobacco,Region XI,Davao Occidental,1108600000,0,0,0,0,0,0,0
Tobacco,Region XI,Davao Oriental,1102500000,2.98,3.02,2.94,3.39,3.36,3.36,0.79
Tobacco,Region XI,City of Davao,1130700000,0.07,0.09,0.09,0,0,0.01,0
Tobacco,Region XII,Cotabato,1204700000,2.70,2.79,2.20,1.50,0,0,0
Tobacco,Region XII,Sarangani,1208000000,3.23,2.85,2.61,2.50,2.11,2.07,0.34
Tobacco,Region XII,Sultan Kudarat,1206500000,0.09,0.46,0.48,0.45,0.47,0.47,0.04
Tobacco,Region XII,South Cotabato,1206300000,5.90,5.89,5.39,5.15,4.90,3.91,0.89
Tobacco,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,0,0
Tobacco,Region XIII,Agusan del Sur,1600300000,0,0.45,0.5,0,0,0,0
Tobacco,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,0,0
Tobacco,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,0,0
Tobacco,Region XIII,Surigao del Sur,1606800000,0.61,0.74,0.74,0,0.39,0.76,0
Tobacco,Region XIII,City of Butuan,1630400000,0,0,0,0,0.39,0,0
Tobacco,BARMM,Basilan,1900700000,0,0,0,0,0,0,0.23
Tobacco,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,0,0
Tobacco,BARMM,Maguindanao,1908800000,0,0,0,0,4.44,0,0
Tobacco,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,3.2,1.25
Tobacco,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,49.48,25.78
Tobacco,BARMM,Sulu,0906600000,0,0,0,0,0,0,0
Tobacco,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,0,0
