Commodity,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Abra,1400100000,0.00,0.00,0.00,0.00,0.11,0.22,0
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Apayao,1408100000,3.65,4.00,4.30,3.90,5.75,5.85,0
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Benguet,1401100000,25.50,27.00,32.00,15.00,8.50,8.50,0
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Kalinga,1403200000,5.28,5.28,5.28,5.49,8.99,4.99,0
Ubi [Greater yam],CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Norte,0102800000,11.39,11.39,11.39,12.03,12.34,12.49,0
Ubi [Greater yam],REGION I (ILOCOS REGION),Ilocos Sur,0102900000,21.25,21.50,21.50,27.10,40.25,40.15,0
Ubi [Greater yam],REGION I (ILOCOS REGION),La Union,0103300000,13.80,14.71,14.79,15.40,15.50,15.72,0
Ubi [Greater yam],REGION I (ILOCOS REGION),Pangasinan,0105500000,0.00,0.00,0.00,1.20,1.21,1.20,0
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Batanes,0200900000,33.00,32.00,33.00,34.35,26.42,24.30,0
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Cagayan,0201500000,188.50,188.00,190.50,198.00,197.15,198.21,0
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Isabela,0203100000,17.90,15.50,14.85,14.60,14.78,9.91,0
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Nueva Vizcaya,0205000000,30.00,30.20,29.10,33.00,33.61,34.58,0
Ubi [Greater yam],REGION II (CAGAYAN VALLEY),Quirino,0205700000,16.80,16.67,16.80,17.14,16.94,17.86,0
Ubi [Greater yam],REGION III (CENTRAL LUZON),Aurora,0307700000,50.35,50.39,50.47,55.61,434.55,69.00,0
