Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
White Corn,Region I (Ilocos Region),0102800000,Ilocos Norte,11353.99,11741.04,10384.06,10239.6,9510.9,8644.0
White Corn,Region I (Ilocos Region),0102900000,Ilocos Sur,14949.0,15087.0,14924.0,10402.68,8769.7,2923.0
White Corn,Region I (Ilocos Region),0103300000,La Union,9138.0,8481.7,8819.45,8909.45,8928.64,4072.75
White Corn,Region I (Ilocos Region),0105500000,Pangasinan,11565.0,11711.0,11489.0,11436.0,10766.0,6123.0
White Corn,Region II (Cagayan Valley),0200900000,Batanes,64.85,127.3,179.18,156.93,194.76,68.65
White Corn,Region II (Cagayan Valley),0201500000,Cagayan,8309.0,7107.5,4991.0,4295.0,4837.0,323.0
White Corn,Region II (Cagayan Valley),0203100000,Isabela,10667.34,7614.0,4278.03,4309.81,5678.6,1113.9
White Corn,Region II (Cagayan Valley),0205000000,Nueva Vizcaya,1804.5,1146.51,1104.7,987.58,1279.17,103.08
White Corn,Region II (Cagayan Valley),0205700000,Quirino,967.67,843.2,162.0,317.32,285.58,136.8
White Corn,Region III (Central Luzon),0300800000,Bataan,1305.8,1157.13,851.87,710.55,9.15,0.0
White Corn,Region III (Central Luzon),0301400000,Bulacan,1729.5,3283.17,2215.0,1117.0,1016.0,644.0
White Corn,Region III (Central Luzon),0304900000,Nueva Ecija,25022.81,20667.4,14903.7,11889.76,12236.49,4291.92
White Corn,Region III (Central Luzon),0305400000,Pampanga,5174.73,10135.51,9033.11,8177.42,10124.72,6707.42
White Corn,Region III (Central Luzon),0306900000,Tarlac,1916.0,1352.0,1154.5,1183.0,1206.0,440.13
White Corn,Region III (Central Luzon),0307100000,Zambales,458.0,685.84,432.21,222.8,67.3,102.4
White Corn,Region III (Central Luzon),0307700000,Aurora,818.54,558.9,320.95,265.09,244.32,43.6
White Corn,Region IV-A (CALABARZON),0401000000,Batangas,10310.0,9585.5,7194.7,4764.86,5017.75,2139.95
White Corn,Region IV-A (CALABARZON),0402100000,Cavite,915.41,701.3,612.27,765.96,830.61,227.32
White Corn,Region IV-A (CALABARZON),0403400000,Laguna,2617.0,3286.34,3616.2,3485.58,3780.08,1019.1
White Corn,Region IV-A (CALABARZON),0405600000,Quezon,9324.0,7921.0,6632.0,3592.46,6486.16,1733.0
White Corn,Region IV-A (CALABARZON),0405800000,Rizal,416.16,528.78,374.55,251.18,280.03,117.65
White Corn,Region V (Bicol Region),0500500000,Albay,5967.0,5607.6,5436.7,5615.5,6128.5,586.0
White Corn,Region V (Bicol Region),0501600000,Camarines Norte,1609.8,1531.86,1645.9,1337.96,1044.48,0.0
White Corn,Region V (Bicol Region),0501700000,Camarines Sur,21370.0,19672.0,18815.0,17712.0,18018.0,6524.0
White Corn,Region V (Bicol Region),0502000000,Catanduanes,393.53,168.42,19.71,8.29,17.64,2.12
White Corn,Region V (Bicol Region),0504100000,Masbate,42917.0,40051.73,39723.59,35308.0,30327.16,2196.0
White Corn,Region V (Bicol Region),0506200000,Sorsogon,320.45,302.18,275.12,259.37,204.66,31.82
White Corn,Region VI (Western Visayas),0600400000,Aklan,1129.43,936.85,920.03,243.85,279.2,21.04
White Corn,Region VI (Western Visayas),0600600000,Antique,1086.05,1276.83,1346.1,886.58,1114.12,703.14
White Corn,Region VI (Western Visayas),0601900000,Capiz,1242.0,1306.97,1425.55,1719.75,2203.55,481.35
White Corn,Region VI (Western Visayas),0603000000,Iloilo,8082.97,6065.53,6986.23,3449.68,4298.82,1181.32
White Corn,Region VI (Western Visayas),0607900000,Guimaras,1003.0,843.36,579.0,345.0,431.35,58.0
White Corn,Region VII (Central Visayas),0701200000,Bohol,8298.0,4642.1,7495.35,6465.75,7270.05,539.63
White Corn,Region VII (Central Visayas),0702200000,Cebu,44367.0,48083.0,55960.0,38810.0,55144.0,9158.85
White Corn,Region VIII (Eastern Visayas),0802600000,Eastern Samar,211.55,203.88,163.8,185.6,128.87,30.0
White Corn,Region VIII (Eastern Visayas),0803700000,Leyte,37122.45,33201.57,32565.38,28993.74,28953.25,5674.0
White Corn,Region VIII (Eastern Visayas),0804800000,Northern Samar,10240.8,10181.0,10064.0,10204.0,10217.0,1109.0
White Corn,Region VIII (Eastern Visayas),0806000000,Samar (Western Samar),7029.35,6972.62,9083.3,12299.99,13063.2,1196.65
White Corn,Region VIII (Eastern Visayas),0806400000,Southern Leyte,1940.02,1780.41,1136.0,612.0,531.0,90.0
White Corn,Region VIII (Eastern Visayas),0807800000,Biliran,420.0,435.54,422.3,435.89,425.0,74.0
White Corn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)8,0906600000,Sulu,1656.0,1506.55,1097.0,680.0,671.0,130.0
White Corn,Region IX (Zamboanga Peninsula),0907200000,Zamboanga del Norte,54399.72,44528.41,39199.62,45000.12,48027.8,12432.2
White Corn,Region IX (Zamboanga Peninsula),0907300000,Zamboanga del Sur,88784.17,86424.22,89859.43,90432.65,88408.7,33315.73
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0.0,0.0,0.0,0.0,6519.49,4533.34
White Corn,Region IX (Zamboanga Peninsula),0908300000,Zamboanga Sibugay,21903.42,22310.46,18512.39,17026.65,15497.45,4593.81
White Corn,Region X (Northern Mindanao),1001300000,Bukidnon,140096.24,141785.33,91036.87,94032.96,113827.79,23781.79
White Corn,Region X (Northern Mindanao),1001800000,Camiguin,497.7,402.5,312.75,126.06,164.45,12.25
White Corn,Region X (Northern Mindanao),1003500000,Lanao del Norte,272625.3,270929.6,272403.2,260994.26,268276.02,30927.73
White Corn,Region X (Northern Mindanao),1004200000,Misamis Occidental,48341.5,40065.0,37702.2,29575.0,19631.76,2895.0
White Corn,Region X (Northern Mindanao),1004300000,Misamis Oriental,55475.0,61759.27,60710.62,63428.4,58844.6,35407.03
White Corn,Region XI (Davao Region),1102300000,Davao del Norte,23139.38,24681.03,25249.83,29339.29,30317.15,4970.37
White Corn,Region XI (Davao Region),1102400000,Davao del Sur,49469.38,51756.95,58391.05,47540.15,41385.39,15020.62
White Corn,Region XI (Davao Region),1102500000,Davao Oriental,54940.32,55739.45,59878.62,62657.14,61215.64,10302.77
White Corn,Region XI (Davao Region),1108200000,Davao de Oro (Compostela Valley),37557.0,37063.0,37660.4,39710.41,36104.12,5286.87
White Corn,Region XI (Davao Region),1108600000,Davao Occidental,35600.72,34725.03,37550.27,41771.91,43904.7,11362.48
White Corn,,1130700000,Davao City,0.0,0.0,0.0,0.0,10859.69,3708.32
White Corn,Region XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),52174.0,43262.0,38906.0,38502.0,33779.0,8441.0
White Corn,Region XII (SOCCSKSARGEN),1206300000,South Cotabato,45918.0,29798.9,36573.3,34522.0,36391.1,10676.0
White Corn,Region XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,41986.99,46301.45,46181.0,38574.0,43730.0,13901.0
White Corn,Region XII (SOCCSKSARGEN),1208000000,Sarangani,83891.04,79158.69,76544.46,76953.94,80191.95,11577.0
White Corn,Cordillera Administrative Region (CAR),1400100000,Abra,17533.0,15822.0,14640.0,15117.0,15439.0,3146.48
White Corn,Cordillera Administrative Region (CAR),1401100000,Benguet,41.33,40.2,33.2,21.95,179.7,119.0
White Corn,Cordillera Administrative Region (CAR),1402700000,Ifugao,21.0,9.0,5.0,0.0,12.83,17.0
White Corn,Cordillera Administrative Region (CAR),1403200000,Kalinga,669.53,531.0,602.0,682.0,944.0,106.65
White Corn,Cordillera Administrative Region (CAR),1404400000,Mountain Province,23.75,24.14,22.61,23.18,27.23,0.0
White Corn,Cordillera Administrative Region (CAR),1408100000,Apayao,85.12,45.38,5.58,56.16,5.92,0.0
White Corn,Region XIII (Caraga),1600200000,Agusan del Norte,9856.38,8861.0,8536.98,8705.2,8822.0,1671.0
White Corn,Region XIII (Caraga),1600300000,Agusan del Sur,39604.5,22872.0,31859.88,35084.0,34513.57,1575.0
White Corn,Region XIII (Caraga),1606700000,Surigao del Norte,1220.09,1193.24,1370.71,1429.0,1451.0,133.0
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1606800000,Surigao del Sur,6038.22,6294.48,6192.0,7944.0,7304.0,339.0
White Corn,Region XIII (Caraga),1608500000,Dinagat Islands,273.0,179.45,157.35,218.0,208.89,20.1
White Corn,,1630400000,Butuan City,,,,,,656.52
White Corn,MIMAROPA Region,1704000000,Marinduque,747.0,914.64,829.0,796.0,763.01,185.81
White Corn,MIMAROPA Region,1705100000,Occidental Mindoro,5203.0,4233.5,2930.71,1453.54,1435.61,570.1
White Corn,MIMAROPA Region,1705200000,Oriental Mindoro,318.43,355.69,312.12,232.76,228.37,68.8
White Corn,MIMAROPA Region,1705300000,Palawan,4825.0,4635.54,4543.78,4554.19,4499.98,1370.2
White Corn,MIMAROPA Region,1705900000,Romblon,996.0,1336.0,987.0,940.7,1132.0,286.0
