Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Alugbati,CAR,Abra,1400100000,0.00,0.00,0.00,0.75,0.51,2.73,0.14
Alugbati,CAR,Apayao,1408100000,0.00,0.00,0.00,0.26,1.09,1.29,0.40
Alugbati,CAR,Benguet,1401100000,0.00,0.00,0.00,0.04,9.25,2.19,0.23
Alugbati,CAR,Ifugao,1402700000,0.00,0.00,0.00,0.00,0.60,0.41,0.00
Alugbati,CAR,Kalinga,1403200000,2.50,2.78,3.31,2.72,1.44,2.68,0.67
Alugbati,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.37,0.17
Alugbati,Region I,Ilocos Norte,0102800000,0.00,0.00,0.00,0.05,0.38,1.32,0.08
Alugbati,Region I,Ilocos Sur,0102900000,0.00,0.00,0.00,0.00,0.08,0.08,0.00
Alugbati,Region I,La Union,0103300000,2.30,2.30,2.44,2.69,2.90,2.51,0.25
Alugbati,Region I,Pangasinan,0105500000,3.76,3.77,3.78,2.96,3.08,3.69,0.30
Alugbati,Region II,Batanes,0200900000,0.21,0.18,0.14,0.17,0.07,0.28,0.05
Alugbati,Region II,Cagayan,0201500000,108.61,106.84,109.44,103.44,90.13,115.42,51.37
Alugbati,Region II,Isabela,0203100000,62.85,54.40,41.35,33.21,30.87,31.38,7.94
Alugbati,Region II,Nueva Vizcaya,0205000000,17.97,17.83,18.47,21.43,9.98,11.63,6.27
Alugbati,Region II,Quirino,0205700000,13.08,10.43,12.07,12.15,11.95,12.58,5.16
Alugbati,Region III,Aurora,0307700000,0.00,0.00,0.00,1.16,1.42,3.86,0.00
Alugbati,Region III,Bataan,0300800000,0.00,0.00,0.00,0.88,1.27,6.86,0.00
Alugbati,Region III,Bulacan,0301400000,85.60,90.35,84.12,111.46,94.32,102.43,18.03
Alugbati,Region III,Nueva Ecija,0304900000,0.00,0.00,0.00,0.00,1.22,8.94,7.10
Alugbati,Region III,Pampanga,0305400000,20.38,19.42,18.41,19.39,19.46,16.81,9.38
Alugbati,Region III,Tarlac,0306900000,0.85,0.86,0.92,1.00,0.91,0.99,0.43
Alugbati,Region III,Zambales,0307100000,0.00,0.00,0.00,0.36,0.63,4.07,0.86
Alugbati,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.00,0.27,6.50,0.00
Alugbati,Region IV-A,Cavite,0402100000,1.37,1.45,2.28,0.57,0.81,3.01,0.92
Alugbati,Region IV-A,Laguna,0403400000,4.68,5.11,5.23,3.46,9.79,8.86,2.91
Alugbati,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,0.56,2.64,0.16
Alugbati,Region IV-A,Rizal,0405800000,2.80,2.86,2.77,3.54,12.14,8.25,3.05
Alugbati,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alugbati,MIMAROPA,Occidental Mindoro,1705100000,0.00,0.00,0.00,0.00,6.90,3.76,0.00
Alugbati,MIMAROPA,Oriental Mindoro,1705200000,0.04,0.15,0.19,0.12,0.74,0.71,0.63
Alugbati,MIMAROPA,Palawan,1705300000,28.44,32.48,24.24,26.51,27.97,29.51,8.51
Alugbati,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.38
Alugbati,MIMAROPA,Romblon,1705900000,3.08,3.01,2.98,2.30,4.63,4.73,0.55
Alugbati,Region V,Albay,0500500000,0.00,0.00,0.00,0.00,0.00,0.18,0.20
Alugbati,Region V,Camarines Norte,0501600000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alugbati,Region V,Camarines Sur,0501700000,0.00,0.00,0.00,0.00,0.29,0.86,0.12
Alugbati,Region V,Catanduanes,0502000000,0.19,0.10,0.05,0.05,0.02,0.08,0.00
Alugbati,Region V,Masbate,0504100000,8.10,8.25,8.37,8.42,10.56,12.63,3.66
Alugbati,Region V,Sorsogon,0506200000,0.00,0.00,0.00,0.19,1.68,0.33,0.49
Alugbati,Region VI,Aklan,0600400000,1197.96,1252.90,1308.03,1286.82,1260.11,969.86,234.50
Alugbati,Region VI,Antique,0600600000,398.92,407.68,382.96,394.35,398.34,400.82,64.46
Alugbati,Region VI,Capiz,0601900000,493.50,493.30,481.25,499.91,471.58,450.30,84.00
Alugbati,Region VI,Guimaras,0607900000,293.10,318.30,344.25,352.39,359.21,427.58,90.75
Alugbati,Region VI,Iloilo,0603000000,4007.87,4231.49,4389.73,4373.34,3439.59,3034.73,1062.12
Alugbati,NIR,Negros Occidental,1804500000,1035.85,1055.77,994.06,1073.04,0.00,0.00,0.00
Alugbati,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,1070.94,1077.52,422.36
Alugbati,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Alugbati,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,1585.95,2050.52,575.59
Alugbati,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,31.94,19.82,3.45
Alugbati,Region VII,Bohol,0701200000,144.28,111.18,100.27,89.61,95.78,134.30,28.03
Alugbati,Region VII,Cebu,0702200000,2578.59,2674.74,2550.00,2732.08,2436.90,2090.87,1023.96
Alugbati,NIR,Negros Oriental,1804600000,2061.22,2073.10,2083.00,2162.54,0.00,0.00,0.00
Alugbati,NIR,Siquijor,1806100000,33.75,34.54,34.81,34.59,0.00,0.00,0.00
Alugbati,Region VIII,Biliran,0807800000,2.20,2.28,2.23,2.23,2.47,3.43,1.41
Alugbati,Region VIII,Eastern Samar,0802600000,0.21,0.21,0.24,0.33,0.56,0.46,0.08
Alugbati,Region VIII,Leyte,0803700000,1.08,1.20,1.13,26.71,4.99,4.76,1.20
Alugbati,Region VIII,Northern Samar,0804800000,6.19,6.18,6.16,6.37,6.66,4.59,0.23
Alugbati,Region VIII,Samar,0806000000,72.39,67.48,74.93,87.73,82.35,82.22,25.98
