Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,195.92,48.98
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,13.38,4.16
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,18.02,6
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,13.35,7
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,23.31,2.25
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,11.52,2
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,479.83,136.44
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,244.51,76.5
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,406.77,148.35
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,520,161.87
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,3.57,1.75
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,285.85,134.46
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,827.97,310.2
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,212.33,78.13
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,65.42,13.55
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,104.11,0.55
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,60.87,33.33
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,639.6,137.5
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,1404.06,511
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,953.44,225.74
