Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cacao,CAR,Abra,1400100000,0,0,0,0,0,842,309
Cacao,CAR,Apayao,1408100000,0,0,0,0,0,49200,12300
Cacao,CAR,Benguet,1401100000,0,0,0,0,0,28000,7000
Cacao,CAR,Ifugao,1402700000,0,0,0,0,0,12000,3000
Cacao,CAR,Kalinga,1403200000,0,0,0,0,0,6200,1550
Cacao,CAR,Mountain Province,1404400000,0,0,0,0,0,5300,1350
Cacao,Region I,Ilocos Norte,0102800000,0,0,0,0,0,13792,3457
Cacao,Region I,Ilocos Sur,0102900000,0,0,0,0,0,14484,3636
Cacao,Region I,La Union,0103300000,0,0,0,0,0,17440,4360
Cacao,Region I,Pangasinan,0105500000,0,0,0,0,0,29360,7340
Cacao,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Cacao,Region II,Cagayan,0201500000,0,0,0,0,0,611801,189625
Cacao,Region II,Isabela,0203100000,0,0,0,0,0,194720,54870
Cacao,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,85065,23090
Cacao,Region II,Quirino,0205700000,0,0,0,0,0,144953,45750
Cacao,Region III,Aurora,0307700000,0,0,0,0,0,238640,59660
Cacao,Region III,Bataan,0300800000,0,0,0,0,0,57000,19000
Cacao,Region III,Bulacan,0301400000,0,0,0,0,0,1600,400
Cacao,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Cacao,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Cacao,Region III,Tarlac,0306900000,0,0,0,0,0,88,24
Cacao,Region III,Zambales,0307100000,0,0,0,0,0,2960,740
Cacao,Region IV-A,Batangas,0401000000,0,0,0,0,0,15800,3950
Cacao,Region IV-A,Cavite,0402100000,0,0,0,0,0,16120,4400
Cacao,Region IV-A,Laguna,0403400000,0,0,0,0,0,201200,50800
Cacao,Region IV-A,Quezon,0405600000,0,0,0,0,0,380120,95150
Cacao,Region IV-A,Rizal,0405800000,0,0,0,0,0,29189,8400
Cacao,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,8860,2515
Cacao,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,1788,447
Cacao,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,48498,12290
Cacao,MIMAROPA,Palawan,1705300000,0,0,0,0,0,80500,10693
Cacao,MIMAROPA,Romblon,1705900000,0,0,0,0,0,12280,3070
Cacao,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,9432
Cacao,Region V,Albay,0500500000,0,0,0,0,0,480000,120000
Cacao,Region V,Camarines Norte,0501600000,0,0,0,0,0,6892,1723
Cacao,Region V,Camarines Sur,0501700000,0,0,0,0,0,22050,6450
Cacao,Region V,Catanduanes,0502000000,0,0,0,0,0,5340,51
Cacao,Region V,Masbate,0504100000,0,0,0,0,0,2896,0
Cacao,Region V,Sorsogon,0506200000,0,0,0,0,0,81696,20424
Cacao,Region VI,Aklan,0600400000,0,0,0,0,0,70100,17650
Cacao,Region VI,Antique,0600600000,0,0,0,0,0,23770,5980
Cacao,Region VI,Capiz,0601900000,0,0,0,0,0,66400,19200
Cacao,Region VI,Guimaras,0607900000,0,0,0,0,0,28150,8140
Cacao,Region VI,Iloilo,0603000000,0,0,0,0,0,100000,25000
Cacao,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Cacao,NIR,Negros Occidental,1804500000,0,0,0,0,0,54000,-13500
Cacao,NIR,Negros Oriental,1804600000,0,0,0,0,0,59644,14911
Cacao,NIR,Siquijor,1806100000,0,0,0,0,0,14000,3500
Cacao,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Cacao,Region VII,Bohol,0701200000,0,0,0,0,0,171200,42800
Cacao,Region VII,Cebu,0702200000,0,0,0,0,0,35900,8900
Cacao,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Cacao,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Cacao,Region VIII,Biliran,0807800000,0,0,0,0,0,40784,10196
Cacao,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,58240,14560
Cacao,Region VIII,Leyte,0803700000,0,0,0,0,0,91350,22890
Cacao,Region VIII,Northern Samar,0804800000,0,0,0,0,0,145600,36400
Cacao,Region VIII,Samar,0806000000,0,0,0,0,0,11114,2780
Cacao,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,36272,9068
Cacao,Region IX,Sulu,0906600000,0,0,0,0,0,0,20000
Cacao,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,1554936,388734
Cacao,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,29759,5965
Cacao,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,126000,31500
Cacao,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,15498,5166
Cacao,Region X,Bukidnon,1001300000,0,0,0,0,0,664416,166104
Cacao,Region X,Camiguin,1001800000,0,0,0,0,0,44996,11249
Cacao,Region X,Lanao del Norte,1003500000,0,0,0,0,0,92400,23100
Cacao,Region X,Misamis Occidental,1004200000,0,0,0,0,0,60000,15000
Cacao,Region X,Misamis Oriental,1004300000,0,0,0,0,0,216000,54000
Cacao,Region XI,Davao de Oro,1108200000,0,0,0,0,0,1202996,300749
Cacao,Region XI,Davao del Norte,1102300000,0,0,0,0,0,2455672,612473
Cacao,Region XI,Davao del Sur,1102400000,0,0,0,0,0,5090644,791618
Cacao,Region XI,Davao Occidental,1108600000,0,0,0,0,0,2210200,552550
Cacao,Region XI,Davao Oriental,1102500000,0,0,0,0,0,1464276,366000
Cacao,Region XI,City of Davao,1130700000,0,0,0,0,0,5784042,1928014
Cacao,Region XII,Cotabato,1204700000,0,0,0,0,0,296000,75000
Cacao,Region XII,Sarangani,1208000000,0,0,0,0,0,107794,27412
Cacao,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,312000,78000
Cacao,Region XII,South Cotabato,1206300000,0,0,0,0,0,119400,29850
Cacao,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,123030,23166
Cacao,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,1626125,406535
Cacao,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,12872,3218
Cacao,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,148260,37065
Cacao,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,175332,43833
Cacao,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0,11934
Cacao,BARMM,Basilan,1900700000,0,0,0,0,0,5800,1400
Cacao,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,182880,45720
Cacao,BARMM,Maguindanao,1908800000,0,0,0,0,0,0,0
Cacao,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,0,0
Cacao,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,0,0
Cacao,BARMM,Sulu,0906600000,0,0,0,0,0,80000,0
Cacao,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,4990,1230
