Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Carrot,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,0.74,0
Carrot,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0,0
Carrot,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,2311.08,1400
Carrot,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,138.67000000000002,15
Carrot,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,0,0
Carrot,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,281.49,32
Carrot,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0,0
Carrot,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,0,0
Carrot,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,0,0
Carrot,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,0,0
Carrot,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,2.65,0.77
Carrot,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,0.06,0.12
Carrot,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0,0
Carrot,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,223.01,90.4
Carrot,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,2.72,1.5
Carrot,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Carrot,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Carrot,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0,0
Carrot,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0,0
Carrot,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0,0
Carrot,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,5.5,0.2
Carrot,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Carrot,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Carrot,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0,0
Carrot,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Carrot,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,0,0
