Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Chayote fruit,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,6.590000000000001,1.15
Chayote fruit,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,5.449999999999999,1.05
Chayote fruit,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,1875,275
Chayote fruit,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,28.830000000000002,10.59
Chayote fruit,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,10,0.3
Chayote fruit,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,54.6,3
Chayote fruit,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0,0
Chayote fruit,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,1.3,0.78
Chayote fruit,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,0.62,0.08
Chayote fruit,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,5.43,0
Chayote fruit,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,0,0
Chayote fruit,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,0.22999999999999998,0.15
Chayote fruit,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0.71,0.56
Chayote fruit,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,356.97,198
Chayote fruit,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,5.45,2.2
Chayote fruit,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0.11
Chayote fruit,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Chayote fruit,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,8.12,0.7
Chayote fruit,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,130.69,52.5
Chayote fruit,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,214.5,27.6
Chayote fruit,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,3647,1160
Chayote fruit,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,21.259999999999998,3.6
Chayote fruit,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,8.78,1.25
Chayote fruit,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0.16
Chayote fruit,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,90,20
Chayote fruit,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,13.59,3.58
Chayote fruit,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,2.08,0
Chayote fruit,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0.01,0.01
Chayote fruit,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,25.499999999999996,8.61
Chayote fruit,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,22.89,7.96
Chayote fruit,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,40.900000000000006,22
Chayote fruit,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Negros Occidental a/,1804500000,0,0,0,0,0,41,15
Chayote fruit,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Chayote fruit,Negros Island Region (NIR),Negros Oriental b/,1804600000,0,0,0,0,0,302,76
Chayote fruit,Negros Island Region (NIR),Siquijor b/,1806100000,0,0,0,0,0,3.55,0.55
Chayote fruit,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,44.44,11.5
Chayote fruit,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,509.1,65
Chayote fruit,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Chayote fruit,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,5.17,2.14
Chayote fruit,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,86.5,24
Chayote fruit,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,0.5,0.5
Chayote fruit,Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,7.55
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,88.09,8.75
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,13.399999999999999,4.2
Chayote fruit,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,28.43,14.22
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,14.75,1.7
Chayote fruit,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,200,33
Chayote fruit,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,5.34,0.53
Chayote fruit,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,56.62,7
Chayote fruit,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,56,15.5
Chayote fruit,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,79,12
Chayote fruit,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,219.35000000000002,53.1
Chayote fruit,Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,41.4,11.11
Chayote fruit,Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,126.52,15.52
Chayote fruit,Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,71.25,23.75
Chayote fruit,Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,7.83,1.13
Chayote fruit,Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,46,12
Chayote fruit,Region XII (SOCCSKSARGEN),Cotabato,1204700000,0,0,0,0,0,43.730000000000004,7.78
Chayote fruit,Region XII (SOCCSKSARGEN),Sarangani,1208000000,0,0,0,0,0,14.05,1.75
Chayote fruit,Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0,0,0,0,0,44,8
Chayote fruit,Region XII (SOCCSKSARGEN),South Cotabato,1206300000,0,0,0,0,0,49.28,19.75
Chayote fruit,Region XIII (Caraga),Agusan del Norte,1600200000,0,0,0,0,0,78,12.87
Chayote fruit,Region XIII (Caraga),City of Butuan,1630400000,0,0,0,0,0,0,6.63
Chayote fruit,Region XIII (Caraga),Agusan del Sur,1600300000,0,0,0,0,0,77,16.27
Chayote fruit,Region XIII (Caraga),Dinagat Islands,1608500000,0,0,0,0,0,0,0
Chayote fruit,Region XIII (Caraga),Surigao del Norte,1606700000,0,0,0,0,0,1.24,0.19
