Commodity type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,14549.27,14548.9,14548.63,14590.93,14591
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,17137,17110.03,17059.31,13606.94,11182
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,5903,5903.32,5897.18,5897.36,5897
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,12236.33,11246.65,11346.87,10489.41,8748.5
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,26477.81,26454.49,26384,26491,26726
Irrigated Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,4244,4220.44,3467.98,3467.7,3467.78
Irrigated Palay,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,54616,54315,54854.51,54539.13,54812
Irrigated Palay,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,32155,31231.35,31114,30918.51,32147
Irrigated Palay,REGION I (ILOCOS REGION),0103300000,La Union,24219,24279,24289.25,24285.71,24322.14
Irrigated Palay,REGION I (ILOCOS REGION),0105500000,Pangasinan,173493,173834,175792,173641,175324
Irrigated Palay,REGION II (CAGAYAN VALLEY),0200900000,Batanes,0,0,0,0,0
Irrigated Palay,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,187462,192649,194925,189483,185593
Irrigated Palay,REGION II (CAGAYAN VALLEY),0203100000,Isabela,270670,271501,271024.02,272418.21,274374.6
Irrigated Palay,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,62338,62393.25,64503.99,62914,58971
Irrigated Palay,REGION II (CAGAYAN VALLEY),0205700000,Quirino,24007,23389.19,23232.4,21659,21833.16
Irrigated Palay,REGION III (CENTRAL LUZON),0307700000,Aurora,24775,22922,21821.7,19584.95,19628
Irrigated Palay,REGION III (CENTRAL LUZON),0300800000,Bataan,26610.97,26715.69,25662.63,25043.06,25672.68
Irrigated Palay,REGION III (CENTRAL LUZON),0301400000,Bulacan,72188,80590,74769.08,66699,71800.24
Irrigated Palay,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,304279.82,286965.61,288974.45,290003.09,296725
Irrigated Palay,REGION III (CENTRAL LUZON),0305400000,Pampanga,94590.7,98182.85,94221,87406.37,89802
Irrigated Palay,REGION III (CENTRAL LUZON),0306900000,Tarlac,134568,136578,135970,136887,136558
Irrigated Palay,REGION III (CENTRAL LUZON),0307100000,Zambales,26347,23928.66,25242.61,23498.23,25645.36
Irrigated Palay,REGION IV-A (CALABARZON),0401000000,Batangas,7947.35,8330.7,9461.38,5631.16,6153
Irrigated Palay,REGION IV-A (CALABARZON),0402100000,Cavite,7171.97,5957.41,5300.64,4354.45,4926.82
Irrigated Palay,REGION IV-A (CALABARZON),0403400000,Laguna,27298,28057,29326.25,27866.94,37163.48
Irrigated Palay,REGION IV-A (CALABARZON),0405600000,Quezon,32855,30860,33035,26977.86,30249
Irrigated Palay,REGION IV-A (CALABARZON),0405800000,Rizal,5162.75,5204,5578,4589.03,4590
Irrigated Palay,MIMAROPA REGION,1704000000,Marinduque,2907,3104.92,2936,2541,3088.36
Irrigated Palay,MIMAROPA REGION,1705100000,Occidental Mindoro,58250,57639.26,57407.54,56262.08,76557.47
Irrigated Palay,MIMAROPA REGION,1705200000,Oriental Mindoro,85493,84657.51,83953,84121.3,85718.85
Irrigated Palay,MIMAROPA REGION,1705300000,Palawan,60036,63293,67100,65852,64981.28
Irrigated Palay,MIMAROPA REGION,1705900000,Romblon,5121,5291.84,5714,5059.7,5393
Irrigated Palay,REGION V (BICOL REGION),0500500000,Albay,43344,43889,43740,43928,42637.05
Irrigated Palay,REGION V (BICOL REGION),0501600000,Camarines Norte,15452,15411,15163,13428.86,13533.54
Irrigated Palay,REGION V (BICOL REGION),0501700000,Camarines Sur,131044,130123,129858,131724,132280
Irrigated Palay,REGION V (BICOL REGION),0502000000,Catanduanes,4188.32,3931.33,3171.71,2549.86,3078.56
Irrigated Palay,REGION V (BICOL REGION),0504100000,Masbate,12447,10752,11715,10649,13318
Irrigated Palay,REGION V (BICOL REGION),0506200000,Sorsogon,25236,24734,24159.43,21741.1,23154.82
Irrigated Palay,REGION VI (WESTERN VISAYAS),0600400000,Aklan,17306,19623.95,17874,15096,15668
Irrigated Palay,REGION VI (WESTERN VISAYAS),0600600000,Antique,44593,44973,38521,33063,38763
Irrigated Palay,REGION VI (WESTERN VISAYAS),0601900000,Capiz,31924,28892,26394,25660,25650
Irrigated Palay,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,4282,4632.88,4622,4407,4509
Irrigated Palay,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,113871,115745,127928,97356,115620
Irrigated Palay,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,85265,85281,85405,0,0
Irrigated Palay,NEGROS ISLAND REGION,1804500000,Negros Occidental a/,0,0,0,82917.65,93674
Irrigated Palay,NEGROS ISLAND REGION,1804600000,Negros Oriental b/,0,0,0,18780,22016
Irrigated Palay,NEGROS ISLAND REGION,1806100000,Siquijor b/,0,0,0,345,411
Irrigated Palay,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,39506,36380,41625,41738,45834
Irrigated Palay,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,3421,3596.39,3623,3153.75,3528.59
Irrigated Palay,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,18050,16748,17040,0,0
Irrigated Palay,REGION VII (CENTRAL VISAYAS),1806100000,Siquijor,510,681.41,615,0,0
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0807800000,Biliran,12292,12169,12163,12127,11629
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0802600000,Eastern Samar,4657.06,3916.78,3916,3919,3898
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0803700000,Leyte,78679.27,79226,79185,79192,80914
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0804800000,Northern Samar,2720,2724.71,2700,2602,2616
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0806000000,Samar,5717,5995,6004,5608.46,6426.98
Irrigated Palay,REGION VIII (EASTERN VISAYAS),0806400000,Southern Leyte,17457,14618.86,14545,13641,12351
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907200000,Zamboanga del Norte,16506.51,16229.28,15817.44,15035.73,15994.14
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907300000,Zamboanga del Sur,58140.02,59207.27,66044.49,67111.42,64056.1
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0908300000,Zamboanga Sibugay,19415,19696,21246.16,18971.63,21399.06
Irrigated Palay,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0,0,0,0,3572.81
Irrigated Palay,REGION X (NORTHERN MINDANAO),1001300000,Bukidnon,86026,90491.32,88948,88556,88984.3
Irrigated Palay,REGION X (NORTHERN MINDANAO),1001800000,Camiguin,578,596.75,641,541,547
Irrigated Palay,REGION X (NORTHERN MINDANAO),1003500000,Lanao del Norte,33858,35685,36791,38250.72,39144
Irrigated Palay,REGION X (NORTHERN MINDANAO),1004200000,Misamis Occidental,18475,18222.08,18144,18133,18078
Irrigated Palay,REGION X (NORTHERN MINDANAO),1004300000,Misamis Oriental,5135,5217.58,5286,5011,4373.4
Irrigated Palay,REGION XI (DAVAO REGION),1108200000,Davao de Oro (Compostela Valley),25682,26042,26404,26636.08,25630
Irrigated Palay,REGION XI (DAVAO REGION),1102300000,Davao del Norte,27868.6,29375,29326.67,30139.83,30853.78
Irrigated Palay,REGION XI (DAVAO REGION),1102400000,Davao del Sur,27483,28325,28616,28469.36,26269.99
Irrigated Palay,REGION XI (DAVAO REGION),1108600000,Davao Occidental,384.98,419.19,431.39,458,461.13
Irrigated Palay,REGION XI (DAVAO REGION),1102500000,Davao Oriental,12372,12292,12304,12346,12281
Irrigated Palay,REGION XI (DAVAO REGION),1130700000,City of Davao,0,0,0,0,1798
Irrigated Palay,REGION XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),96778,98219,96188,93600,94428
Irrigated Palay,REGION XII (SOCCSKSARGEN),1208000000,Sarangani,9964.98,10151.74,10145.98,9142.01,9856.66
Irrigated Palay,REGION XII (SOCCSKSARGEN),1206300000,South Cotabato,69374,68581,70797,68192,70431
Irrigated Palay,REGION XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,95757.73,91629,90642,89474,89331
Irrigated Palay,REGION XIII (CARAGA),1600200000,Agusan del Norte,17393,19151.77,19977,20016,20036
Irrigated Palay,REGION XIII (CARAGA),1600300000,Agusan del Sur,38585,39656,45242,44514,44529
Irrigated Palay,REGION XIII (CARAGA),1608500000,Dinagat Islands,1831,1954.61,1915,1662,1744.53
Irrigated Palay,REGION XIII (CARAGA),1606700000,Surigao del Norte,13012,12853,12976,13018,12649
Irrigated Palay,REGION XIII (CARAGA),1606800000,Surigao del Sur,17603,17936.37,17998,18461,18948
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1900700000,Basilan,163.38,253.93,235,240,260.5
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1903600000,Lanao del Sur,18999.5,19030,19026.4,19025.8,19025.8
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1908700000,Maguindanao del Norte,0,0,0,18657.6,18657.6
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1908800000,Maguindanao del Sur,25745.77,34297.14,43098,24439.4,24439.4
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1906600000,Sulu,20,0,0,0,0
Irrigated Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1907000000,Tawi-tawi,0,0,0,0,0
