Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lemon grass,CAR,Abra,1400100000,0,0,0,0,0,0.01,0.00
Lemon grass,CAR,Apayao,1408100000,0,0,0,0,0,0.08,0.04
Lemon grass,CAR,Benguet,1401100000,0,0,0,0,0,0.00,0.00
Lemon grass,CAR,Ifugao,1402700000,0,0,0,0,0,0.00,0.00
Lemon grass,CAR,Kalinga,1403200000,0,0,0,0,0,0.00,0.00
Lemon grass,CAR,Mountain Province,1404400000,0,0,0,0,0,0.00,0.00
Lemon grass,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0.37,0.05
Lemon grass,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0.26,0.26
Lemon grass,Region I,La Union,0103300000,0,0,0,0,0,3.25,1.01
Lemon grass,Region I,Pangasinan,0105500000,0,0,0,0,0,0.07,0.04
Lemon grass,Region II,Batanes,0200900000,0,0,0,0,0,0.00,0.00
Lemon grass,Region II,Cagayan,0201500000,0,0,0,0,0,0.99,0.80
Lemon grass,Region II,Isabela,0203100000,0,0,0,0,0,0.17,0.06
Lemon grass,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0.71,0.50
Lemon grass,Region II,Quirino,0205700000,0,0,0,0,0,0.53,0.40
Lemon grass,Region III,Aurora,0307700000,0,0,0,0,0,0.95,0.20
Lemon grass,Region III,Bataan,0300800000,0,0,0,0,0,5.67,0.00
Lemon grass,Region III,Bulacan,0301400000,0,0,0,0,0,32.52,5.23
Lemon grass,Region III,Nueva Ecija,0304900000,0,0,0,0,0,8.53,2.00
Lemon grass,Region III,Pampanga,0305400000,0,0,0,0,0,2.02,0.02
Lemon grass,Region III,Tarlac,0306900000,0,0,0,0,0,0.00,0.00
Lemon grass,Region III,Zambales,0307100000,0,0,0,0,0,0.04,0.00
Lemon grass,Region IV-A,Batangas,0401000000,0,0,0,0,0,0.30,0.00
Lemon grass,Region IV-A,Cavite,0402100000,0,0,0,0,0,1.62,1.50
Lemon grass,Region IV-A,Laguna,0403400000,0,0,0,0,0,4.25,1.63
Lemon grass,Region IV-A,Quezon,0405600000,0,0,0,0,0,3.60,0.00
Lemon grass,Region IV-A,Rizal,0405800000,0,0,0,0,0,7.46,0.19
Lemon grass,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0.04,0.00
Lemon grass,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0.00,0.00
Lemon grass,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,75.62,1.08
Lemon grass,MIMAROPA,Palawan,1705300000,0,0,0,0,0,13.05,1.17
Lemon grass,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.08
Lemon grass,MIMAROPA,Romblon,1705900000,0,0,0,0,0,2.75,1.20
Lemon grass,Region V,Albay,0500500000,0,0,0,0,0,71.00,10.00
Lemon grass,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.32,0.70
Lemon grass,Region V,Camarines Sur,0501700000,0,0,0,0,0,6.66,1.42
Lemon grass,Region V,Catanduanes,0502000000,0,0,0,0,0,8.00,0.92
Lemon grass,Region V,Masbate,0504100000,0,0,0,0,0,2.91,0.68
Lemon grass,Region V,Sorsogon,0506200000,0,0,0,0,0,3.05,0.45
Lemon grass,Region VI,Aklan,0600400000,0,0,0,0,0,28.55,4.27
Lemon grass,Region VI,Antique,0600600000,0,0,0,0,0,30.92,9.45
Lemon grass,Region VI,Capiz,0601900000,0,0,0,0,0,86.36,18.30
Lemon grass,Region VI,Guimaras,0607900000,0,0,0,0,0,65.10,17.50
Lemon grass,Region VI,Iloilo,0603000000,0,0,0,0,0,45.21,7.60
Lemon grass,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Lemon grass,NIR,Negros Occidental,1804500000,0,0,0,0,0,39.00,6.00
Lemon grass,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.01
Lemon grass,NIR,Negros Oriental,1804600000,0,0,0,0,0,41.90,11.00
Lemon grass,NIR,Siquijor,1806100000,0,0,0,0,0,7.54,0.60
