Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Lettuce,CAR,Abra,1400100000,0,0,0,0,0,0.10,0.00
Lettuce,CAR,Apayao,1408100000,0,0,0,0,0,0.00,0.00
Lettuce,CAR,Benguet,1401100000,0,0,0,0,0,467.00,175.00
Lettuce,CAR,Ifugao,1402700000,0,0,0,0,0,0.00,0.00
Lettuce,CAR,Kalinga,1403200000,0,0,0,0,0,0.50,0.20
Lettuce,CAR,Mountain Province,1404400000,0,0,0,0,0,18.54,5.00
Lettuce,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0.09,0.00
Lettuce,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0.00,0.00
Lettuce,Region I,La Union,0103300000,0,0,0,0,0,0.00,0.00
Lettuce,Region I,Pangasinan,0105500000,0,0,0,0,0,0.20,0.12
Lettuce,Region II,Batanes,0200900000,0,0,0,0,0,0.57,0.40
Lettuce,Region II,Cagayan,0201500000,0,0,0,0,0,0.75,0.47
Lettuce,Region II,Isabela,0203100000,0,0,0,0,0,0.60,0.12
Lettuce,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,29.21,1.12
Lettuce,Region II,Quirino,0205700000,0,0,0,0,0,0.00,0.00
Lettuce,Region III,Aurora,0307700000,0,0,0,0,0,0.00,0.00
Lettuce,Region III,Bataan,0300800000,0,0,0,0,0,3.28,0.25
Lettuce,Region III,Bulacan,0301400000,0,0,0,0,0,0.18,0.12
Lettuce,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0.05,0.00
Lettuce,Region III,Pampanga,0305400000,0,0,0,0,0,10.24,5.00
Lettuce,Region III,Tarlac,0306900000,0,0,0,0,0,0.75,0.00
Lettuce,Region III,Zambales,0307100000,0,0,0,0,0,0.48,0.19
Lettuce,Region IV-A,Batangas,0401000000,0,0,0,0,0,1.55,0.24
Lettuce,Region IV-A,Cavite,0402100000,0,0,0,0,0,34.58,8.10
Lettuce,Region IV-A,Laguna,0403400000,0,0,0,0,0,13.70,5.00
Lettuce,Region IV-A,Quezon,0405600000,0,0,0,0,0,4.85,1.00
Lettuce,Region IV-A,Rizal,0405800000,0,0,0,0,0,5.05,1.20
Lettuce,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0.56,0.42
Lettuce,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0.00,0.00
Lettuce,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0.87,0.15
Lettuce,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0.00,0.00
Lettuce,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.52
Lettuce,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0.00,0.02
Lettuce,Region V,Albay,0500500000,0,0,0,0,0,4.04,0.02
Lettuce,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.00,0.00
Lettuce,Region V,Camarines Sur,0501700000,0,0,0,0,0,0.40,0.65
Lettuce,Region V,Catanduanes,0502000000,0,0,0,0,0,0.69,0.10
Lettuce,Region V,Masbate,0504100000,0,0,0,0,0,0.10,0.00
Lettuce,Region V,Sorsogon,0506200000,0,0,0,0,0,0.09,0.06
Lettuce,Region VI,Aklan,0600400000,0,0,0,0,0,5.07,0.36
