Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Alugbati,CAR,Abra,1400100000,0,0,0,0,0,0.81,0.22
Alugbati,CAR,Apayao,1408100000,0,0,0,0,0,4.96,3.42
Alugbati,CAR,Benguet,1401100000,0,0,0,0,0,0.81,0.50
Alugbati,CAR,Ifugao,1402700000,0,0,0,0,0,2.32,0.00
Alugbati,CAR,Kalinga,1403200000,0,0,0,0,0,1.98,0.03
Alugbati,CAR,Mountain Province,1404400000,0,0,0,0,0,0.47,0.29
Alugbati,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0.94,0.14
Alugbati,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0.08,0.00
Alugbati,Region I,La Union,0103300000,0,0,0,0,0,1.66,0.28
Alugbati,Region I,Pangasinan,0105500000,0,0,0,0,0,0.62,0.01
Alugbati,Region II,Batanes,0200900000,0,0,0,0,0,0.20,0.10
Alugbati,Region II,Cagayan,0201500000,0,0,0,0,0,80.58,22.00
Alugbati,Region II,Isabela,0203100000,0,0,0,0,0,21.91,6.44
Alugbati,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,15.52,6.90
Alugbati,Region II,Quirino,0205700000,0,0,0,0,0,7.34,2.00
Alugbati,Region III,Aurora,0307700000,0,0,0,0,0,1.55,0.26
Alugbati,Region III,Bataan,0300800000,0,0,0,0,0,1.45,0.00
Alugbati,Region III,Bulacan,0301400000,0,0,0,0,0,19.14,4.50
Alugbati,Region III,Nueva Ecija,0304900000,0,0,0,0,0,3.09,0.00
Alugbati,Region III,Pampanga,0305400000,0,0,0,0,0,8.46,1.96
Alugbati,Region III,Tarlac,0306900000,0,0,0,0,0,0.45,0.15
Alugbati,Region III,Zambales,0307100000,0,0,0,0,0,0.51,0.07
Alugbati,Region IV-A,Batangas,0401000000,0,0,0,0,0,0.31,0.00
Alugbati,Region IV-A,Cavite,0402100000,0,0,0,0,0,0.97,0.32
Alugbati,Region IV-A,Laguna,0403400000,0,0,0,0,0,5.67,2.00
Alugbati,Region IV-A,Quezon,0405600000,0,0,0,0,0,1.55,0.06
Alugbati,Region IV-A,Rizal,0405800000,0,0,0,0,0,3.10,0.58
Alugbati,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0.00,0.00
Alugbati,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,3.16,0.00
Alugbati,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0.37,0.10
Alugbati,MIMAROPA,Palawan,1705300000,0,0,0,0,0,36.00,7.15
Alugbati,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.22
Alugbati,MIMAROPA,Romblon,1705900000,0,0,0,0,0,3.59,0.55
Alugbati,Region V,Albay,0500500000,0,0,0,0,0,0.59,0.59
Alugbati,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.00,0.00
Alugbati,Region V,Camarines Sur,0501700000,0,0,0,0,0,0.36,0.03
Alugbati,Region V,Catanduanes,0502000000,0,0,0,0,0,0.12,0.08
Alugbati,Region V,Masbate,0504100000,0,0,0,0,0,52.51,11.68
Alugbati,Region V,Sorsogon,0506200000,0,0,0,0,0,0.16,0.18
Alugbati,Region VI,Aklan,0600400000,0,0,0,0,0,48.18,21.00
Alugbati,Region VI,Antique,0600600000,0,0,0,0,0,83.21,12.69
Alugbati,Region VI,Capiz,0601900000,0,0,0,0,0,103.68,19.31
Alugbati,Region VI,Guimaras,0607900000,0,0,0,0,0,35.10,12.45
Alugbati,Region VI,Iloilo,0603000000,0,0,0,0,0,456.85,143.00
Alugbati,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Alugbati,NIR,Negros Occidental,1804500000,0,0,0,0,0,240.00,90.00
Alugbati,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.00
Alugbati,NIR,Negros Oriental,1804600000,0,0,0,0,0,640.00,141.00
Alugbati,NIR,Siquijor,1806100000,0,0,0,0,0,2.92,0.40
Alugbati,Region VII,Bohol,0701200000,0,0,0,0,0,51.12,14.00
Alugbati,Region VII,Cebu,0702200000,0,0,0,0,0,660.09,139.50
Alugbati,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.00,0
Alugbati,NIR,Siquijor,1806100000,0,0,0,0,0,0.00,0
Alugbati,Region VIII,Biliran,0807800000,0,0,0,0,0,2.94,2.04
Alugbati,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0.60,0.15
Alugbati,Region VIII,Leyte,0803700000,0,0,0,0,0,12.05,3.95
Alugbati,Region VIII,Northern Samar,0804800000,0,0,0,0,0,2.70,0.63
Alugbati,Region VIII,Samar,0806000000,0,0,0,0,0,46.43,0.49
Alugbati,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,25.24,1.96
Alugbati,Region IX,Sulu,0906600000,0,0,0,0,0,0.00,2.30
Alugbati,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,76.76,19.00
Alugbati,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,27.77,6.45
Alugbati,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,5.86,2.06
Alugbati,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,9.03,2.55
Alugbati,Region X,Bukidnon,1001300000,0,0,0,0,0,72.48,5.07
Alugbati,Region X,Camiguin,1001800000,0,0,0,0,0,7.96,1.21
Alugbati,Region X,Lanao del Norte,1003500000,0,0,0,0,0,88.48,9.55
Alugbati,Region X,Misamis Occidental,1004200000,0,0,0,0,0,188.00,47.80
Alugbati,Region X,Misamis Oriental,1004300000,0,0,0,0,0,335.00,65.00
Alugbati,Region XI,Davao de Oro,1108200000,0,0,0,0,0,767.98,189.24
Alugbati,Region XI,Davao del Norte,1102300000,0,0,0,0,0,97.24,19.10
Alugbati,Region XI,Davao del Sur,1102400000,0,0,0,0,0,577.88,96.93
Alugbati,Region XI,City of Davao,1130700000,0,0,0,0,0,422.55,140.85
Alugbati,Region XI,Davao Occidental,1108600000,0,0,0,0,0,2.57,0.29
Alugbati,Region XI,Davao Oriental,1102500000,0,0,0,0,0,53.43,22.55
Alugbati,Region XII,Cotabato,1204700000,0,0,0,0,0,51.96,9.49
Alugbati,Region XII,Sarangani,1208000000,0,0,0,0,0,25.46,2.70
Alugbati,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,8.25,1.70
Alugbati,Region XII,South Cotabato,1206300000,0,0,0,0,0,11.60,2.45
Alugbati,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,28.50,4.62
Alugbati,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0.00,2.38
Alugbati,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,56.77,15.21
Alugbati,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,1.28,0.31
Alugbati,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,8.30,1.20
Alugbati,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,16.60,7.67
Alugbati,BARMM,Basilan,1900700000,0,0,0,0,0,3.78,0.00
Alugbati,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,39.42,9.25
Alugbati,BARMM,Maguindanao,,0,0,0,0,0,165.02,47.51
Alugbati,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,87.20,29.60
Alugbati,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,77.82,17.91
Alugbati,BARMM,Sulu,0906600000,0,0,0,0,0,2.84,0
Alugbati,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,3.20,1.00
