Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,12,3
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,9.38,1.83
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,4.39,0
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,7.02,0.72
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,5.83,0.54
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,3.14,0.48
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,193.57,65.6
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,49.11,14.4
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,47.21,18.08
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,293.96,231
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,3.8,0.8
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,478,0.1
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,339.93,125.56
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,152.86,34.3
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,23.62,5.87
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,96.87,36.44
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,26.93,5.71
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,281,18.11
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,698.4,144.2
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,142.58,57
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,420.26,173
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,24.66,8.14
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,57.5,17.15
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,25.04,5.1
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,79.72,14.2
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,143.45,9.25
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,28.24,1.63
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,13.63,2.71
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,53.22,3.02
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,143.23,37.57
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,90.44,9.87
Ampalaya fruit [Bitter gourd],MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,6.39
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,61.95,11
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,56,18
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,36.96,14.38
