Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pili Nut,CAR,Abra,1400100000,0,0,0,0,0,0,0
Pili Nut,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Pili Nut,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Pili Nut,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Pili Nut,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Pili Nut,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Pili Nut,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Pili Nut,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Pili Nut,Region I,La Union,0103300000,0,0,0,0,0,0,0
Pili Nut,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Pili Nut,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Pili Nut,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Pili Nut,Region II,Isabela,0203100000,0,0,0,0,0,32,8
Pili Nut,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Pili Nut,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Pili Nut,Region III,Aurora,0307700000,0,0,0,0,0,468,117
Pili Nut,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Pili Nut,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Pili Nut,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Pili Nut,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Pili Nut,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Pili Nut,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Pili Nut,Region IV-A,Batangas,0401000000,0,0,0,0,0,60,15
Pili Nut,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Pili Nut,Region IV-A,Laguna,0403400000,0,0,0,0,0,320,80
Pili Nut,Region IV-A,Quezon,0405600000,0,0,0,0,0,2216,554
Pili Nut,Region IV-A,Rizal,0405800000,0,0,0,0,0,400,100
Pili Nut,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Palawan,1705300000,0,0,0,0,0,788,197
Pili Nut,MIMAROPA,Romblon,1705900000,0,0,0,0,0,80,40
Pili Nut,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Pili Nut,Region V,Albay,0500500000,0,0,0,0,0,43308,11200
Pili Nut,Region V,Camarines Norte,0501600000,0,0,0,0,0,15948,3987
Pili Nut,Region V,Camarines Sur,0501700000,0,0,0,0,0,46004,11501
Pili Nut,Region V,Catanduanes,0502000000,0,0,0,0,0,1360,459
Pili Nut,Region V,Masbate,0504100000,0,0,0,0,0,1137,377
Pili Nut,Region V,Sorsogon,0506200000,0,0,0,0,0,369911,92707
Pili Nut,Region VI,Aklan,0600400000,0,0,0,0,0,252,63
Pili Nut,Region VI,Antique,0600600000,0,0,0,0,0,0,0
