Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pineapple fiber,CAR,Abra,1400100000,0,0,0,0,0,0,0
Pineapple fiber,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Pineapple fiber,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Pineapple fiber,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Pineapple fiber,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Pineapple fiber,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Pineapple fiber,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Pineapple fiber,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Pineapple fiber,Region I,La Union,0103300000,0,0,0,0,0,0,0
Pineapple fiber,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Pineapple fiber,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Pineapple fiber,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Pineapple fiber,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Pineapple fiber,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Pineapple fiber,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Pineapple fiber,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Pineapple fiber,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Pineapple fiber,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Pineapple fiber,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Pineapple fiber,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Pineapple fiber,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Pineapple fiber,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Pineapple fiber,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Pineapple fiber,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Pineapple fiber,MIMAROPA,Palawan,1705300000,0,0,0,0,0,114.00,28.00
Pineapple fiber,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Pineapple fiber,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Albay,0500500000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Pineapple fiber,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Pineapple fiber,Region VI,Aklan,0600400000,0,0,0,0,0,60.00,10.50
Pineapple fiber,Region VI,Antique,0600600000,0,0,0,0,0,0,0
Pineapple fiber,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Pineapple fiber,Region VI,Guimaras,0607900000,0,0,0,0,0,2.50,0.67
Pineapple fiber,Region VI,Iloilo,0603000000,0,0,0,0,0,0,0
Pineapple fiber,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Pineapple fiber,NIR,Negros Occidental,1804500000,0,0,0,0,0,1.8,0.60
Pineapple fiber,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Pineapple fiber,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Pineapple fiber,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Pineapple fiber,Region VII,Bohol,0701200000,0,0,0,0,0,0,0
Pineapple fiber,Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Pineapple fiber,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Pineapple fiber,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Biliran,0807800000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Leyte,0803700000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Samar,0806000000,0,0,0,0,0,0,0
Pineapple fiber,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,0,0
Pineapple fiber,Region IX,Sulu,0906600000,0,0,0,0,0,0,0
Pineapple fiber,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,0,0
Pineapple fiber,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Pineapple fiber,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,0,0
Pineapple fiber,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,0,0
Pineapple fiber,Region X,Bukidnon,1001300000,0,0,0,0,0,0,0
Pineapple fiber,Region X,Camiguin,1001800000,0,0,0,0,0,0,0
Pineapple fiber,Region X,Lanao del Norte,1003500000,0,0,0,0,0,0,0
Pineapple fiber,Region X,Misamis Occidental,1004200000,0,0,0,0,0,0,0
Pineapple fiber,Region X,Misamis Oriental,1004300000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,Davao de Oro,1108200000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,Davao del Norte,1102300000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,Davao del Sur,1102400000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,Davao Occidental,1108600000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,Davao Oriental,1102500000,0,0,0,0,0,0,0
Pineapple fiber,Region XI,City of Davao,1130700000,0,0,0,0,0,0,0
Pineapple fiber,Region XII,Cotabato,1204700000,0,0,0,0,0,0,0
Pineapple fiber,Region XII,Sarangani,1208000000,0,0,0,0,0,0,0
Pineapple fiber,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,0,0
Pineapple fiber,Region XII,South Cotabato,1206300000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,0,0
Pineapple fiber,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Basilan,1900700000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,3.58,0
Pineapple fiber,BARMM,Maguindanao,1908800000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Sulu,0906600000,0,0,0,0,0,0,0
Pineapple fiber,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,0,0
