Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Patola,CAR,Abra,1400100000,0,0,0,0,0,60.00,15.00
Patola,CAR,Apayao,1408100000,0,0,0,0,0,10.35,0.79
Patola,CAR,Benguet,1401100000,0,0,0,0,0,0.00,0.00
Patola,CAR,Ifugao,1402700000,0,0,0,0,0,0.70,3.16
Patola,CAR,Kalinga,1403200000,0,0,0,0,0,3.35,0.01
Patola,CAR,Mountain Province,1404400000,0,0,0,0,0,0.00,0.00
Patola,Region I,Ilocos Norte,0102800000,0,0,0,0,0,229.48,62.52
Patola,Region I,Ilocos Sur,0102900000,0,0,0,0,0,46.60,15.26
Patola,Region I,La Union,0103300000,0,0,0,0,0,27.96,10.04
Patola,Region I,Pangasinan,0105500000,0,0,0,0,0,228.30,151.42
Patola,Region II,Batanes,0200900000,0,0,0,0,0,4.97,1.80
Patola,Region II,Cagayan,0201500000,0,0,0,0,0,387.11,158.00
Patola,Region II,Isabela,0203100000,0,0,0,0,0,81.37,46.05
Patola,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,39.95,11.20
Patola,Region II,Quirino,0205700000,0,0,0,0,0,28.14,4.65
Patola,Region III,Aurora,0307700000,0,0,0,0,0,83.90,5.65
Patola,Region III,Bataan,0300800000,0,0,0,0,0,8.70,2.57
Patola,Region III,Bulacan,0301400000,0,0,0,0,0,63.12,12.80
Patola,Region III,Nueva Ecija,0304900000,0,0,0,0,0,204.56,35.88
Patola,Region III,Pampanga,0305400000,0,0,0,0,0,260.00,104.00
Patola,Region III,Tarlac,0306900000,0,0,0,0,0,25.74,6.00
Patola,Region III,Zambales,0307100000,0,0,0,0,0,16.50,0.99
Patola,Region IV-A,Batangas,0401000000,0,0,0,0,0,104.42,21.25
Patola,Region IV-A,Cavite,0402100000,0,0,0,0,0,54.73,26.50
Patola,Region IV-A,Laguna,0403400000,0,0,0,0,0,22.19,6.00
Patola,Region IV-A,Quezon,0405600000,0,0,0,0,0,400.00,125.00
Patola,Region IV-A,Rizal,0405800000,0,0,0,0,0,23.67,4.40
Patola,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,9.64,0.89
Patola,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,17.24,4.05
Patola,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,5.35,0.47
Patola,MIMAROPA,Palawan,1705300000,0,0,0,0,0,35.89,6.91
Patola,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,2.25
Patola,MIMAROPA,Romblon,1705900000,0,0,0,0,0,4.41,1.25
Patola,Region V,Albay,0500500000,0,0,0,0,0,40.00,10.00
Patola,Region V,Camarines Norte,0501600000,0,0,0,0,0,44.76,38.50
Patola,Region V,Camarines Sur,0501700000,0,0,0,0,0,24.61,7.43
Patola,Region V,Catanduanes,0502000000,0,0,0,0,0,10.12,2.53
Patola,Region V,Masbate,0504100000,0,0,0,0,0,18.75,5.14
Patola,Region V,Sorsogon,0506200000,0,0,0,0,0,2.44,2.00
Patola,Region VI,Aklan,0600400000,0,0,0,0,0,17.59,10.50
Patola,Region VI,Antique,0600600000,0,0,0,0,0,12.56,2.61
Patola,Region VI,Capiz,0601900000,0,0,0,0,0,20.88,5.88
Patola,Region VI,Guimaras,0607900000,0,0,0,0,0,17.51,5.50
Patola,Region VI,Iloilo,0603000000,0,0,0,0,0,95.56,32.00
Patola,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Patola,NIR,Negros Occidental,1804500000,0,0,0,0,0,93.00,40.00
Patola,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.02
Patola,NIR,Negros Oriental,1804600000,0,0,0,0,0,109.00,23.00
Patola,NIR,Siquijor,1806100000,0,0,0,0,0,1.54,0.20
Patola,Region VII,Bohol,0701200000,0,0,0,0,0,46.47,4.00
Patola,Region VII,Cebu,0702200000,0,0,0,0,0,32.33,4.64
Patola,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.00,0
Patola,NIR,Siquijor,1806100000,0,0,0,0,0,0.00,0
Patola,Region VIII,Biliran,0807800000,0,0,0,0,0,3.68,1.81
Patola,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,9.72,2.43
Patola,Region VIII,Leyte,0803700000,0,0,0,0,0,133.00,33.65
Patola,Region VIII,Northern Samar,0804800000,0,0,0,0,0,18.94,2.65
