Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,300,75
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,118.96,32.16
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,17.5,10
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,43.47,9
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,17.4,1.8
Ampalaya fruit [Bitter gourd],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,55.66,4.51
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,497.9,104.05
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,227.79,78.67
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,259.04,120.6
Ampalaya fruit [Bitter gourd],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,702,446
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,6.95,2.95
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,350.25,115
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,445.96,189.3
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,2336,879
Ampalaya fruit [Bitter gourd],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,103.92,28.41
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,121.18,2.1
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,24.51,4.86
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,172.8,30.75
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,1684.02,602.99
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,157.64,67.64
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,56.5,10
Ampalaya fruit [Bitter gourd],Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,80.65,1.68
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,633.8,11.28
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,120.35,10.3
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,260.86,112.4
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,2335,487
Ampalaya fruit [Bitter gourd],Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,28.97,7.8
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,53.71,17.23
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,135.99,32.5
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,248.37,74.56
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,214.21,24.56
Ampalaya fruit [Bitter gourd],MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Ampalaya fruit [Bitter gourd],MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,50.97,12.25
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,1047.68,250
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0.04,97.01
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,298.18,126.28
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,64.12,16.03
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,136.19,33
Ampalaya fruit [Bitter gourd],Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,37.45,1
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,32.3,2.01
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,167.84,30.51
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,74.44,22
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,47.45,18.75
Ampalaya fruit [Bitter gourd],Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,359.15,158
