Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Tabacco,CAR,Abra,1400100000,0,0,0,0,0,6085.00,0
Tabacco,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Tabacco,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Tabacco,CAR,Ifugao,1402700000,0,0,0,0,0,13,0
Tabacco,CAR,Kalinga,1403200000,0,0,0,0,0,2.00,0
Tabacco,CAR,Mountain Province,1404400000,0,0,0,0,0,100,0
Tabacco,Region I,Ilocos Norte,0102800000,0,0,0,0,0,2539.33,212.25
Tabacco,Region I,Ilocos Sur,0102900000,0,0,0,0,0,29857.75,14965.08
Tabacco,Region I,La Union,0103300000,0,0,0,0,0,4261.78,2159.40
Tabacco,Region I,Pangasinan,0105500000,0,0,0,0,0,2741.70,18.63
Tabacco,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Tabacco,Region II,Cagayan,0201500000,0,0,0,0,0,635.65,39.00
Tabacco,Region II,Isabela,0203100000,0,0,0,0,0,7365.86,8453.33
Tabacco,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,33.04,0.50
Tabacco,Region II,Quirino,0205700000,0,0,0,0,0,22.62,7.54
Tabacco,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Tabacco,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Tabacco,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Tabacco,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Tabacco,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Tabacco,Region III,Tarlac,0306900000,0,0,0,0,0,150.00,50.00
Tabacco,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Tabacco,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Tabacco,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Tabacco,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Tabacco,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Tabacco,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Tabacco,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Tabacco,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Tabacco,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Tabacco,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Tabacco,MIMAROPA,Romblon,1705900000,0,0,0,0,0,6.64,1.60
Tabacco,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Tabacco,Region V,Albay,0500500000,0,0,0,0,0,0,0
Tabacco,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Tabacco,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Tabacco,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Tabacco,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Tabacco,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Tabacco,Region VI,Aklan,0600400000,0,0,0,0,0,0,0
Tabacco,Region VI,Antique,0600600000,0,0,0,0,0,36.00,9.00
Tabacco,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Tabacco,Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Tabacco,Region VI,Iloilo,0603000000,0,0,0,0,0,520.00,128.00
Tabacco,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Tabacco,NIR,Negros Occidental,1804500000,0,0,0,0,0,38.00,19.00
Tabacco,NIR,Negros Oriental,1804600000,0,0,0,0,0,24.00,11.30
Tabacco,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tabacco,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Tabacco,Region VII,Bohol,0701200000,0,0,0,0,0,0.04,0.01
Tabacco,Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Tabacco,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Tabacco,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Tabacco,Region VIII,Biliran,0807800000,0,0,0,0,0,3.60,0.90
Tabacco,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Tabacco,Region VIII,Leyte,0803700000,0,0,0,0,0,14.90,2.90
Tabacco,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Tabacco,Region VIII,Samar,0806000000,0,0,0,0,0,0,0
Tabacco,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,0,0
Tabacco,Region IX,Sulu,0906600000,0,0,0,0,0,0,0
Tabacco,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,20.00,5.00
Tabacco,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Tabacco,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,3.94,0.98
Tabacco,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,0,0
Tabacco,Region X,Bukidnon,1001300000,0,0,0,0,0,0,0.11
Tabacco,Region X,Camiguin,1001800000,0,0,0,0,0,0,0
Tabacco,Region X,Lanao del Norte,1003500000,0,0,0,0,0,0,0
Tabacco,Region X,Misamis Occidental,1004200000,0,0,0,0,0,0,0
Tabacco,Region X,Misamis Oriental,1004300000,0,0,0,0,0,6800.00,1700.00
Tabacco,Region XI,Davao de Oro,1108200000,0,0,0,0,0,2.35,0.46
Tabacco,Region XI,Davao del Norte,1102300000,0,0,0,0,0,12.20,3.10
Tabacco,Region XI,Davao del Sur,1102400000,0,0,0,0,0,8.24,2.08
Tabacco,Region XI,Davao Occidental,1108600000,0,0,0,0,0,0,0
Tabacco,Region XI,Davao Oriental,1102500000,0,0,0,0,0,9.00,2.20
Tabacco,Region XI,City of Davao,1130700000,0,0,0,0,0,0.02,0
Tabacco,Region XII,Cotabato,1204700000,0,0,0,0,0,0,0
Tabacco,Region XII,Sarangani,1208000000,0,0,0,0,0,8.82,2.17
Tabacco,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,4.00,1.00
Tabacco,Region XII,South Cotabato,1206300000,0,0,0,0,0,2.80,0.70
Tabacco,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,0,0
Tabacco,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,0,0
Tabacco,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,0,0
Tabacco,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,0,0
Tabacco,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,2,0
Tabacco,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0,0
Tabacco,BARMM,Basilan,1900700000,0,0,0,0,0,0,2.00
Tabacco,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,0,0
Tabacco,BARMM,Maguindanao,1908800000,0,0,0,0,0,0,0
Tabacco,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,1.60,0.40
Tabacco,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,0.52,3.00
Tabacco,BARMM,Sulu,0906600000,0,0,0,0,0,0,0
Tabacco,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,0,0
