Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Asparagus,CAR,Abra,1400100000,0,0,0,0,0,0,0
Asparagus,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Asparagus,CAR,Benguet,1401100000,0,0,0,0,0,50.18,0
Asparagus,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Asparagus,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Asparagus,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Asparagus,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Asparagus,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Asparagus,Region I,La Union,0103300000,0,0,0,0,0,0,0
Asparagus,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Asparagus,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Asparagus,Region II,Cagayan,0201500000,0,0,0,0,0.01,0,0
Asparagus,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Asparagus,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Asparagus,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Asparagus,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Asparagus,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Asparagus,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Asparagus,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Asparagus,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Asparagus,Region III,Tarlac,0306900000,15.85,16.03,11.22,11.74,11.8,11.68,3.56
Asparagus,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Asparagus,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Asparagus,Region IV-A,Cavite,0402100000,0,0,0,0,0.01,0,0
Asparagus,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Asparagus,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Asparagus,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Asparagus,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Asparagus,Region V,Albay,0500500000,0,0,0,0,0,0,0
Asparagus,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Asparagus,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Asparagus,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Asparagus,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Asparagus,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Asparagus,Region VI,Aklan,0600400000,0,0,0,0,0,0,0
Asparagus,Region VI,Antique,0600600000,0,0,0,0,0,0,0
Asparagus,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Asparagus,Region VI,Guimaras,0607900000,0,0,0,0,0,0,0
Asparagus,Region VI,Iloilo,0603000000,1.04,1,0.92,0.97,0.52,0.83,0
Asparagus,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Asparagus,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Asparagus,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Asparagus,NIR,Negros Oriental,1804600000,0,0,0,0,4.13,3.61,1.68
Asparagus,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Asparagus,Region VII,Bohol,0701200000,0,0,0,0,0.13,0,0
Asparagus,Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Asparagus,NIR,Negros Oriental,1804600000,0.96,1.46,4.63,5.92,0,0,0
Asparagus,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Asparagus,Region VIII,Biliran,0807800000,0,0,0,0,0,0,0
Asparagus,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Asparagus,Region VIII,Leyte,0803700000,0,0,0,0,0,0,0
Asparagus,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Asparagus,Region VIII,Samar,0806000000,0,0,0,0,0,0,0
Asparagus,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,0.02,0
Asparagus,Region IX,Sulu,0906600000,0,0,0,0,0,0,0
Asparagus,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,0,0
Asparagus,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Asparagus,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,0,0
Asparagus,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,0,0
Asparagus,Region X,Bukidnon,1001300000,0,0,0,0,0,0,0
Asparagus,Region X,Camiguin,1001800000,0,0,0,0,0,0,0
Asparagus,Region X,Lanao del Norte,1003500000,0,0,0,0,0,0,0
Asparagus,Region X,Misamis Occidental,1004200000,0,0,0,0,0,0,0
Asparagus,Region X,Misamis Oriental,1004300000,1.71,1.51,1.45,0.5,0.76,1.47,0.34
Asparagus,Region XI,Davao de Oro,1108200000,0,0,0,0,0,0,0
Asparagus,Region XI,Davao del Norte,1102300000,0,0,0,0,0,0,0
Asparagus,Region XI,Davao del Sur,1102400000,0,0,0,0,0,0,0
Asparagus,Region XI,City of Davao,1130700000,0,0,0,0,0,0,0
Asparagus,Region XI,Davao Occidental,1108600000,0,0,0,0,0,0,0
Asparagus,Region XI,Davao Oriental,1102500000,0,0,0,0,0,0,0
Asparagus,Region XII,Cotabato,1204700000,0,0,0,0,0,0,0
Asparagus,Region XII,Sarangani,1208000000,0,0,0,0,0,0,0
Asparagus,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,0,0
Asparagus,Region XII,South Cotabato,1206300000,1036.48,847,590.66,606.81,387.03,367.21,5.19
Asparagus,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,0,0
Asparagus,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0,0
Asparagus,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,0,0
Asparagus,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,0,0
Asparagus,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,0,0
Asparagus,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,0,0
Asparagus,BARMM,Basilan,1900700000,0,0,0,0,0,0,0
Asparagus,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,0,0
Asparagus,BARMM,Maguindanao,1908800000,0,0,0,0,0,0,0
Asparagus,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,0,0
Asparagus,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,0,0
Asparagus,Region IX,Sulu,0906600000,0,0,0,0,0,0,0
Asparagus,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,0,0
