Commodity Type,ADM2_PCODE,Province,2021,2022,2023,2024,2025,2026
Banana,0102800000,Ilocos Norte,10890.43,11609.1,11567.91,11401.85,10624.99,3212.02
Banana,0102900000,Ilocos Sur,9832.05,10679.93,10296.42,10403.81,10334.17,3536.75
Banana,0103300000,La Union,7860.01,8030.27,8110.82,7371.9,5842.33,2299.62
Banana,0105500000,Pangasinan,15828.58,16228.32,15435.88,15316.62,14708.61,2918.83
Banana,0200900000,Batanes,37.18,20.82,34.08,45.42,47.73,4.6
Banana,0201500000,Cagayan,65086.03,62001.31,65362.17,64027.59,57849.68,2471.11
Banana,0203100000,Isabela,177824.45,179818.19,181680.43,176535.8,166671.58,7712.62
Banana,0205000000,Nueva Vizcaya,26915.59,29681.2,30714.34,27863.39,24058.31,7450.6
Banana,0205700000,Quirino,58756.75,62941.31,65232.97,56240.63,49083.97,2646.88
Banana,0300800000,Bataan,1195.42,1281.17,1344.27,1257.98,1573.86,188.93
Banana,0301400000,Bulacan,18386.86,18952.73,18965.43,17262.07,17537.24,5013.95
Banana,0304900000,Nueva Ecija,7484.74,7244.49,6844.26,6195.25,5628.91,1224.88
Banana,0305400000,Pampanga,3118.91,3293.03,3426.94,3478.08,3580.45,930.15
Banana,0306900000,Tarlac,5629.25,5984.49,5984.96,5902.32,6178.61,1640.6
Banana,0307100000,Zambales,12602.31,13893.92,12392.53,10181.65,6841.39,1866.69
Banana,0307700000,Aurora,3370.43,4219.44,3809.84,3595.87,1411.12,11.72
Banana,0401000000,Batangas,29081.21,29464.49,28554.69,27751.1,26202.03,1980.55
Banana,0402100000,Cavite,18451.24,20021.58,18993.31,12410.43,12400.02,2683.8
Banana,0403400000,Laguna,10832.67,12975.36,12480.11,10972.36,11225.86,2255.8
Banana,0405600000,Quezon,27404.47,29965.24,29007.72,28649.66,30440.67,4997.26
Banana,0405800000,Rizal,3540.9,3710.05,3719.38,3495.19,3258.93,231.09
Banana,0500500000,Albay,9906.52,11896.58,9255.9,6846.15,7434.81,1567.12
Banana,0501600000,Camarines Norte,12369.17,9978.11,4958.13,4782.58,4059.62,85.87
Banana,0501700000,Camarines Sur,17903.45,24017.77,22591.52,21058.31,24296.4,1464.04
Banana,0502000000,Catanduanes,284.65,596.52,630.25,794.05,593.85,4.05
Banana,0504100000,Masbate,4511.86,5108.7,5505.19,5912.14,4944.01,687.83
Banana,0506200000,Sorsogon,13697.45,12688.94,12660.11,10183.01,9626.82,722.82
Banana,0600400000,Aklan,25229.98,27118.18,24941.39,25533.51,26267.19,9042.72
Banana,0600600000,Antique,21151.13,21047.89,21337.81,20534.98,19317.46,4675.88
Banana,0601900000,Capiz,12128.61,12468.79,12443.63,12287.39,12712.06,1190.94
Banana,0603000000,Iloilo,151576.09,145168.48,146596.67,145088.09,152083.66,35252.45
Banana,0607900000,Guimaras,9072.7,8813.78,9535.78,9265.38,8503.95,2419.81
Banana,0701200000,Bohol,30184.24,6943.35,15498.36,25833.72,29747.48,8940.95
Banana,0702200000,Cebu,86909.73,82383.64,85969.51,80542.35,82206.97,13550.68
Banana,0802600000,Eastern Samar,1996.0,2184.88,3951.25,4596.44,7165.49,433.02
Banana,0803700000,Leyte,27723.95,26538.43,25594.26,26072.25,25928.18,4646.0
Banana,0804800000,Northern Samar,18123.5,18231.19,18362.84,18331.63,18297.2,2792.5
Banana,0806000000,Samar (Western Samar),123659.78,145319.4,164230.46,165372.01,161549.49,48520.88
Banana,0806400000,Southern Leyte,62428.62,37974.37,42212.3,42324.1,40579.6,5316.52
Banana,0807800000,Biliran,7409.0,8679.25,8817.69,7565.9,7319.9,1044.53
Banana,0906600000,,15780.0,15767.0,15915.0,15981.0,16853.81,2889.82
Banana,0907200000,Zamboanga del Norte,87398.86,88508.34,88104.42,84200.31,87840.85,10006.8
Banana,0907300000,Zamboanga del Sur,86097.58,91585.08,159670.78,151854.49,98161.36,12650.97
Banana,0907400000,Zamboanga City,68294.21,70366.6,,,66049.76,25850.62
Banana,0908300000,Zamboanga Sibugay,25768.88,25927.5,26056.36,25472.97,26153.33,5761.87
Banana,1001300000,Bukidnon,1433671.55,1437720.94,1426480.88,1386301.07,1357495.76,331700.98
Banana,1001800000,Camiguin,4771.4,3883.49,5728.54,4151.63,6343.8,610.23
Banana,1003500000,Lanao del Norte,283178.0,283364.0,283859.0,284011.0,283603.0,96182.53
