Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana,Cordillera Administrative Region (CAR),Abra,1400100000,5969.2,5826.54,5818.91,4212.44,3245.51,3808.18,1071.47
Banana,Cordillera Administrative Region (CAR),Apayao,1408100000,6888.61,7175.9,7178.58,6932.97,5686.97,5973.28,422.69
Banana,Cordillera Administrative Region (CAR),Benguet,1401100000,1576.2,1605.03,1805.19,1834.4,1418.64,1338.48,509.35
Banana,Cordillera Administrative Region (CAR),Ifugao,1402700000,3142.35,3370.15,3837.07,3920.78,3738.38,2941.94,411.17
Banana,Cordillera Administrative Region (CAR),Kalinga,1403200000,1367.63,1521.8,1786.75,1862.66,2029.55,1981.89,806.8
Banana,Cordillera Administrative Region (CAR),Mountain Province,1404400000,1543.06,1598.18,1620.3,1713.09,1658.72,1562.46,94.72
Banana,Region I (Ilocos Region),Ilocos Norte,102800000,10447.33,10890.43,11609.1,11567.91,11401.84,10625.01,3212.03
Banana,Region I (Ilocos Region),Ilocos Sur,102900000,9580.62,9832.05,10679.93,10296.41,10403.81,10334.18,3536.74
Banana,Region I (Ilocos Region),La Union,103300000,7814.65,7860,8030.27,8110.83,7371.92,5842.33,2299.63
Banana,Region I (Ilocos Region),Pangasinan,105500000,15756.87,15828.58,16228.32,15435.88,15316.62,14708.61,2918.82
Banana,Region II (Cagayan Valley),Batanes,200900000,48.21,37.18,20.82,34.08,45.42,47.73,4.6
Banana,Region II (Cagayan Valley),Cagayan,201500000,66973.06,65086.03,62001.31,65362.17,64027.58,57849.69,2471.11
Banana,Region II (Cagayan Valley),Isabela,203100000,177341.58,177824.44,179818.18,181680.43,176535.79,166671.58,7712.61
Banana,Region II (Cagayan Valley),Nueva Vizcaya,205000000,25945.07,26915.59,29681.2,30714.34,27863.37,24058.31,7450.6
Banana,Region II (Cagayan Valley),Quirino,205700000,56989.4,58756.75,62941.31,65232.97,56240.63,49083.97,2646.88
Banana,Region III (Central Luzon),Aurora,307700000,5751.46,3370.43,4219.44,3809.84,3595.87,1411.1,11.72
Banana,Region III (Central Luzon),Bataan,300800000,1132.62,1195.42,1281.17,1344.25,1257.97,1573.83,188.92
Banana,Region III (Central Luzon),Bulacan,301400000,19408.38,18386.86,18952.73,18965.43,17262.08,17537.24,5013.95
