Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Banana,Cordillera Administrative Region (CAR),Abra,1400100000,314162,306142,303113,281495,198781,212015,0
Banana,Cordillera Administrative Region (CAR),Apayao,1408100000,219221,221213,224206,220800,232850,238600,0
Banana,Cordillera Administrative Region (CAR),Benguet,1401100000,59961,56591,57470,61670,37993,21825,0
Banana,Cordillera Administrative Region (CAR),Ifugao,1402700000,173551,182066,194452,174409,191132,155698,0
Banana,Cordillera Administrative Region (CAR),Kalinga,1403200000,92100,97100,109500,125591,492545,501564,0
Banana,Cordillera Administrative Region (CAR),Mountain Province,1404400000,107588,107695,107930,109714,107660,52325,0
Banana,Region I (Ilocos Region),Ilocos Norte,0102800000,581527,588071,595553,596871,596871,588689,0
Banana,Region I (Ilocos Region),Ilocos Sur,0102900000,733041,733526,734701,769912,723149,722156,0
Banana,Region I (Ilocos Region),La Union,0103300000,383876,384569,383204,390403,389323,382501,0
Banana,Region I (Ilocos Region),Pangasinan,0105500000,1255064,1248500,1250005,1282234,1293281,1233160,0
Banana,Region II (Cagayan Valley),Batanes,0200900000,18693,18614,16342,16016,18028,14802,0
Banana,Region II (Cagayan Valley),Cagayan,0201500000,2634020,2653236,2662996,2717599,2712750,1940789,0
Banana,Region II (Cagayan Valley),Isabela,0203100000,4923489,4925252,4936446,4939418,4937194,3846385,0
Banana,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,1306409,1307870,1314892,1362737,1371556,1080376,0
Banana,Region II (Cagayan Valley),Quirino,0205700000,3133518,3136177,3136351,3278249,3278482,2859186,0
Banana,Region III (Central Luzon),Aurora,0307700000,264919,263154,263689,269475,285966,85783,0
Banana,Region III (Central Luzon),Bataan,0300800000,113677,113776,108814,111871,112695,286411,0
Banana,Region III (Central Luzon),Bulacan,0301400000,627260,566965,582117,576537,624132,613332,0
Banana,Region III (Central Luzon),Nueva Ecija,0304900000,270545,270500,270919,270124,266543,262668,0
Banana,Region III (Central Luzon),Pampanga,0305400000,191442,191384,182054,183083,224207,223798,0
Banana,Region III (Central Luzon),Tarlac,0306900000,250885,250885,250860,250860,250860,251267,0
Banana,Region III (Central Luzon),Zambales,0307100000,286768,286902,286303,294071,294071,294071,0
Banana,Region IV-A (CALABARZON),Batangas,0401000000,2887200,2838780,2792369,2652954,2734104,2353363,0
Banana,Region IV-A (CALABARZON),Cavite,0402100000,1446330,1430040,1430040,1394976,724100,610174,0
Banana,Region IV-A (CALABARZON),Laguna,0403400000,1951758,1943291,1943291,1934071,1937171,1943371,0
Banana,Region IV-A (CALABARZON),Quezon,0405600000,2691304,2623969,2627787,2642037,2642625,2642645,0
Banana,Region IV-A (CALABARZON),Rizal,0405800000,388598,387893,357876,359270,359270,359270,0
Banana,MIMAROPA Region,Marinduque,1704000000,107369,86041,87644,165032,206627,189383,0
Banana,MIMAROPA Region,Occidental Mindoro,1705100000,310480,311266,311709,355177,360440,360440,0
Banana,MIMAROPA Region,Oriental Mindoro,1705200000,1668405,835715,835037,838377,937780,2074503,0
Banana,MIMAROPA Region,Palawan,1705300000,2761990,2760317,1609032,1785961,1680260,1662711,0
Banana,MIMAROPA Region,Romblon,1705900000,539776,540549,539367,565628,575853,574734,0
Banana,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Banana,Region V (Bicol Region),Albay,0500500000,266900,266900,260800,294468,322206,294757,0
Banana,Region V (Bicol Region),Camarines Norte,0501600000,2174119,2307704,2300516,2299838,1375341,1375338,0
Banana,Region V (Bicol Region),Camarines Sur,0501700000,2458631,2455876,2462693,2462517,2442358,2442358,0
Banana,Region V (Bicol Region),Catanduanes,0502000000,198892,197872,143772,185548,210626,143063,0
Banana,Region V (Bicol Region),Masbate,0504100000,357020,357020,331992,331992,364699,359651,0
Banana,Region V (Bicol Region),Sorsogon,0506200000,849924,849906,848285,828943,826429,720906,0
Banana,Region VI (Western Visayas),Aklan,0600400000,1800310,1800422,1800422,1800422,1812120,1673690,0
Banana,Region VI (Western Visayas),Antique,0600600000,996789,996500,999461,998650,998170,998357,0
Banana,Region VI (Western Visayas),Capiz,0601900000,732265,734110,737475,737575,736100,736480,0
Banana,Region VI (Western Visayas),Guimaras,0607900000,252550,255525,255592,320440,321422,320440,0
Banana,Region VI (Western Visayas),Iloilo,0603000000,5585278,5587178,5590619,5590619,5590619,5590619,0
Banana,Region VI (Western Visayas),Negros Occidental,1804500000,4684600,4684600,4598140,4585700,0,0,0
Banana,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,4560787,4535287,0
Banana,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,3424622,3516279,0
Banana,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,720740,720740,0
Banana,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Banana,Region VII (Central Visayas),Bohol,0701200000,1538103,1541974,1198982,1371751,901400,866550,0
Banana,Region VII (Central Visayas),Cebu,0702200000,2489683,2488533,2443322,2552071,2552071,2552071,0
Banana,Negros Island Region (NIR),Negros Oriental,1804600000,2905427,3278467,3140090,3569972,0,0,0
Banana,Negros Island Region (NIR),Siquijor,1806100000,720876,721475,720672,720740,0,0,0
Banana,Region VIII (Eastern Visayas),Biliran,0807800000,365000,370800,372455,371529,313020,330099,0
Banana,Region VIII (Eastern Visayas),Eastern Samar,0802600000,171550,171611,171820,276494,276494,276480,0
Banana,Region VIII (Eastern Visayas),Leyte,0803700000,1549622,1549622,1549622,1550807,1550685,1549842,0
Banana,Region VIII (Eastern Visayas),Northern Samar,0804800000,708049,708049,708099,708099,709446,709439,0
Banana,Region VIII (Eastern Visayas),Samar,0806000000,1863691,2044700,2515345,2901057,3102117,2994412,0
Banana,Region VIII (Eastern Visayas),Southern Leyte,0806400000,2620780,2568310,772343,1143467,863534,782253,0
Banana,Region IX (Zamboanga Peninsula),Sulu,0906600000,0,0,0,0,0,0,0
Banana,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,3642547,3642890,3663389,3973834,3362640,3353684,0
Banana,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,2185850,2185850,2186268,3432759,3431191,3432091,0
Banana,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,558370,558790,558840,558683,558683,556052,0
Banana,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,1228836,1221430,1221361,0,0,1219635,0
Banana,Region X (Northern Mindanao),Bukidnon,1001300000,30430178,30652895,31074275,31104476,31072550,31066183,0
Banana,Region X (Northern Mindanao),Camiguin,1001800000,349527,350160,283963,318984,296948,284948,0
Banana,Region X (Northern Mindanao),Lanao del Norte,1003500000,6604070,6671605,6672695,6672940,6697940,6691890,0
Banana,Region X (Northern Mindanao),Misamis Occidental,1004200000,3132050,3212250,3214350,3211710,2934148,2934147,0
Banana,Region X (Northern Mindanao),Misamis Oriental,1004300000,10030130,9913421,9963466,10388522,10375076,10431057,0
Banana,Region XI (Davao Region),Davao de Oro,1108200000,27872890,27838990,27850203,27748503,23036537,22034922,0
Banana,Region XI (Davao Region),Davao del Norte,1102300000,43549534,39718872,40103807,40117699,40113012,40141018,0
Banana,Region XI (Davao Region),Davao del Sur,1102400000,8828271,8726101,8705219,14332391,14332391,14332391,0
Banana,Region XI (Davao Region),Davao Occidental,1108600000,2980696,2980736,2940736,2948508,2940736,2993622,0
Banana,Region XI (Davao Region),Davao Oriental,1102500000,7747452,7803724,7780264,7779806,7779806,7751588,0
Banana,Region XI (Davao Region),City of Davao,1130700000,5561420,5707872,5702222,0,0,4588175,0
Banana,Region XII (SOCCSKSARGEN),Cotabato,1204700000,17428410,17379600,17471970,17018500,19912380,19188495,0
Banana,Region XII (SOCCSKSARGEN),Sarangani,1208000000,5060235,4575004,4549074,4326676,4508619,4416510,0
Banana,Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,5212023,5197112,5449461,5617706,5763832,5697378,0
Banana,Region XII (SOCCSKSARGEN),South Cotabato,1206300000,8320341,8272954,8205174,8261300,8087352,8049312,0
Banana,Region XIII (Caraga),Agusan del Norte,1600200000,2584563,2585079,2364365,2551814,2523380,2601594,0
Banana,Region XIII (Caraga),Agusan del Sur,1600300000,4382253,4420359,4418589,4414656,4414656,4525023,0
Banana,Region XIII (Caraga),Dinagat Islands,1608500000,16407,18352,14153,38762,51754,23813,0
Banana,Region XIII (Caraga),Surigao del Norte,1606700000,323575,321009,314174,314174,313944,313944,0
Banana,Region XIII (Caraga),Surigao del Sur,1606800000,4490636,4484588,3587553,2672583,2878247,2826247,0
Banana,Region XIII (Caraga),City of Butuan,1630400000,0,0,0,0,0,0,0
Banana,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)3,Basilan,1900700000,1044714,1044946,1084916,1039397,911579,911579,0
Banana,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)4,Lanao del Sur,1903600000,1917125,1917115,1917177,1919177,1919183,1919179,0
