Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Bariw,CAR,Abra,1400100000,0,0,0,0,0,0,0
Bariw,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Bariw,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Bariw,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Bariw,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Bariw,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Bariw,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Bariw,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Bariw,Region I,La Union,0103300000,0,0,0,0,0,0,0
Bariw,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Bariw,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Bariw,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Bariw,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Bariw,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Bariw,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Bariw,Region III,Aurora,0307700000,0,0,0,0,0,0,0
Bariw,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Bariw,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Bariw,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Bariw,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Bariw,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Bariw,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Bariw,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Bariw,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Bariw,Region IV-A,Laguna,0403400000,0,0,0,0,0,0,0
Bariw,Region IV-A,Quezon,0405600000,0,0,0,0,0,0,0
Bariw,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Bariw,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Bariw,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Bariw,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Bariw,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Bariw,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Bariw,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Bariw,Region V,Albay,0500500000,0,0,0,0,0,0,0
Bariw,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Bariw,Region V,Camarines Sur,0501700000,0,0,0,0,0,0,0
Bariw,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Bariw,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Bariw,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Bariw,Region VI,Aklan,0600400000,0,0,0,0,0,36.00,9.00
Bariw,Region VI,Antique,0600600000,0,0,0,0,0,13.20,3.30
Bariw,Region VI,Capiz,0601900000,0,0,0,0,0,0,0
Bariw,Region VI,Guimaras,0607900000,0,0,0,0,0,3.04,0.76
Bariw,Region VI,Iloilo,0603000000,0,0,0,0,0,0,0
Bariw,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Bariw,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Bariw,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Bariw,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Bariw,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Bariw,Region VII,Bohol,0701200000,0,0,0,0,0,7.52,0
Bariw,Region VII,Cebu,0702200000,0,0,0,0,0,0,0
Bariw,NIR,Negros Oriental,1804600000,0,0,0,0,0,0,0
Bariw,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Bariw,Region VIII,Biliran,0807800000,0,0,0,0,0,3.50,0.84
