Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cacao,CAR,Abra,1400100000,,,,,,0.00114014,0.00000000
Cacao,CAR,Apayao,1408100000,,,,,,0.00041646,0.00073984
Cacao,CAR,Benguet,1401100000,,,,,,0.00014536,0.00049286
Cacao,CAR,Ifugao,1402700000,,,,,,0.00017250,0.00013667
Cacao,CAR,Kalinga,1403200000,,,,,,0.00300323,0.00483871
Cacao,CAR,Mountain Province,1404400000,,,,,,0.00158113,0.00081481
Cacao,Region I,Ilocos Norte,0102800000,,,,,,0.00094548,0.00131617
Cacao,Region I,Ilocos Sur,0102900000,,,,,,0.00078155,0.00255501
Cacao,Region I,La Union,0103300000,,,,,,0.00091227,0.00060550
Cacao,Region I,Pangasinan,0105500000,,,,,,0.00061035,0.00193188
Cacao,Region II,Batanes,0200900000,,,,,,,
Cacao,Region II,Cagayan,0201500000,,,,,,0.00037050,0.00003507
Cacao,Region II,Isabela,0203100000,,,,,,0.00007118,0.00009076
Cacao,Region II,Nueva Vizcaya,0205000000,,,,,,0.00042955,0.00012473
Cacao,Region II,Quirino,0205700000,,,,,,0.00005278,0.00003322
Cacao,Region III,Aurora,0307700000,,,,,,0.00003838,0.00000101
Cacao,Region III,Bataan,0300800000,,,,,,0.00066088,0.00000000
Cacao,Region III,Bulacan,0301400000,,,,,,0.00222500,0.00005000
Cacao,Region III,Nueva Ecija,0304900000,,,,,,,
Cacao,Region III,Pampanga,0305400000,,,,,,,
Cacao,Region III,Tarlac,0306900000,,,,,,0.00227273,0.00000000
Cacao,Region III,Zambales,0307100000,,,,,,0.00003378,0.00000000
Cacao,Region IV-A,Batangas,0401000000,,,,,,0.00064620,0.00048101
Cacao,Region IV-A,Cavite,0402100000,,,,,,0.00386600,0.00147727
Cacao,Region IV-A,Laguna,0403400000,,,,,,0.00138385,0.00249744
Cacao,Region IV-A,Quezon,0405600000,,,,,,0.00121472,0.00214094
Cacao,Region IV-A,Rizal,0405800000,,,,,,0.00103190,0.00072024
Cacao,MIMAROPA,Marinduque,1704000000,,,,,,0.00086682,0.00210736
Cacao,MIMAROPA,Occidental Mindoro,1705100000,,,,,,0.00000000,0.01324385
Cacao,MIMAROPA,Oriental Mindoro,1705200000,,,,,,0.00024723,0.00008706
Cacao,MIMAROPA,Palawan,1705300000,,,,,,0.00057130,0.00123165
Cacao,MIMAROPA,Romblon,1705900000,,,,,,0.00041938,0.00022476
Cacao,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,0.00075594
Cacao,Region V,Albay,0500500000,,,,,,0.00029440,0.00006192
Cacao,Region V,Camarines Norte,0501600000,,,,,,0.00024521,0.00003482
Cacao,Region V,Camarines Sur,0501700000,,,,,,0.00176372,0.00424186
Cacao,Region V,Catanduanes,0502000000,,,,,,0.00025468,0.00941176
Cacao,Region V,Masbate,0504100000,,,,,,0.00063536,
Cacao,Region V,Sorsogon,0506200000,,,,,,0.00043992,0.00032266
Cacao,Region VI,Aklan,0600400000,,,,,,0.00010927,0.00015977
Cacao,Region VI,Antique,0600600000,,,,,,0.00036012,0.00038462
Cacao,Region VI,Capiz,0601900000,,,,,,0.00047048,0.00038021
Cacao,Region VI,Guimaras,0607900000,,,,,,0.00094352,0.00050369
Cacao,Region VI,Iloilo,0603000000,,,,,,0.00139840,0.00238160
Cacao,NIR,Negros Occidental,1804500000,,,,,,,
Cacao,NIR,Negros Occidental,1804500000,,,,,,0.00042870,-0.00062222
Cacao,NIR,Negros Oriental,1804600000,,,,,,0.00016800,0.00006237
Cacao,NIR,Siquijor,1806100000,,,,,,0.00029929,0.00047143
Cacao,NIR,City of Bacolod,1830200000,,,,,,,
Cacao,Region VII,Bohol,0701200000,,,,,,0.00082745,0.00108551
Cacao,Region VII,Cebu,0702200000,,,,,,0.00069972,0.00071011
Cacao,NIR,Negros Oriental,1804600000,,,,,,,
Cacao,NIR,Siquijor,1806100000,,,,,,,
Cacao,Region VIII,Biliran,0807800000,,,,,,0.00043179,0.00018635
Cacao,Region VIII,Eastern Samar,0802600000,,,,,,0.00022493,0.00027060
Cacao,Region VIII,Leyte,0803700000,,,,,,0.00014450,0.00011359
Cacao,Region VIII,Northern Samar,0804800000,,,,,,0.00019135,0.00029258
Cacao,Region VIII,Samar,0806000000,,,,,,0.00071981,0.00163669
Cacao,Region VIII,Southern Leyte,0806400000,,,,,,0.00066360,0.00046096
Cacao,Region IX,Sulu,0906600000,,,,,,,0.00039450
Cacao,Region IX,Zamboanga del Norte,0907200000,,,,,,0.00035331,0.00026990
Cacao,Region IX,Zamboanga del Sur,0907300000,,,,,,0.00107295,0.00095222
Cacao,Region IX,Zamboanga Sibugay,0908300000,,,,,,0.00022159,0.00017587
Cacao,Region IX,City of Zamboanga,0907400000,,,,,,0.00110595,0.00114015
Cacao,Region X,Bukidnon,1001300000,,,,,,0.00023989,0.00024834
Cacao,Region X,Camiguin,1001800000,,,,,,0.00052805,0.00047204
Cacao,Region X,Lanao del Norte,1003500000,,,,,,0.00058149,0.00068831
Cacao,Region X,Misamis Occidental,1004200000,,,,,,0.00052583,0.00104800
Cacao,Region X,Misamis Oriental,1004300000,,,,,,0.00018375,0.00010611
Cacao,Region XI,Davao de Oro,1108200000,,,,,,0.00059341,0.00091159
Cacao,Region XI,Davao del Norte,1102300000,,,,,,0.00062404,0.00044446
Cacao,Region XI,Davao del Sur,1102400000,,,,,,0.00036927,0.00050807
Cacao,Region XI,Davao Occidental,1108600000,,,,,,0.00031837,0.00020963
Cacao,Region XI,Davao Oriental,1102500000,,,,,,0.00040600,0.00034172
Cacao,Region XI,City of Davao,1130700000,,,,,,0.00047094,0.00053527
Cacao,Region XII,Cotabato,1204700000,,,,,,0.00049895,0.00036600
Cacao,Region XII,Sarangani,1208000000,,,,,,0.00039993,0.00037028
Cacao,Region XII,Sultan Kudarat,1206500000,,,,,,0.00026949,0.00065346
Cacao,Region XII,South Cotabato,1206300000,,,,,,0.00037027,0.00030955
Cacao,Region XIII,Agusan del Norte,1600200000,,,,,,0.00019532,0.00018087
Cacao,Region XIII,Agusan del Sur,1600300000,,,,,,0.00015082,0.00030627
Cacao,Region XIII,Dinagat Islands,1608500000,,,,,,0.00000000,0.00009633
Cacao,Region XIII,Surigao del Norte,1606700000,,,,,,0.00001990,0.00004667
Cacao,Region XIII,Surigao del Sur,1606800000,,,,,,0.00012987,0.00017042
Cacao,Region XIII,City of Butuan,1630400000,,,,,,,0.00011899
Cacao,BARMM,Basilan,1900700000,,,,,,0.00000000,0.00000000
Cacao,BARMM,Lanao del Sur,1903600000,,,,,,0.00029254,0.00004156
Cacao,BARMM,Maguindanao,1908800000,,,,,,,
Cacao,BARMM,Maguindanao del Norte,1908700000,,,,,,,
Cacao,BARMM,Maguindanao del Sur,1908800000,,,,,,,
Cacao,BARMM,Sulu,0906600000,,,,,,0.00016375,
Cacao,BARMM,Tawi-tawi,1907000000,,,,,,0.00002806,0.00000000
