Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Cattle,CAR,Abra,1400100000,1401.23,1319.60,1146.23,1130.78,1116.93,1195.25
Cattle,CAR,Apayao,1408100000,278.47,200.57,198.02,226.51,221.20,217.20
Cattle,CAR,Benguet,1401100000,506.60,509.72,569.36,587.60,559.93,587.68
Cattle,CAR,Ifugao,1402700000,536.94,701.56,669.08,608.03,633.25,551.83
Cattle,CAR,Kalinga,1403200000,489.12,534.27,566.12,519.10,544.56,563.92
Cattle,CAR,Mountain Province,1404400000,144.58,150.49,136.27,152.37,156.31,143.20
Cattle,Region I,Ilocos Norte,102800000,6351.17,6326.15,6230.66,6501.88,6758.97,6937.97
Cattle,Region I,Ilocos Sur,102900000,3847.08,3161.45,3821.93,3577.37,3082.63,4890.49
Cattle,Region I,La Union,103300000,2041.34,1505.11,1723.87,1977.55,2112.49,2248.53
Cattle,Region I,Pangasinan,105500000,12897.29,14113.07,11590.86,10087.22,8216.98,9298.43
Cattle,Region II,Batanes,200900000,91.93,111.16,79.46,63.51,128.21,116.67
Cattle,Region II,Cagayan,201500000,2768.31,2974.23,2984.42,2315.67,1925.75,1702.98
Cattle,Region II,Isabela,203100000,8413.58,8335.71,8790.56,8634.62,9025.07,8538.52
Cattle,Region II,Nueva Vizcaya,205000000,1331.09,1355.38,1334.52,1218.37,1198.49,1264.01
Cattle,Region II,Quirino,205700000,698.87,632.63,607.95,662.03,615.98,556.31
Cattle,Region III,Aurora,307700000,512.41,528.01,505.01,477.46,563.36,464.32
Cattle,Region III,Bataan,300800000,641.28,628.60,811.47,850.34,897.47,940.70
Cattle,Region III,Bulacan,301400000,2485.72,1956.60,1814.92,1720.04,1750.10,1480.29
Cattle,Region III,Nueva Ecija,304900000,3245.22,2525.88,2176.63,2038.78,1887.09,1648.18
Cattle,Region III,Pampanga,305400000,2210.67,2499.60,1886.78,1935.08,1930.79,2009.13
Cattle,Region III,Tarlac,306900000,5797.23,4931.18,3988.89,4143.47,4195.96,4299.80
Cattle,Region III,Zambales,307100000,1520.40,1700.64,1730.37,1586.36,1596.52,1706.37
Cattle,Region IV-A,Batangas,401000000,12682.35,13966.38,13383.87,12941.61,14168.88,14901.81
Cattle,Region IV-A,Cavite,402100000,2562.12,2973.15,2654.52,2700.52,2815.39,3111.74
Cattle,Region IV-A,Laguna,403400000,2061.03,2396.40,2060.94,1925.86,1971.47,2040.73
Cattle,Region IV-A,Quezon,405600000,7044.90,7942.86,7190.09,6940.12,5232.71,5186.92
Cattle,Region IV-A,Rizal,405800000,1173.06,1341.10,1102.12,917.24,916.63,1017.44
Cattle,MIMAROPA,Marinduque,1704000000,284.02,481.19,702.46,873.60,939.24,823.06
Cattle,MIMAROPA,Occidental Mindoro,1705100000,1615.95,2290.30,2486.59,2404.74,2931.96,3150.83
Cattle,MIMAROPA,Oriental Mindoro,1705200000,1730.58,2287.15,1769.76,1348.73,1387.19,1176.65
Cattle,MIMAROPA,Palawan,1705300000,4129.72,4271.93,4349.36,4820.20,4964.83,5599.73
Cattle,MIMAROPA,Romblon,1705900000,892.00,1351.40,1054.60,742.85,765.81,743.09
Cattle,Region V,Albay,500500000,207.59,223.59,439.92,472.69,545.27,589.08
Cattle,Region V,Camarines Norte,501600000,750.43,761.60,635.71,603.21,647.55,631.60
Cattle,Region V,Camarines Sur,501700000,3120.14,3326.19,3283.53,3340.21,3423.99,3055.06
Cattle,Region V,Catanduanes,502000000,222.80,235.50,242.53,251.25,221.00,231.00
Cattle,Region V,Masbate,504100000,9877.15,9859.90,9771.80,9887.96,9129.26,8781.19
Cattle,Region V,Sorsogon,506200000,2511.38,2634.95,2687.72,2385.32,1822.75,1627.60
Cattle,Region VI,Aklan,600400000,2755.42,2653.17,3088.26,3233.45,2701.66,1927.28
Cattle,Region VI,Antique,600600000,3163.98,3376.71,3886.31,3904.87,3678.23,3965.40
Cattle,Region VI,Capiz,601900000,1940.46,1865.31,1879.31,1784.27,1685.85,1512.45
Cattle,Region VI,Guimaras,607900000,1128.13,1136.50,1070.38,894.20,608.68,654.66
