Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Coir,CAR,Abra,1400100000,0,0,0,0,0,0,0
Coir,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Coir,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Coir,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Coir,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Coir,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Coir,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Coir,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Coir,Region I,La Union,0103300000,0,0,0,0,0,0,0
Coir,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Coir,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Coir,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Coir,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Coir,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Coir,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Coir,Region III,Aurora,0307700000,0,0.8,0,0,0,0,0
Coir,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Coir,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Coir,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Coir,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Coir,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Coir,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Coir,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Coir,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Coir,Region IV-A,Laguna,0403400000,594.09,597.20,597.44,571.82,569.81,564.63,0
Coir,Region IV-A,Quezon,0405600000,99.54,108.72,12.05,11.29,15.23,19.10,0
Coir,Region IV-A,Rizal,0405800000,0,0,0,0,0,0,0
Coir,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Coir,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Coir,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Coir,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0,0
Coir,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Coir,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Coir,Region V,Albay,0500500000,49.97,46.50,43.15,19.84,10.60,0,0
Coir,Region V,Camarines Norte,0501600000,5.2,3,0,0,0,0,0
Coir,Region V,Camarines Sur,0501700000,2.46,0,0,0,0,0,0
Coir,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Coir,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Coir,Region V,Sorsogon,0506200000,4.46,3.55,3.00,2.41,1.5,0,0
Coir,Region VI,Aklan,0600400000,32.21,31.20,29.81,29.29,30.08,30.13,0.02
Coir,Region VI,Antique,0600600000,0.67,1.53,1.71,2.59,2.28,2.25,0
Coir,Region VI,Capiz,0601900000,12.25,12.65,15.04,14.73,15.70,16.38,4.57
Coir,Region VI,Guimaras,0607900000,0.40,0.19,0.73,0.46,0.37,0.41,0
Coir,Region VI,Iloilo,0603000000,1.69,1.80,1.73,1.96,1.85,1.89,0
Coir,NIR,Negros Occidental,1804500000,146.09,145.22,154.49,178.27,0,0,0
Coir,NIR,Negros Occidental,1804500000,0,0,0,0,157.26,144.39,0
Coir,NIR,Negros Oriental,1804600000,0,0,0,0,12.28,12.26,0
Coir,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
