Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Broccoli,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,0,0
Broccoli,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0,0
Broccoli,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,643,380
Broccoli,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,0,0
Broccoli,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,0,0
Broccoli,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,8.1,2.3
Broccoli,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0,0
Broccoli,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,0,0
Broccoli,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,0,0
Broccoli,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,0,0
Broccoli,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,0.45,0.25
Broccoli,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,0,0
Broccoli,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0,0
Broccoli,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,34.21,7.2
Broccoli,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Broccoli,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Broccoli,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0,0
Broccoli,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0.2,0
Broccoli,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0,0
Broccoli,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,0,0
Broccoli,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Broccoli,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Broccoli,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,5.09,3
Broccoli,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Broccoli,Region VI (Western Visayas),Negros Occidental a/,1804500000,0,0,0,0,0,0,0
Broccoli,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Broccoli,Negros Island Region (NIR),Negros Oriental b/,1804600000,0,0,0,0,0,10.59,3
Broccoli,Negros Island Region (NIR),Siquijor b/,1806100000,0,0,0,0,0,0,0
Broccoli,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,0.01,0
Broccoli,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,10,0
Broccoli,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Broccoli,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0,0
Broccoli,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,0,0
Broccoli,Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,0
Broccoli,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,0,0
Broccoli,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Broccoli,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,0,0
Broccoli,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,0,0
Broccoli,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,167.64999999999998,66.99
Broccoli,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,0,0
Broccoli,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,0,0
Broccoli,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,0,0
Broccoli,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,19.400000000000002,4.8
Broccoli,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,0,0
Broccoli,Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,0,0
Broccoli,Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,0.45,0
Broccoli,Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,5.49,1.83
