Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Cabbage,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,3.95,2.19
Cabbage,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0.94,0
Cabbage,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,3935,795
Cabbage,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,168.66,65
Cabbage,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,9.54,4
Cabbage,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,962.61,82.91
Cabbage,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,31.12,30.7
Cabbage,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,321.74,171.13
Cabbage,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,1.1,0
Cabbage,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,0,0
Cabbage,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,10.16,7
Cabbage,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,66.2,62
Cabbage,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0.08,0.05
Cabbage,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,905.16,125.67
Cabbage,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,8.05,7.2
Cabbage,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Cabbage,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Cabbage,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,0,0
Cabbage,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0.1,0
Cabbage,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,61.19,28.04
Cabbage,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,109.53,40
Cabbage,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0.02,0
Cabbage,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Cabbage,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0.7,3.26
