Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Chayote fruit,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,3.0500758725341424,2.3652173913043484
Chayote fruit,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0.9651376146788991,2.104761904761905
Chayote fruit,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,22.358000000000004,24.249745454545454
Chayote fruit,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,8.822754075615679,11.36449480642115
Chayote fruit,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,5.3549999999999995,72.06666666666668
Chayote fruit,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,13.507142857142856,16.736666666666668
Chayote fruit,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,0,0
Chayote fruit,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,0.7230769230769231,0.9743589743589743
Chayote fruit,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,7.500000000000001,9.875
Chayote fruit,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,7.053406998158381,0
Chayote fruit,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,0,0
Chayote fruit,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,4.521739130434783,0.9333333333333335
Chayote fruit,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,2.591549295774648,2.6249999999999996
Chayote fruit,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,6.014903213155166,7.9089898989898995
Chayote fruit,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,3.7743119266055043,2.009090909090909
Chayote fruit,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,3.5454545454545454
Chayote fruit,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Chayote fruit,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Chayote fruit,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,1.0467980295566506,3.1142857142857148
Chayote fruit,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,17.823092815058533,16.32190476190476
Chayote fruit,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,9.24895104895105,9.206159420289854
Chayote fruit,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,1.7676035097340281,0.8531810344827586
Chayote fruit,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0.6933207902163688,2.036111111111111
Chayote fruit,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,1.4589977220956722,2.504
Chayote fruit,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0.3125
Chayote fruit,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Chayote fruit,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,4.876666666666667,10.230500000000001
Chayote fruit,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,1.9602649006622517,8.818435754189943
Chayote fruit,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0.5048076923076923,0
Chayote fruit,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Chayote fruit,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,3,3
Chayote fruit,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,3.037254901960784,1.1033681765389083
Chayote fruit,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,7.276976845784184,5.255025125628141
Chayote fruit,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,6.350855745721271,10.57
Chayote fruit,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Chayote fruit,Region VI (Western Visayas),Negros Occidental a/,1804500000,0,0,0,0,0,7.2439024390243905,5.696666666666667
Chayote fruit,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Chayote fruit,Negros Island Region (NIR),Negros Oriental b/,1804600000,0,0,0,0,0,5.940761589403974,8.484342105263158
Chayote fruit,Negros Island Region (NIR),Siquijor b/,1806100000,0,0,0,0,0,4.459154929577465,4.418181818181818
Chayote fruit,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,4.772052205220522,3.9904347826086957
Chayote fruit,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,5.498526812021214,14.437076923076923
Chayote fruit,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Chayote fruit,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,4.1682785299806575,4.22429906542056
Chayote fruit,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,2.1595375722543353,1.0833333333333333
Chayote fruit,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0,0
Chayote fruit,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,1.32,1.36
Chayote fruit,Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,0.1695364238410596
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,5.644341014871154,5.225142857142857
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,6.152238805970151,3.9523809523809526
Chayote fruit,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,3.6619767850861766,3.8220815752461323
Chayote fruit,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,2.019661016949153,4.094117647058823
Chayote fruit,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,15.842399999999998,18.89909090909091
Chayote fruit,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,7.677902621722847,8.358490566037736
Chayote fruit,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,3.9208760155422113,5.775714285714286
Chayote fruit,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,8.094107142857142,6.428387096774194
Chayote fruit,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,12.230506329113924,6.87
Chayote fruit,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,8.071848643720081,9.488888888888889
Chayote fruit,Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,2.8381642512077296,2.5184518451845186
Chayote fruit,Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,4.000158077774265,5.817654639175259
