Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,22.5,0
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,1.2585365853658532,3.7074829931972793
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,13.721610169491525,12.160875
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,15.047036082474227,16.654545454545453
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,1.9561734213006599,1759.4999999999998
Habitchuelas [Snap beans],Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,1.9939414114513982,4.014782608695652
Habitchuelas [Snap beans],Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,3.8888888888888893,0
Habitchuelas [Snap beans],Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,2.091869918699187,2.823327615780446
Habitchuelas [Snap beans],Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,2.1759447073848697,2.609451120493667
Habitchuelas [Snap beans],Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,1.8760479041916167,1.9683333333333335
Habitchuelas [Snap beans],Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,2.0999999999999996,2.4333333333333336
Habitchuelas [Snap beans],Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,2.174043715846994,2.719298245614035
Habitchuelas [Snap beans],Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,1.2180451127819547,1.7894736842105263
Habitchuelas [Snap beans],Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,4.094367796919802,7.190205992509363
Habitchuelas [Snap beans],Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,1.2742616033755276,1.1997851772287862
Habitchuelas [Snap beans],Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,1.9191666666666665,1.06
Habitchuelas [Snap beans],Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,18.44554455445545,13.824000000000002
Habitchuelas [Snap beans],Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,2.5,0
Habitchuelas [Snap beans],Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,4.000298181095317,12.644696189495365
Habitchuelas [Snap beans],Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,2.171432906015323,2.8493333333333335
Habitchuelas [Snap beans],Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,0,5
Habitchuelas [Snap beans],MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,1.5822784810126584,1.2
Habitchuelas [Snap beans],MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,4.138,0
Habitchuelas [Snap beans],Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,2.021787709497207,0.8333333333333333
Habitchuelas [Snap beans],Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,3.37,1.8
Habitchuelas [Snap beans],Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,1.494949494949495,1.2926829268292683
Habitchuelas [Snap beans],Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Habitchuelas [Snap beans],Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0.48484848484848486,2.75
Habitchuelas [Snap beans],Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,3.6738648947951273,1.93
Habitchuelas [Snap beans],Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
