Commodity type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,8834.14,7246.65,7247.36,7247,7247
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,7892.2,6274.82,5746.69,7265.84,7281.96
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,939,939,920,844,843
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,502,760.66,761,622.8,831
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,1920,1902,1892,2024,2026
Rainfed Palay,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,921,961.08,962,962,962
Rainfed Palay,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,11203,9594,10214,10325,10257
Rainfed Palay,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,18331,18437,18208,18176,18292
Rainfed Palay,REGION I (ILOCOS REGION),0103300000,La Union,14134,14145,14145,14113,14118.14
Rainfed Palay,REGION I (ILOCOS REGION),0105500000,Pangasinan,80884,81573,82308,82571,83747
Rainfed Palay,REGION II (CAGAYAN VALLEY),0200900000,Batanes,49.35,57,60.2,51.45,79.75
Rainfed Palay,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,44100,46276,50408,49749,48332
Rainfed Palay,REGION II (CAGAYAN VALLEY),0203100000,Isabela,19024,19750.87,22419.83,24370.56,23310.07
Rainfed Palay,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,2768,2443,2821,1629,1603
Rainfed Palay,REGION II (CAGAYAN VALLEY),0205700000,Quirino,2703,3599,3333.96,3296,3025.8
Rainfed Palay,REGION III (CENTRAL LUZON),0307700000,Aurora,1297,1142,976,638.44,369
Rainfed Palay,REGION III (CENTRAL LUZON),0300800000,Bataan,352,319,317,323,0
Rainfed Palay,REGION III (CENTRAL LUZON),0301400000,Bulacan,14897,9188,8186.51,8138.12,7603
Rainfed Palay,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,14412.02,6085,4069,2610,846
Rainfed Palay,REGION III (CENTRAL LUZON),0305400000,Pampanga,0,0,0,0,0
Rainfed Palay,REGION III (CENTRAL LUZON),0306900000,Tarlac,5121,3385,3766,3800,3778
Rainfed Palay,REGION III (CENTRAL LUZON),0307100000,Zambales,8624,9076.65,8901,9022.41,8650
Rainfed Palay,REGION IV-A (CALABARZON),0401000000,Batangas,4767,3621.59,2121,2165.65,2224
Rainfed Palay,REGION IV-A (CALABARZON),0402100000,Cavite,342.9,228,149.7,134.98,182
Rainfed Palay,REGION IV-A (CALABARZON),0403400000,Laguna,1070,1263,1339,1338.93,2037.17
Rainfed Palay,REGION IV-A (CALABARZON),0405600000,Quezon,23237,21437,21354,16023.78,15685
Rainfed Palay,REGION IV-A (CALABARZON),0405800000,Rizal,686,653,655,319.64,482
Rainfed Palay,MIMAROPA REGION,1704000000,Marinduque,3042,2718.97,2619,2544,2882.8
Rainfed Palay,MIMAROPA REGION,1705100000,Occidental Mindoro,27720.38,27986,18010.8,18366.93,26501.98
Rainfed Palay,MIMAROPA REGION,1705200000,Oriental Mindoro,16723,16935.81,17340.52,16707.92,16833.31
Rainfed Palay,MIMAROPA REGION,1705300000,Palawan,45843,47825,50360,49885,49596.3
Rainfed Palay,MIMAROPA REGION,1705900000,Romblon,4995,5212.98,4744,4918,4074
Rainfed Palay,REGION V (BICOL REGION),0500500000,Albay,10289,10129,10239,9543,9845
Rainfed Palay,REGION V (BICOL REGION),0501600000,Camarines Norte,8381,8554,8910,6937.85,7414.97
Rainfed Palay,REGION V (BICOL REGION),0501700000,Camarines Sur,42164,45849,42959,43072,42969
Rainfed Palay,REGION V (BICOL REGION),0502000000,Catanduanes,4217.24,4133.68,4099.07,3844.49,3948.05
Rainfed Palay,REGION V (BICOL REGION),0504100000,Masbate,40113,40953,40477,37536,42132
Rainfed Palay,REGION V (BICOL REGION),0506200000,Sorsogon,9134,10389,9516,8852.06,6965.58
Rainfed Palay,REGION VI (WESTERN VISAYAS),0600400000,Aklan,17141,18782.49,16830,12738,13386
Rainfed Palay,REGION VI (WESTERN VISAYAS),0600600000,Antique,38015,39452,28744,22183,19710
Rainfed Palay,REGION VI (WESTERN VISAYAS),0601900000,Capiz,88129,83391,78769,72574,73157.3
Rainfed Palay,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,15451,16894.94,14608,14410,14804
Rainfed Palay,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,179205,181976,183378,158066,150489
Rainfed Palay,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,41745,41656,43223,0,0
Rainfed Palay,NEGROS ISLAND REGION,1804500000,Negros Occidental a/,0,0,0,33500.5,37053
Rainfed Palay,NEGROS ISLAND REGION,1804600000,Negros Oriental b/,0,0,0,5587,6945
Rainfed Palay,NEGROS ISLAND REGION,1806100000,Siquijor b/,0,0,0,33,67
Rainfed Palay,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,28401,25864,28653,30892,26192.49
Rainfed Palay,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,348,471.93,519,464.25,562.85
Rainfed Palay,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,5174,5343,5561,0,0
Rainfed Palay,REGION VII (CENTRAL VISAYAS),1806100000,Siquijor,99,132.16,88,0,0
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0807800000,Biliran,0,0,6,0,0
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0802600000,Eastern Samar,16129.22,18677.84,18658,18642.04,17867
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0803700000,Leyte,27470,27694,27679,26125,27973
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0804800000,Northern Samar,27961,27543.86,27559,26486,26452
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0806000000,Samar,52705,50219,47430,39770.3,33946.86
Rainfed Palay,REGION VIII (EASTERN VISAYAS),0806400000,Southern Leyte,1487.77,1384.93,1446,1147,928
Rainfed Palay,REGION IX (ZAMBOANGA PENINSULA),0907200000,Zamboanga del Norte,18971.63,18117.4,17623.15,16245.57,19082.99
Rainfed Palay,REGION IX (ZAMBOANGA PENINSULA),0907300000,Zamboanga del Sur,24494.38,22982.73,25679.04,24190.61,25265.62
Rainfed Palay,REGION IX (ZAMBOANGA PENINSULA),0908300000,Zamboanga Sibugay,24373,26136,24156.37,23739.16,23929.27
Rainfed Palay,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0,0,0,0,885.1
Rainfed Palay,REGION X (NORTHERN MINDANAO),1001300000,Bukidnon,14820,15471,15890,17486,17454.3
Rainfed Palay,REGION X (NORTHERN MINDANAO),1001800000,Camiguin,0,0,0,0.5,0
Rainfed Palay,REGION X (NORTHERN MINDANAO),1003500000,Lanao del Norte,5815,6526,7190,8163,7882.09
Rainfed Palay,REGION X (NORTHERN MINDANAO),1004200000,Misamis Occidental,780,749.83,710,527,507
Rainfed Palay,REGION X (NORTHERN MINDANAO),1004300000,Misamis Oriental,383,444.04,369,322,356.46
Rainfed Palay,REGION XI (DAVAO REGION),1108200000,Davao de Oro (Compostela Valley),5692,5486,5237,5174,4915
Rainfed Palay,REGION XI (DAVAO REGION),1102300000,Davao del Norte,3104,3376,3304.5,4091.9,4113.53
Rainfed Palay,REGION XI (DAVAO REGION),1102400000,Davao del Sur,1467,1421,1323,1333.84,287
Rainfed Palay,REGION XI (DAVAO REGION),1108600000,Davao Occidental,462,397.5,391.78,372,347
Rainfed Palay,REGION XI (DAVAO REGION),1102500000,Davao Oriental,3498,3439,3496,3532,3494
Rainfed Palay,REGION XI (DAVAO REGION),1130700000,City of Davao,0,0,0,0,1005.99
Rainfed Palay,REGION XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),34060,33852,33095,32686,32360
Rainfed Palay,REGION XII (SOCCSKSARGEN),1208000000,Sarangani,2284.99,2283.14,2281.98,2188.66,2336.97
Rainfed Palay,REGION XII (SOCCSKSARGEN),1206300000,South Cotabato,15944,15270,16071,17463,19216
Rainfed Palay,REGION XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,22312,20838,19468,19483,19940
Rainfed Palay,REGION XIII (CARAGA),1600200000,Agusan del Norte,2975,3544.33,4379,4380,4371
Rainfed Palay,REGION XIII (CARAGA),1600300000,Agusan del Sur,42037,47893,43701,45334,45760
Rainfed Palay,REGION XIII (CARAGA),1608500000,Dinagat Islands,1051,1114.77,1219,1190,1272
Rainfed Palay,REGION XIII (CARAGA),1606700000,Surigao del Norte,6019,6019,6145,6180,6266
Rainfed Palay,REGION XIII (CARAGA),1606800000,Surigao del Sur,7372,9396.17,9438,10145,9921.48
Rainfed Palay,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1900700000,Basilan,54.67,39,77,68.4,105
