Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Abra,1400100000,0,0,0,0,0,3.46,2.46
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Apayao,1408100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Benguet,1401100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Ifugao,1402700000,0,0,0,0,0,0,0
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Kalinga,1403200000,0,0,0,0,0,2.96,12.11
Sibuyag Tagalog,Cordillera Administrative Region (CAR),Mountain Province,1404400000,0,0,0,0,0,2.17,2.88
Sibuyag Tagalog,Region I (Ilocos Region),Ilocos Norte,0102800000,0,0,0,0,0,8.62,18.75
Sibuyag Tagalog,Region I (Ilocos Region),Ilocos Sur,0102900000,0,0,0,0,0,13.97,17.85
Sibuyag Tagalog,Region I (Ilocos Region),La Union,0103300000,0,0,0,0,0,1.37,0
Sibuyag Tagalog,Region I (Ilocos Region),Pangasinan,0105500000,0,0,0,0,0,4.66,4.57
Sibuyag Tagalog,Region II (Cagayan Valley),Batanes,0200900000,0,0,0,0,0,3.2,4.46
Sibuyag Tagalog,Region II (Cagayan Valley),Cagayan,0201500000,0,0,0,0,0,4.63,4.48
Sibuyag Tagalog,Region II (Cagayan Valley),Isabela,0203100000,0,0,0,0,0,0.87,8
Sibuyag Tagalog,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,0,0,0,0,0,0,8.06
Sibuyag Tagalog,Region II (Cagayan Valley),Quirino,0205700000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region III (Central Luzon),Aurora,0307700000,0,0,0,0,0,0,2
Sibuyag Tagalog,Region III (Central Luzon),Bataan,0300800000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region III (Central Luzon),Bulacan,0301400000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region III (Central Luzon),Nueva Ecija,0304900000,0,0,0,0,0,21.88,24.14
Sibuyag Tagalog,Region III (Central Luzon),Pampanga,0305400000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region III (Central Luzon),Tarlac,0306900000,0,0,0,0,0,13.06,14.11
Sibuyag Tagalog,Region III (Central Luzon),Zambales,0307100000,0,0,0,0,0,3.44,12.53
Sibuyag Tagalog,Region IV-A (CALABARZON),Batangas,0401000000,0,0,0,0,0,3.39,4.31
Sibuyag Tagalog,Region IV-A (CALABARZON),Cavite,0402100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region IV-A (CALABARZON),Laguna,0403400000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region IV-A (CALABARZON),Quezon,0405600000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region IV-A (CALABARZON),Rizal,0405800000,0,0,0,0,0,0,0
Sibuyag Tagalog,MIMAROPA Region,Marinduque,1704000000,0,0,0,0,0,2.63,0.33
Sibuyag Tagalog,MIMAROPA Region,Occidental Mindoro,1705100000,0,0,0,0,0,4.12,4.23
Sibuyag Tagalog,MIMAROPA Region,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Sibuyag Tagalog,MIMAROPA Region,Palawan,1705300000,0,0,0,0,0,0,0
Sibuyag Tagalog,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Sibuyag Tagalog,MIMAROPA Region,Romblon,1705900000,0,0,0,0,0,2,0
Sibuyag Tagalog,Region V (Bicol Region),Albay,0500500000,0,0,0,0,0,0,2
Sibuyag Tagalog,Region V (Bicol Region),Camarines Norte,0501600000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region V (Bicol Region),Camarines Sur,0501700000,0,0,0,0,0,0.02,2.6
Sibuyag Tagalog,Region V (Bicol Region),Catanduanes,0502000000,0,0,0,0,0,1.44,0.7
Sibuyag Tagalog,Region V (Bicol Region),Masbate,0504100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region V (Bicol Region),Sorsogon,0506200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VI (Western Visayas),Aklan,0600400000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VI (Western Visayas),Antique,0600600000,0,0,0,0,0,1.14,0
Sibuyag Tagalog,Region VI (Western Visayas),Capiz,0601900000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VI (Western Visayas),Guimaras,0607900000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VI (Western Visayas),Iloilo,0603000000,0,0,0,0,0,3.09,0
Sibuyag Tagalog,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VI (Western Visayas),Negros Occidental a/,1804500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Negros Island Region (NIR),Negros Oriental b/,1804600000,0,0,0,0,0,0.1,0.6
Sibuyag Tagalog,Negros Island Region (NIR),Siquijor b/,1806100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VII (Central Visayas),Bohol,0701200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VII (Central Visayas),Cebu,0702200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,0,0,0
Sibuyag Tagalog,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VIII (Eastern Visayas),Biliran,0807800000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VIII (Eastern Visayas),Eastern Samar,0802600000,0,0,0,0,0,5,0
Sibuyag Tagalog,Region VIII (Eastern Visayas),Leyte,0803700000,0,0,0,0,0,2.79,15.33
Sibuyag Tagalog,Region VIII (Eastern Visayas),Northern Samar,0804800000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VIII (Eastern Visayas),Samar,0806000000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region VIII (Eastern Visayas),Southern Leyte,0806400000,0,0,0,0,0,4.5,0
Sibuyag Tagalog,Region IX (Zamboanga Peninsula),Sulu c/,0906600000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,0,0,0,0,0,7,2
Sibuyag Tagalog,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,0,0,0,0,0,0.75,1.8
Sibuyag Tagalog,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,0,0,0,0,0,5.8,6
Sibuyag Tagalog,Region X (Northern Mindanao),Bukidnon,1001300000,0,0,0,0,0,4.49,6.75
Sibuyag Tagalog,Region X (Northern Mindanao),Camiguin,1001800000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region X (Northern Mindanao),Lanao del Norte,1003500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region X (Northern Mindanao),Misamis Occidental,1004200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region X (Northern Mindanao),Misamis Oriental,1004300000,0,0,0,0,0,6,0
Sibuyag Tagalog,Region XI (Davao Region),Davao de Oro,1108200000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XI (Davao Region),Davao del Norte,1102300000,0,0,0,0,0,3.49,0.64
Sibuyag Tagalog,Region XI (Davao Region),Davao del Sur,1102400000,0,0,0,0,0,1,0.91
Sibuyag Tagalog,Region XI (Davao Region),City of Davao,1130700000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XI (Davao Region),Davao Occidental,1108600000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XI (Davao Region),Davao Oriental,1102500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XII (SOCCSKSARGEN),Cotabato,1204700000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XII (SOCCSKSARGEN),Sarangani,1208000000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XII (SOCCSKSARGEN),South Cotabato,1206300000,0,0,0,0,0,3.89,0
Sibuyag Tagalog,Region XIII (Caraga),Agusan del Norte,1600200000,0,0,0,0,0,2.92,0
Sibuyag Tagalog,Region XIII (Caraga),City of Butuan,1630400000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XIII (Caraga),Agusan del Sur,1600300000,0,0,0,0,0,1.1,9.13
Sibuyag Tagalog,Region XIII (Caraga),Dinagat Islands,1608500000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XIII (Caraga),Surigao del Norte,1606700000,0,0,0,0,0,0,0
Sibuyag Tagalog,Region XIII (Caraga),Surigao del Sur,1606800000,0,0,0,0,0,0,0
Sibuyag Tagalog,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)3,Basilan,1900700000,0,0,0,0,0,0,0
