Commodity type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,6138,6138,6138,6136.16,6027
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,42,23,4.98,32.8,5.34
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,37,36.81,34,19.75,88
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,12,9,5,0,5.7
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,251.22,223,210,274,304
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,19,18.91,19,19,21.27
White Corn,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,2969,3033,2758,2672,2425.6
White Corn,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,3642,3585,3466,2562,2123
White Corn,REGION I (ILOCOS REGION),0103300000,La Union,2244,2091.12,2132.64,2112.83,2097.49
White Corn,REGION I (ILOCOS REGION),0105500000,Pangasinan,3087,3088,2980,2849,2693
White Corn,REGION II (CAGAYAN VALLEY),0200900000,Batanes,59.32,88.78,106.82,98.35,103
White Corn,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,3431,2822,1767,1767,1868.25
White Corn,REGION II (CAGAYAN VALLEY),0203100000,Isabela,3287,2295,1411.96,1324.76,1668.99
White Corn,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,549,348,309.8,352,353.54
White Corn,REGION II (CAGAYAN VALLEY),0205700000,Quirino,325,271,52,104,91
White Corn,REGION III (CENTRAL LUZON),0307700000,Aurora,393,190,146,105.49,116
White Corn,REGION III (CENTRAL LUZON),0300800000,Bataan,365.07,371.09,278.02,228.57,2.9
White Corn,REGION III (CENTRAL LUZON),0301400000,Bulacan,479,731.65,502.69,267.64,231
White Corn,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,7831,6241,4585,3720.54,3916
White Corn,REGION III (CENTRAL LUZON),0305400000,Pampanga,1391.92,2477.84,2392.27,2267.34,2153.27
White Corn,REGION III (CENTRAL LUZON),0306900000,Tarlac,582,440,362,371,382
White Corn,REGION III (CENTRAL LUZON),0307100000,Zambales,143,242.29,145,72.53,21
White Corn,REGION IV-A (CALABARZON),0401000000,Batangas,4304.95,3960,3177.92,2349.76,2044.6
White Corn,REGION IV-A (CALABARZON),0402100000,Cavite,556.38,399.25,419.16,534.82,510.67
White Corn,REGION IV-A (CALABARZON),0403400000,Laguna,809.9,1002,1016,993.32,1094.69
White Corn,REGION IV-A (CALABARZON),0405600000,Quezon,6888,6244,5282,3169.36,4788
White Corn,REGION IV-A (CALABARZON),0405800000,Rizal,256,312,266,159.84,184.85
White Corn,MIMAROPA REGION,1704000000,Marinduque,327,374.66,352,350,354.17
White Corn,MIMAROPA REGION,1705100000,Occidental Mindoro,1964,1683,1331.18,752.12,537.43
White Corn,MIMAROPA REGION,1705200000,Oriental Mindoro,226,245.27,243.75,186.2,189.95
White Corn,MIMAROPA REGION,1705300000,Palawan,2042,1969.66,1942,1960,1883.06
White Corn,MIMAROPA REGION,1705900000,Romblon,622,599,431,405.8,447
White Corn,REGION V (BICOL REGION),0500500000,Albay,4072,3642,3305,2985,3296
White Corn,REGION V (BICOL REGION),0501600000,Camarines Norte,856,824.7,956,793.55,589.26
White Corn,REGION V (BICOL REGION),0501700000,Camarines Sur,7002,6777,6708,6709,6735
White Corn,REGION V (BICOL REGION),0502000000,Catanduanes,378.87,110.68,27.46,17.28,33.05
White Corn,REGION V (BICOL REGION),0504100000,Masbate,38028,37033,37326,34039,24633
White Corn,REGION V (BICOL REGION),0506200000,Sorsogon,144,135,125,120,115
White Corn,REGION VI (WESTERN VISAYAS),0600400000,Aklan,517,469.26,405.8,121,126
White Corn,REGION VI (WESTERN VISAYAS),0600600000,Antique,459.5,521.65,554,332,419
White Corn,REGION VI (WESTERN VISAYAS),0601900000,Capiz,563,572,645,674,733
White Corn,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,372,336.13,260,240,286
White Corn,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,3161,2451,2795,1456,1655.63
White Corn,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,40683,40274,34927,0,0
White Corn,NEGROS ISLAND REGION,1804500000,Negros Occidental a/,0,0,0,21654.49,18052
White Corn,NEGROS ISLAND REGION,1804600000,Negros Oriental b/,0,0,0,48791,52372
White Corn,NEGROS ISLAND REGION,1806100000,Siquijor b/,0,0,0,895,809
White Corn,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,8801,4930,6683,6905,6646
White Corn,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,54564,60715,59273,56431,57796.42
White Corn,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,56679,53146,55523,0,0
White Corn,REGION VII (CENTRAL VISAYAS),1806100000,Siquijor,4849,2934.99,2396,0,0
White Corn,REGION VIII (EASTERN VISAYAS),0807800000,Biliran,359,371.58,370.5,372,366
White Corn,REGION VIII (EASTERN VISAYAS),0802600000,Eastern Samar,144,148.13,124,136,90
White Corn,REGION VIII (EASTERN VISAYAS),0803700000,Leyte,27327,25013,24145,21704,21480
White Corn,REGION VIII (EASTERN VISAYAS),0804800000,Northern Samar,6439.1,6406,6342,6321,6322
White Corn,REGION VIII (EASTERN VISAYAS),0806000000,Samar,5672,5721.34,5735,7408.63,7092.79
White Corn,REGION VIII (EASTERN VISAYAS),0806400000,Southern Leyte,1415.65,1297.13,845,481,418
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907200000,Zamboanga del Norte,36134.4,32335.56,29161.95,32028.14,33371.81
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907300000,Zamboanga del Sur,67501,65984.52,65586.74,64532.66,63181.51
White Corn,REGION IX (ZAMBOANGA PENINSULA),0908300000,Zamboanga Sibugay,10916,10848.36,9869.83,9846.5,9132.33
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0,0,0,0,2186
White Corn,REGION X (NORTHERN MINDANAO),1001300000,Bukidnon,41589.27,40565.65,26837,28536,32893
