Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,2.8564679048550015,2.5777126099706744,2.3851417399804498,2.4635928658965867,2.561639289862286
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,2.026666666666667,1.9730434782608697,1.1204819277108433,1.7121951219512195,1.1086142322097379
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,1.117027027027027,1.0920945395273023,0.9764705882352942,1.111392405063291,2.0420454545454545
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,1.75,1,1,0,2.2508771929824563
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,2.6651142424966165,2.381165919282511,2.8666666666666667,2.489051094890511,3.1052631578947367
White Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,1.25,1.2765732416710736,1.19,1.22,1.2802068641278797
White Corn,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,3.8241798585382285,3.871097922848665,3.765068890500362,3.832185628742515,3.921050461741425
White Corn,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,4.104612850082372,4.20836820083682,4.3058280438545875,4.060374707259953,4.1308054639660865
White Corn,REGION I (ILOCOS REGION),0103300000,La Union,4.072192513368984,4.056056084777536,4.135461212394029,4.216832400145776,4.256821248253866
White Corn,REGION I (ILOCOS REGION),0105500000,Pangasinan,3.746355685131195,3.792422279792746,3.8553691275167785,4.014040014040014,3.997772001485332
White Corn,REGION II (CAGAYAN VALLEY),0200900000,Batanes,1.0932231962238705,1.4338815048434332,1.6774012357236474,1.5956278596847993,1.890873786407767
White Corn,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,2.42174293208977,2.518603827072998,2.824561403508772,2.430673457838144,2.5890539274722335
White Corn,REGION II (CAGAYAN VALLEY),0203100000,Isabela,3.2453118344995437,3.3176470588235296,3.02985212045667,3.2532760650985844,3.402417030659261
White Corn,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,3.2868852459016393,3.294568965517241,3.565848934796643,2.805625,3.618176161113311
White Corn,REGION II (CAGAYAN VALLEY),0205700000,Quirino,2.9774461538461536,3.111439114391144,3.1153846153846154,3.051153846153846,3.138241758241758
White Corn,REGION III (CENTRAL LUZON),0307700000,Aurora,2.082798982188295,2.941578947368421,2.1982876712328765,2.512939615129396,2.106206896551724
White Corn,REGION III (CENTRAL LUZON),0300800000,Bataan,3.576875667680171,3.1181923522595603,3.0640601395583054,3.108675679222995,3.1551724137931036
White Corn,REGION III (CENTRAL LUZON),0301400000,Bulacan,3.6106471816283925,4.487350509123215,4.406294137540034,4.173516664175759,4.3982683982683985
White Corn,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,3.195353083897331,3.311552635795546,3.2505343511450384,3.19570814989222,3.1247420837589375
White Corn,REGION III (CENTRAL LUZON),0305400000,Pampanga,3.7176921087418813,4.0904618538727275,3.775957563318522,3.6066139176303507,4.7020206476661075
White Corn,REGION III (CENTRAL LUZON),0306900000,Tarlac,3.2920962199312713,3.0727272727272728,3.1892265193370166,3.188679245283019,3.157068062827225
White Corn,REGION III (CENTRAL LUZON),0307100000,Zambales,3.202797202797203,2.830657476577655,2.980758620689655,3.071832345236454,3.2047619047619045
White Corn,REGION IV-A (CALABARZON),0401000000,Batangas,2.3949174787163616,2.420580808080808,2.2639651092538515,2.0278070951927,2.4541475105155044
White Corn,REGION IV-A (CALABARZON),0402100000,Cavite,1.6453143534994068,1.7565435190983092,1.4607071285427997,1.4321827904715605,1.6265102708206864
White Corn,REGION IV-A (CALABARZON),0403400000,Laguna,3.2312631189035685,3.2797804391217564,3.5592519685039368,3.50902025530544,3.4531145803834877
White Corn,REGION IV-A (CALABARZON),0405600000,Quezon,1.353658536585366,1.2685778347213326,1.2555850056796667,1.1334938284069969,1.354670008354219
White Corn,REGION IV-A (CALABARZON),0405800000,Rizal,1.625625,1.6948076923076922,1.4080827067669173,1.5714464464464464,1.5149039761969163
White Corn,MIMAROPA REGION,1704000000,Marinduque,2.2844036697247705,2.441253403085464,2.3551136363636362,2.2742857142857145,2.1543609001327044
White Corn,MIMAROPA REGION,1705100000,Occidental Mindoro,2.64918533604888,2.5154486036838977,2.20158806472453,1.9325772483114396,2.671250209329587
White Corn,MIMAROPA REGION,1705200000,Oriental Mindoro,1.4089823008849558,1.4501977412647287,1.2804923076923078,1.2500537056928034,1.2022637536193737
White Corn,MIMAROPA REGION,1705300000,Palawan,2.3628795298726737,2.3534721728623214,2.3397425334706488,2.323566326530612,2.38971673765042
White Corn,MIMAROPA REGION,1705900000,Romblon,1.6012861736334405,2.2303839732888147,2.2900232018561484,2.318137013307048,2.5324384787472036
White Corn,MIMAROPA REGION,1731500000,Puerto Princesa City,0,0,0,0,0
White Corn,REGION V (BICOL REGION),0500500000,Albay,1.4653732809430255,1.5397034596375618,1.6449924357034795,1.8812395309882748,1.859375
White Corn,REGION V (BICOL REGION),0501600000,Camarines Norte,1.8806074766355139,1.8574754456165876,1.721652719665272,1.6860437275533995,1.772528255778434
White Corn,REGION V (BICOL REGION),0501700000,Camarines Sur,3.051985147100828,2.9027593330382175,2.8048598688133572,2.6400357728424506,2.6752783964365254
White Corn,REGION V (BICOL REGION),0502000000,Catanduanes,1.038694011138385,1.52159378388146,0.7177713037144938,0.48032407407407407,0.5334341906202723
White Corn,REGION V (BICOL REGION),0504100000,Masbate,1.1285631639844325,1.081514595090865,1.064233778063548,1.0372807661799701,1.2311598262493404
White Corn,REGION V (BICOL REGION),0506200000,Sorsogon,2.225347222222222,2.2383703703703706,2.2009600000000002,2.1614166666666668,1.7796521739130435
White Corn,REGION VI (WESTERN VISAYAS),0600400000,Aklan,2.1845841392649903,1.996441205301965,2.2672005914243467,2.015289256198347,2.215873015873016
White Corn,REGION VI (WESTERN VISAYAS),0600600000,Antique,2.3635473340587594,2.447675644589284,2.429783393501805,2.670421686746988,2.658997613365155
White Corn,REGION VI (WESTERN VISAYAS),0601900000,Capiz,2.206039076376554,2.2849125874125873,2.21015503875969,2.5515578635014835,3.0062073669849934
White Corn,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,2.696236559139785,2.5090292446374916,2.226923076923077,1.4375,1.5082167832167832
White Corn,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,2.5570926921860173,2.4747164422684618,2.499545617173524,2.369285714285714,2.596485929827316
White Corn,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,1.8587124843300642,1.7870089884292595,1.8732212901193919,0,0
White Corn,NEGROS ISLAND REGION,1804500000,Negros Occidental,0,0,0,1.9162307678453752,1.8423997341014846
White Corn,NEGROS ISLAND REGION,1804600000,Negros Oriental,0,0,0,0.8248592978213195,0.858387115252425
White Corn,NEGROS ISLAND REGION,1806100000,Siquijor,0,0,0,0.7754636871508379,1.0558838071693448
White Corn,NEGROS ISLAND REGION,1830200000,Bacolod City,0,0,0,0,0
White Corn,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,0.9428474037041246,0.9416024340770792,1.1215546910070329,0.9363866763215062,1.0938985856154078
White Corn,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,0.8131185396965032,0.7919459771061517,0.9441060854014476,0.6877425528521557,0.9541075381485566
White Corn,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,0.7721907584819775,0.6939609754261845,0.8574169263188228,0,0
White Corn,REGION VII (CENTRAL VISAYAS),1806100000,Siquijor,0.9851515776448753,0.9428004865433955,0.9548664440734558,0,0
White Corn,REGION VIII (EASTERN VISAYAS),0807800000,Biliran,1.16991643454039,1.172129823994833,1.1398110661268557,1.1717473118279569,1.1612021857923498
White Corn,REGION VIII (EASTERN VISAYAS),0802600000,Eastern Samar,1.4690972222222223,1.3763586039289812,1.320967741935484,1.3647058823529412,1.431888888888889
White Corn,REGION VIII (EASTERN VISAYAS),0803700000,Leyte,1.3584531781754308,1.327372566265542,1.3487421826465107,1.335870807224475,1.3479166666666667
White Corn,REGION VIII (EASTERN VISAYAS),0804800000,Northern Samar,1.5904085974748021,1.5892912894161724,1.586881110059918,1.6143015345673153,1.616102499209111
White Corn,REGION VIII (EASTERN VISAYAS),0806000000,Samar,1.2393071227080397,1.2187040098997788,1.5838360941586747,1.6602246299248309,1.8417576158324158
White Corn,REGION VIII (EASTERN VISAYAS),0806400000,Southern Leyte,1.3704093525942145,1.3725763801623583,1.344378698224852,1.2723492723492724,1.270334928229665
White Corn,REGION IX (ZAMBOANGA PENINSULA),1906600000,Sulu,0,0,0,0,0
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907200000,Zamboanga del Norte,1.5054828639744953,1.3770724861421915,1.3442046913872356,1.405018212109726,1.4391730625339172
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907300000,Zamboanga del Sur,1.315301551088132,1.3097649266828038,1.3700853251739602,1.4013471628164715,1.399281213760165
White Corn,REGION IX (ZAMBOANGA PENINSULA),0908300000,Zamboanga Sibugay,2.006542689629901,2.0565744499629437,1.8756533800480861,1.7292073325547148,1.6969875157818433
White Corn,REGION IX (ZAMBOANGA PENINSULA),0907400000,Zamboanga City,0,0,0,0,2.9823833485818847
White Corn,REGION X (NORTHERN MINDANAO),1001300000,Bukidnon,3.3685669404632494,3.4952066588357384,3.392214852628833,3.2952396972245586,3.4605475329097373
White Corn,REGION X (NORTHERN MINDANAO),1001800000,Camiguin,1.9594488188976378,1.7622591943957968,1.727900552486188,1.7880851063829788,1.873006833712984
White Corn,REGION X (NORTHERN MINDANAO),1003500000,Lanao del Norte,3.025438625694976,3.0232617307370417,3.066395001969944,2.977717512216326,2.9786933881085886
White Corn,REGION X (NORTHERN MINDANAO),1004200000,Misamis Occidental,1.870909689029936,1.624629982563562,1.568637403786145,1.5282658123191402,1.292413429888084
White Corn,REGION X (NORTHERN MINDANAO),1004300000,Misamis Oriental,1.7278701800286551,1.8146179546463554,2.0184393909169493,2.2038289149091415,2.346911842126254
White Corn,REGION XI (DAVAO REGION),1108200000,Davao de Oro (Compostela Valley),1.2754533722746724,1.301826484018265,1.323367770047087,1.565867902208202,1.5084236473783164
White Corn,REGION XI (DAVAO REGION),1102300000,Davao del Norte,1.3067189970634743,1.2871462842242503,1.3285999776898938,1.4567454308029177,1.478824770106981
White Corn,REGION XI (DAVAO REGION),1102400000,Davao del Sur,1.5855570512820512,1.6236965114819926,1.8351000974260663,1.5546198289596573,1.699428067873002
White Corn,REGION XI (DAVAO REGION),1108600000,Davao Occidental,1.3143101856979362,1.304569464272297,1.3610214945612087,1.4510806356811259,1.5093755188997244
White Corn,REGION XI (DAVAO REGION),1102500000,Davao Oriental,1.1931875339341949,1.237829224961137,1.3320864941825543,1.3608987641450012,1.347323429074502
White Corn,REGION XI (DAVAO REGION),1130700000,City of Davao,0,0,0,0,1.686724663072567
White Corn,REGION XII (SOCCSKSARGEN),1204700000,Cotabato (North Cotabato),2.29962976022567,1.922328371473006,1.7174767139010285,1.6680530283337667,1.5322053887326499
White Corn,REGION XII (SOCCSKSARGEN),1208000000,Sarangani,2.187796062068066,2.2131779087862604,2.166777820553467,2.4520931104013135,2.4419528814130156
White Corn,REGION XII (SOCCSKSARGEN),1206300000,South Cotabato,1.6304949932533201,1.454527261190023,1.5505702293636325,1.5440558189462386,1.59659105865836
White Corn,REGION XII (SOCCSKSARGEN),1206500000,Sultan Kudarat,1.961917200130835,2.1647318715227453,2.1765010839852956,1.8352840422495005,2.0428851723815753
White Corn,REGION XIII (CARAGA),1600200000,Agusan del Norte,3.2126401564537157,2.870424360220279,2.8724697173620455,2.903669112741828,2.9279787587122468
White Corn,REGION XIII (CARAGA),1600300000,Agusan del Sur,2.5196908003562792,2.867602808425276,2.901099981788381,3.091918568784701,3.076624175432341
White Corn,REGION XIII (CARAGA),1608500000,Dinagat Islands,1.9782608695652173,1.8055136331622899,1.5426470588235293,1.9639639639639639,1.8818918918918919
White Corn,REGION XIII (CARAGA),1606700000,Surigao del Norte,2.016677685950413,1.9370779220779222,2.1055453149001537,2.1553544494720964,2.0998552821997105
White Corn,REGION XIII (CARAGA),1606800000,Surigao del Sur,1.7609273840769903,1.8591918714555764,1.9343955014058107,2.3551734361102876,2.105505909484001
White Corn,REGION XIII (CARAGA),1630400000,Butuan City,0,0,0,0,0
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1900700000,Basilan,0.680628272251309,1.0421992804064437,1.8356164383561644,2,2.0408163265306123
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1903600000,Lanao del Sur,2.298413478820143,2.2934595489113256,2.3040946955047157,2.33244642120021,2.346050682058224
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1908700000,Maguindanao del Norte,0,0,0,3.9637172401375933,4.077033674411573
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1908800000,Maguindanao del Sur,3.5113609088190687,3.627119494215534,3.694945429071982,3.800145258936915,3.9105600144360766
White Corn,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM)d/,1906600000,Sulu,1.112155809267965,1.748062285342987,1.783739837398374,1.8037135278514589,1.8434065934065933
