Commodity Type,Region,ADM2_PCODE,Province,2021,2022,2023,2024,2025
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1400100000,Abra,4.885416666666667,4.869791666666667,4.869791666666667,4.620968162159345,4.205980066445183
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1408100000,Apayao,4.449314293793298,3.795977081920696,3.4238036735680333,2.837701977076423,2.9686471295734087
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1401100000,Benguet,3.113356643356643,3.266123366587045,3.1576642335766425,2.6714285714285717,2.761904761904762
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1402700000,Ifugao,3.0980559581031035,3.3497236225103237,2.9560455369880985,3.126585177553088,3.7825293595864844
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1403200000,Kalinga,4.25929344979685,4.094704290684191,4.121450326797386,3.4964950293143002,4.362703873598369
Yellow Corn,CORDILLERA ADMINISTRATIVE REGION (CAR),1404400000,Mountain Province,3.512770137524558,3.5846832535539024,3.5054227581009796,3.4437855058185676,3.500242976461655
Yellow Corn,REGION I (ILOCOS REGION),0102800000,Ilocos Norte,6.262086513994911,6.280138169257341,6.123135351830362,6.160730876432332,6.178684759916493
Yellow Corn,REGION I (ILOCOS REGION),0102900000,Ilocos Sur,6.276587379595046,6.077902209167125,6.145620634067706,6.0428580691175515,6.014085474783565
Yellow Corn,REGION I (ILOCOS REGION),0103300000,La Union,6.006985230234578,6.016147704590819,6.086622254303792,6.073163523188554,6.059889014930865
Yellow Corn,REGION I (ILOCOS REGION),0105500000,Pangasinan,6.267954003037535,6.301865340202522,6.26660708966339,6.286311867266591,6.297990912963226
Yellow Corn,REGION II (CAGAYAN VALLEY),0200900000,Batanes,2.8312789927104043,3.383206294566019,3.3702149306880327,3.120214395099541,3.1599999999999997
Yellow Corn,REGION II (CAGAYAN VALLEY),0201500000,Cagayan,4.370183441716005,4.394495804751457,4.5409271406945875,4.506396242023162,4.3633186479582395
Yellow Corn,REGION II (CAGAYAN VALLEY),0203100000,Isabela,4.427500674375283,4.511721982919602,4.4261808385236305,4.458542446092542,4.594915690129771
Yellow Corn,REGION II (CAGAYAN VALLEY),0205000000,Nueva Vizcaya,4.483350181346067,4.589640446823365,4.53435051171804,4.444175695461201,4.604535010453242
Yellow Corn,REGION II (CAGAYAN VALLEY),0205700000,Quirino,4.226163141993958,4.470033644091738,4.478136479971181,4.290570639325088,4.374195464525249
Yellow Corn,REGION III (CENTRAL LUZON),0307700000,Aurora,5.337411944869832,5.679874869655891,5.159086021505376,5.2346847316310585,4.350868421052631
Yellow Corn,REGION III (CENTRAL LUZON),0300800000,Bataan,6.0595160978714215,6.670623109350893,6.210156680107726,6.315994214752382,6.4187322946175644
Yellow Corn,REGION III (CENTRAL LUZON),0301400000,Bulacan,4.33,4.882275248745268,5.072805139186295,4.5620855248113426,5.447058823529412
Yellow Corn,REGION III (CENTRAL LUZON),0304900000,Nueva Ecija,7.069669091427756,7.132795040563295,7.087019504585188,7.045441791344651,6.791264016309888
Yellow Corn,REGION III (CENTRAL LUZON),0305400000,Pampanga,6.394338530940472,6.375735903781081,6.58424669701581,5.0347724348826075,5.790556879468205
Yellow Corn,REGION III (CENTRAL LUZON),0306900000,Tarlac,7.02513923662562,7.054890525885001,7.065871083616045,7.005931198102017,7.013706086095992
Yellow Corn,REGION III (CENTRAL LUZON),0307100000,Zambales,5.717571884984025,5.816072845430158,5.95175086107922,4.954115421002839,5.5262278978389
Yellow Corn,REGION IV-A (CALABARZON),0401000000,Batangas,4.538863807373965,4.1681586021505375,4.210369674185464,3.819675382631979,3.8982595579277137
Yellow Corn,REGION IV-A (CALABARZON),0402100000,Cavite,1.9236883942766296,2.1918771153345484,1.9814451928965093,1.8328968046097431,2.7416666666666667
Yellow Corn,REGION IV-A (CALABARZON),0403400000,Laguna,3.8528582414765444,4.303926829268293,4.644964028776979,4.36013298711384,4.543680419122462
Yellow Corn,REGION IV-A (CALABARZON),0405600000,Quezon,3.3823901821369438,3.434857536764706,3.632705946535734,3.170250175330164,3.4578003861577304
Yellow Corn,REGION IV-A (CALABARZON),0405800000,Rizal,4.167322834645669,4.192866666666666,3.7009236947791164,3.2996148236789944,3.59874251497006
Yellow Corn,MIMAROPA REGION,1704000000,Marinduque,3.6363636363636362,3.76,4.153846153846154,3.8372093023255816,3.842016806722689
Yellow Corn,MIMAROPA REGION,1705100000,Occidental Mindoro,4.834603498542274,4.785982515398371,5.10020832452096,4.446285846937093,5.7675136602745045
Yellow Corn,MIMAROPA REGION,1705200000,Oriental Mindoro,3.0330715774843644,2.899575163398693,2.9349945397007597,3.4317027740989663,3.381010180109632
Yellow Corn,MIMAROPA REGION,1705300000,Palawan,3.5559112737251315,3.508656124799561,3.4876063829787234,3.4548654493032194,3.509710324337707
Yellow Corn,MIMAROPA REGION,1705900000,Romblon,4.7272727272727275,4.876106194690266,4.782945736434108,4.481909547738693,4.742857142857143
Yellow Corn,MIMAROPA REGION,1731500000,Puerto Princesa City,0,0,0,0,0
Yellow Corn,REGION V (BICOL REGION),0500500000,Albay,2.7493233896674085,3.1992645660305588,3.2516347318185055,3.054111675126904,2.9507027551887366
Yellow Corn,REGION V (BICOL REGION),0501600000,Camarines Norte,4.160982658959537,4.132196399710193,4.267368421052632,3.5184813177983125,3.658508474576271
Yellow Corn,REGION V (BICOL REGION),0501700000,Camarines Sur,4.209227152512489,4.225542314378575,4.069329601831828,3.870891421593569,4.012033511043412
Yellow Corn,REGION V (BICOL REGION),0502000000,Catanduanes,1.2318181818181817,0,0,0,0
Yellow Corn,REGION V (BICOL REGION),0504100000,Masbate,2.3155619596541785,2.711348773841962,2.5660950173812282,2.7813229571984435,3.0748663101604277
Yellow Corn,REGION V (BICOL REGION),0506200000,Sorsogon,2.3488372093023258,2.3832432432432435,2.3353731343283584,2.2357142857142858,1.9389006342494715
Yellow Corn,REGION VI (WESTERN VISAYAS),0600400000,Aklan,2.6803882352941177,2.5142078995384782,3.098036392197932,2.8985526315789474,2.967686245074123
Yellow Corn,REGION VI (WESTERN VISAYAS),0600600000,Antique,4.654928671655753,4.766792901778089,4.905048701298702,4.181580966999233,4.281086021505376
Yellow Corn,REGION VI (WESTERN VISAYAS),0601900000,Capiz,3.877696320511929,4.434630611286319,4.191547442299905,4.79403038074571,4.899372972972973
Yellow Corn,REGION VI (WESTERN VISAYAS),0607900000,Guimaras,4.149466192170818,3.959447709804195,3.4485981308411215,2.1157894736842104,2.4084
Yellow Corn,REGION VI (WESTERN VISAYAS),0603000000,Iloilo,4.856133205974297,4.687104450080701,4.662476475434716,4.635530037947858,4.548751457442673
Yellow Corn,REGION VI (WESTERN VISAYAS),1804500000,Negros Occidental,2.9882978723404254,2.9692818152627636,2.8984823625922886,0,0
Yellow Corn,NEGROS ISLAND REGION,1804500000,Negros Occidental,0,0,0,2.240365291056898,2.0819047619047617
Yellow Corn,NEGROS ISLAND REGION,1804600000,Negros Oriental,0,0,0,2.0219842312746388,1.9983350785340315
Yellow Corn,NEGROS ISLAND REGION,1806100000,Siquijor,0,0,0,1.6971830985915493,3.109090909090909
Yellow Corn,NEGROS ISLAND REGION,1830200000,Bacolod City,0,0,0,0,0
Yellow Corn,REGION VII (CENTRAL VISAYAS),0701200000,Bohol,2.997938144329897,2.681127819548872,2.695108695652174,2.8948931116389547,2.900424354243542
Yellow Corn,REGION VII (CENTRAL VISAYAS),0702200000,Cebu,4.2,4.003846153846154,3.6356382978723403,3.7210401891252953,3.5564598168870805
Yellow Corn,REGION VII (CENTRAL VISAYAS),1804600000,Negros Oriental,1.6578947368421053,1.5622291021671828,1.8972395833333333,0,0
