fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),PH01,44411.05,46547.61,45411.03,44494.19,41510.12
2,Region II (Cagayan Valley),PH02,328619.99,334462.83,343023.99,324712.8,297711.28
3,Region III (Central Luzon),PH03,51787.92,54869.27,52768.21,47873.22,42751.53
4,Region IV-A (Calabarzon),PH04,89310.49,96136.72,92755.21,83278.76,83527.51
5,Region V (Bicol Region),PH05,58673.1,64286.62,55601.09,49576.24,50955.51
6,Region VI (Western Visayas),PH06,308166.38,303402.11,310100.15,212709.34,218884.31
7,Region VII (Central Visayas),PH07,215101.32,165879.92,199770.64,106376.07,111954.44
8,Region VIII (Eastern Visayas),PH08,241340.86,238927.53,263168.78,264262.35,260839.87
9,Region IX (Zamboanga Peninsula),PH09,267559.53,276387.54,273831.56,261527.75,278205.29
10,Region X (Northern Mindanao),PH10,2016302.92,2037380.83,2032525.18,1968560.51,1946676.35
11,Region XI (Davao Region),PH11,3332484.99,3294699.07,3277125.8,3190178.49,3192434.3
12,Region XII (Soccsksargen),PH12,1173413.81,1160220.72,1146040.48,1086462.92,969498.77
13,National Capital Region (NCR),PH13,,,,,
14,Cordillera Administrative Region (CAR),PH14,21097.6,22046.8,20476.35,17777.76,17606.23
15,Region XIII (Caraga),PH15,279608.58,245469.31,231208.31,253418.91,255684.67
16,Mimaropa Region,PH16,67404.95,72584.52,73655.41,94875.78,124080.75
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,596024.53,599987.17,601978.67,507260.76,541985.54
18,Negros Island Region (NIR),PH18,0,0,0,177150.27,178434.62
