fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),PH01,1902342.6,1965372.36,1990286.68,1967134.45,572157.93
2,Region II (Cagayan Valley),PH02,2909950.48,2928165.7,3026087.62,2922716.55,1952849.07
3,Region III (Central Luzon),PH03,3741210.53,3616712.39,3638431.28,3482484.41,249467.58
4,Region IV-A (Calabarzon),PH04,409915.07,395898.7,433399.42,311059.05,50579.21
5,Region V (Bicol Region),PH05,1346952.45,1329004.4,1302648.98,1202079.34,242741.61
6,Region VI (Western Visayas),PH06,2356902.44,2321593.72,2263158.34,1463496.52,201858.58
7,Region VII (Central Visayas),PH07,289502,242394.57,293073.38,244748.46,69054.11
8,Region VIII (Eastern Visayas),PH08,864373.13,840344.65,844372.47,827935.09,59116.18
9,Region IX (Zamboanga Peninsula),PH09,667354.86,651696.55,703864.3,682244.8,200776.02
10,Region X (Northern Mindanao),PH10,793640.31,814738.58,824241.41,814081.24,1527567.36
11,Region XI (Davao Region),PH11,484724.57,490254.16,502744.59,508407.9,292195.71
12,Region XII (Soccsksargen),PH12,1278188.1,1244277.89,1256405.89,1212725.14,1085997.9
13,National Capital Region (NCR),PH13,0,0,0,0,0
14,Cordillera Administrative Region (CAR),PH14,377133.35,338067.45,331469.66,299400.11,184353.23
15,Region XIII (Caraga),PH15,467743.5,520181.03,543431.02,574092.72,136901.7
16,Mimaropa Region,PH16,1225283.21,1231933.7,1210384.05,1157865.71,125978.59
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,844953.6,825877.58,895562.87,916967.16,1267587.89
18,Negros Island Region (NIR),PH18,0,0,0,499696.78,99729.07
