fid,ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
1,Region I (Ilocos Region),PH01,21433.81,21946.79,20370.54,23308.51,29180.78
2,Region II (Cagayan Valley),PH02,17371.82,17654.08,16687.66,18653.68,19491.38
3,Region III (Central Luzon),PH03,158800.34,171848.24,167010.73,172041,170912.80
4,Region IV-A (Calabarzon),PH04,213948.93,227583.43,235931.41,239063.62,278211.74
5,Region V (Bicol Region),PH05,16881.25,16438.22,18549.26,21110.38,25441.08
6,Region VI (Western Visayas),PH06,41429.03,41639.04,44331.15,49952.01,33257.16
7,Region VII (Central Visayas),PH07,69751.02,81666.93,79455.36,89423.31,88331.30
8,Region VIII (Eastern Visayas),PH08,6059.66,7710.07,9265.24,17894.99,19028.62
9,Region IX (Zamboanga Peninsula),PH09,19228.52,18897.82,18361.58,21334.29,23129.82
10,Region X (Northern Mindanao),PH10,58824.4,64277.03,75936.38,79345.59,81530.81
11,Region XI (Davao Region),PH11,31236.65,32681.96,34354.65,34825.16,34203.80
12,Region XII (Soccsksargen),PH12,28870.69,30809.35,35958.99,39253.04,41169.83
13,National Capital Region (NCR),PH13,17.49,0.21,2.17,554.68,95.53
14,Cordillera Administrative Region (CAR),PH14,5417.89,5776.39,5780.11,5078.5,4465.96
15,Region XIII (Caraga),PH15,9294.87,11424.71,10268.5,10823.58,12289.37
16,Mimaropa Region,PH16,9141.61,10000.88,10981.46,10874.12,11539.43
17,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,4132.51,3779.5,3887.08,4055.12,3854.99
18,Negros Island Region (NIR),PH18,0,0,0,0,22326.41
