ADM1_EN,ADM1_PCODE,2021,2022,2023,2024,2025
Region I (Ilocos Region),PH01,1902342.60,1965372.36,1990286.68,1967134.45,1963769.55
Region II (Cagayan Valley),PH02,2909950.48,2928165.70,3026087.62,2922716.55,3014907.27
Region III (Central Luzon),PH03,3741210.53,3616712.39,3638431.28,3482484.41,3541191.02
Region IV-A (Calabarzon),PH04,409915.07,395898.70,433399.42,311059.05,384110.37
Region V (Bicol Region),PH05,1346952.45,1329004.40,1302648.98,1202079.34,1230731.35
Region VI (Western Visayas),PH06,2356902.44,2321593.72,2263158.34,1463496.52,1485758.03
Region VII (Central Visayas),PH07,289502.00,242394.57,293073.38,244748.46,248603.98
Region VIII (Eastern Visayas),PH08,864373.13,840344.65,844372.47,827935.09,803050.19
Region IX (Zamboanga Peninsula),PH09,667354.86,651696.55,703864.30,682244.80,752888.67
Region X (Northern Mindanao),PH10,793640.31,814738.58,824241.41,814081.24,835445.57
Region XI (Davao Region),PH11,484724.57,490254.16,502744.59,508407.90,523455.86
Region XII (Soccsksargen),PH12,1278188.10,1244277.89,1256405.89,1212725.14,1204509.75
National Capital Region (NCR),PH13,0.00,0.00,0.00,0.00,0.00
Cordillera Administrative Region (CAR),PH14,377133.35,338067.45,331469.66,299400.11,339249.80
Region XIII (Caraga),PH15,467743.50,520181.03,543431.02,574092.72,563924.58
Mimaropa Region,PH16,1225283.21,1231933.70,1210384.05,1157865.71,1314220.12
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH17,844953.60,825877.58,895562.87,916967.16,944951.43
Negros Island Region (NIR),PH18,0.00,0.00,0.00,499696.78,523622.45
