Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Dragon fruit,CAR,Abra,1400100000,0,0,0,0,0,1180,225
Dragon fruit,CAR,Apayao,1408100000,0,0,0,0,0,8800,2400
Dragon fruit,CAR,Benguet,1401100000,0,0,0,0,0,80000,22000
Dragon fruit,CAR,Ifugao,1402700000,0,0,0,0,0,5100,1300
Dragon fruit,CAR,Kalinga,1403200000,0,0,0,0,0,376,128
Dragon fruit,CAR,Mountain Province,1404400000,0,0,0,0,0,9172,2293
Dragon fruit,Region I,Ilocos Norte,0102800000,0,0,0,0,0,34749,8011
Dragon fruit,Region I,Ilocos Sur,0102900000,0,0,0,0,0,50932,12733
Dragon fruit,Region I,La Union,0103300000,0,0,0,0,0,3280,820
Dragon fruit,Region I,Pangasinan,0105500000,0,0,0,0,0,51153,10350
Dragon fruit,Region II,Batanes,0200900000,0,0,0,0,0,880,200
Dragon fruit,Region II,Cagayan,0201500000,0,0,0,0,0,113940,28415
Dragon fruit,Region II,Isabela,0203100000,0,0,0,0,0,28121,7187
Dragon fruit,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,103625,21095
Dragon fruit,Region II,Quirino,0205700000,0,0,0,0,0,690,195
Dragon fruit,Region III,Aurora,0307700000,0,0,0,0,0,122530,3700
Dragon fruit,Region III,Bataan,0300800000,0,0,0,0,0,3820,2730
Dragon fruit,Region III,Bulacan,0301400000,0,0,0,0,0,20952,5238
Dragon fruit,Region III,Nueva Ecija,0304900000,0,0,0,0,0,70587,23529
Dragon fruit,Region III,Pampanga,0305400000,0,0,0,0,0,2616,654
Dragon fruit,Region III,Tarlac,0306900000,0,0,0,0,0,1560,600
Dragon fruit,Region III,Zambales,0307100000,0,0,0,0,0,2808,702
Dragon fruit,Region IV-A,Batangas,0401000000,0,0,0,0,0,31200,7800
Dragon fruit,Region IV-A,Cavite,0402100000,0,0,0,0,0,60000,15000
Dragon fruit,Region IV-A,Laguna,0403400000,0,0,0,0,0,15105,3050
Dragon fruit,Region IV-A,Quezon,0405600000,0,0,0,0,0,18496,4624
Dragon fruit,Region IV-A,Rizal,0405800000,0,0,0,0,0,39350,9050
Dragon fruit,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Dragon fruit,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,720,180
Dragon fruit,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,11229,3217
Dragon fruit,MIMAROPA,Palawan,1705300000,0,0,0,0,0,528,102
Dragon fruit,MIMAROPA,Romblon,1705900000,0,0,0,0,0,17943,4320
Dragon fruit,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,30
Dragon fruit,Region V,Albay,0500500000,0,0,0,0,0,34400,7400
Dragon fruit,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,9
Dragon fruit,Region V,Camarines Sur,0501700000,0,0,0,0,0,12000,3000
Dragon fruit,Region V,Catanduanes,0502000000,0,0,0,0,0,80,30
Dragon fruit,Region V,Masbate,0504100000,0,0,0,0,0,3895,937
Dragon fruit,Region V,Sorsogon,0506200000,0,0,0,0,0,21776,5444
Dragon fruit,Region VI,Aklan,0600400000,0,0,0,0,0,2952,738
Dragon fruit,Region VI,Antique,0600600000,0,0,0,0,0,6200,1550
Dragon fruit,Region VI,Capiz,0601900000,0,0,0,0,0,22900,6000
Dragon fruit,Region VI,Guimaras,0607900000,0,0,0,0,0,32600,8150
Dragon fruit,Region VI,Iloilo,0603000000,0,0,0,0,0,23000,5800
Dragon fruit,NIR,Negros Occidental,1804500000,0,0,0,0,0,0,0
Dragon fruit,NIR,Negros Occidental,1804500000,0,0,0,0,0,4008,1002
Dragon fruit,NIR,Negros Oriental,1804600000,0,0,0,0,0,75000,18750
Dragon fruit,NIR,Siquijor,1806100000,0,0,0,0,0,25164,6291
Dragon fruit,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
