Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Durian,CAR,Abra,1400100000,0,0,0,0,0,0,0
Durian,CAR,Apayao,1408100000,0,0,0,0,1.45,1.99,0
Durian,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Durian,CAR,Ifugao,1402700000,0,0,0,2.27,4.51,3.75,0
Durian,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Durian,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Durian,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Durian,Region I,Ilocos Sur,0102900000,1.45,1.67,1.8,0.4,0,0,0
Durian,Region I,La Union,0103300000,0,0,0,0,0,0,0
Durian,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Durian,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Durian,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Durian,Region II,Isabela,0203100000,0,0,0,0,0,0,0
Durian,Region II,Nueva Vizcaya,0205000000,42.75,43.69,45.43,50.44,50.24,46.26,0.57
Durian,Region II,Quirino,0205700000,0,0,0,0.2,0.2,0.4,0
Durian,Region III,Aurora,0307700000,1.74,1.51,1.82,0.98,0.8,0.39,0
Durian,Region III,Bataan,0300800000,0,0,0,0,0,0.05,0
Durian,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Durian,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Durian,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Durian,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Durian,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Durian,Region IV-A,Batangas,0401000000,0.12,0.11,0.83,3.71,2.68,3.58,0
Durian,Region IV-A,Cavite,0402100000,0,0,0,0,0.12,0.16,0
Durian,Region IV-A,Laguna,0403400000,59.23,61.48,71.03,69.72,176.21,125.62,0.35
Durian,Region IV-A,Quezon,0405600000,0,0,0,0.09,4.05,4.62,8.29
Durian,Region IV-A,Rizal,0405800000,0,0,0,0,0,14.05,6.21
Durian,MIMAROPA,Marinduque,1704000000,0,0,0,0.87,0.53,0,0
Durian,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Durian,MIMAROPA,Oriental Mindoro,1705200000,2.34,2.21,2.79,3.15,4.13,2.47,10.08
Durian,MIMAROPA,Palawan,1705300000,9.24,18.19,15.65,7.22,10.66,10.63,0
Durian,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0,0
Durian,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,14.75
Durian,Region V,Albay,0500500000,0,0,0,0,0,0,0
Durian,Region V,Camarines Norte,0501600000,0,0,0,0,0,0,0
Durian,Region V,Camarines Sur,0501700000,0,0,0,0,0.04,0.04,0
Durian,Region V,Catanduanes,0502000000,0,0,0,0,0,0,0
Durian,Region V,Masbate,0504100000,0,0,0,0,0,0,0
Durian,Region V,Sorsogon,0506200000,0,0,0,0,0,0,0
Durian,Region VI,Aklan,0600400000,0.17,0.15,0.12,0.31,1.6,0.59,0
Durian,Region VI,Antique,0600600000,0,0,0,0,0,0.45,0
Durian,Region VI,Capiz,0601900000,0,0,0,0,0.12,0.23,0.03
Durian,Region VI,Guimaras,0607900000,0.01,0.05,0.05,0.05,0.03,0.02,0
Durian,Region VI,Iloilo,0603000000,2.85,2.78,2.65,2.69,0.06,1.49,0
Durian,NIR,Negros Occidental,1804500000,185,170.5,166.04,138.94,0,0,0
Durian,NIR,Negros Occidental,1804500000,0,0,0,0,141.18,148.71,2
Durian,NIR,Negros Oriental,1804600000,0,0,0,0,6.72,5.26,0
Durian,NIR,Siquijor,1806100000,0,0,0,0,0,0,0
Durian,NIR,City of Bacolod,1830200000,0,0,0,0,0,0,0
Durian,Region VII,Bohol,0701200000,6.3,2.96,2.01,13.32,5.62,2.93,1.18
Durian,Region VII,Cebu,0702200000,0.43,0.4,0.3,0.4,0.3,0.3,0
Durian,NIR,Negros Oriental,1804600000,6.41,4.54,2.6,4.2,0,0,0
Durian,NIR,Siquijor,1806100000,0,0,0,0.4,0,0,0
Durian,Region VIII,Biliran,0807800000,2,0,0.5,0.05,0.03,0.03,0
Durian,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0,0
Durian,Region VIII,Leyte,0803700000,2.08,2.07,2.04,2.09,2.91,2.17,0.43
Durian,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0,0
Durian,Region VIII,Samar,0806000000,0,0.07,0,0,0,0,0
Durian,Region VIII,Southern Leyte,0806400000,5.64,5.2,3.38,3.75,4.74,6,1.24
Durian,Region IX,Sulu,0906600000,0,0,0,0,0,0,4783.77
Durian,Region IX,Zamboanga del Norte,0907200000,1498.59,522.85,151.48,1626.9,1803.11,21.95,13.1
