Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Durian,CAR,Abra,1400100000,,,,,,,
Durian,CAR,Apayao,1408100000,,,,,,0.00226136,0
Durian,CAR,Benguet,1401100000,,,,,,,
Durian,CAR,Ifugao,1402700000,,,,,,0.00138889,0
Durian,CAR,Kalinga,1403200000,,,,,,,0
Durian,CAR,Mountain Province,1404400000,,,,,,,
Durian,Region I,Ilocos Norte,0102800000,,,,,,,
Durian,Region I,Ilocos Sur,0102900000,,,,,,,
Durian,Region I,La Union,0103300000,,,,,,,
Durian,Region I,Pangasinan,0105500000,,,,,,,
Durian,Region II,Batanes,0200900000,,,,,,,
Durian,Region II,Cagayan,0201500000,,,,,,,
Durian,Region II,Isabela,0203100000,,,,,,,
Durian,Region II,Nueva Vizcaya,0205000000,,,,,,0.03223693,0.00160563
Durian,Region II,Quirino,0205700000,,,,,,0.005,0
Durian,Region III,Aurora,0307700000,,,,,,0.00031553,0
Durian,Region III,Bataan,0300800000,,,,,,0.005,0
Durian,Region III,Bulacan,0301400000,,,,,,,
Durian,Region III,Nueva Ecija,0304900000,,,,,,,
Durian,Region III,Pampanga,0305400000,,,,,,,
Durian,Region III,Tarlac,0306900000,,,,,,,
Durian,Region III,Zambales,0307100000,,,,,,,
Durian,Region IV-A,Batangas,0401000000,,,,,,0.00218293,0
Durian,Region IV-A,Cavite,0402100000,,,,,,0.00121212,0
Durian,Region IV-A,Laguna,0403400000,,,,,,0.01730303,0.00019284
Durian,Region IV-A,Quezon,0405600000,,,,,,0.00227362,0.01594231
Durian,Region IV-A,Rizal,0405800000,,,,,,0.1405,0.1242
Durian,MIMAROPA,Marinduque,1704000000,,,,,,0,0
Durian,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Durian,MIMAROPA,Oriental Mindoro,1705200000,,,,,,0.00072647,0.01185882
Durian,MIMAROPA,Palawan,1705300000,,,,,,0.00246065,0
Durian,MIMAROPA,Romblon,1705900000,,,,,,,
Durian,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,0.07564103
