Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Garlic,CAR,Abra,1400100000,0,0,0,0,0,0.02,0.00
Garlic,CAR,Apayao,1408100000,0,0,0,0,0,0.00,0.00
Garlic,CAR,Benguet,1401100000,0,0,0,0,0,0.00,0.00
Garlic,CAR,Ifugao,1402700000,0,0,0,0,0,0.00,0.00
Garlic,CAR,Kalinga,1403200000,0,0,0,0,0,0.00,0.00
Garlic,CAR,Mountain Province,1404400000,0,0,0,0,0,0.00,0.00
Garlic,Region I,Ilocos Norte,0102800000,0,0,0,0,0,1706.04,1015.56
Garlic,Region I,Ilocos Sur,0102900000,0,0,0,0,0,51.45,39.09
Garlic,Region I,La Union,0103300000,0,0,0,0,0,0.00,0.00
Garlic,Region I,Pangasinan,0105500000,0,0,0,0,0,6.83,0.00
Garlic,Region II,Batanes,0200900000,0,0,0,0,0,85.50,44.50
Garlic,Region II,Cagayan,0201500000,0,0,0,0,0,10.80,5.80
Garlic,Region II,Isabela,0203100000,0,0,0,0,0,0.06,0.00
Garlic,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,42.52,30.50
Garlic,Region II,Quirino,0205700000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Aurora,0307700000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Bataan,0300800000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Bulacan,0301400000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Nueva Ecija,0304900000,0,0,0,0,0,144.20,72.10
Garlic,Region III,Pampanga,0305400000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Tarlac,0306900000,0,0,0,0,0,0.00,0.00
Garlic,Region III,Zambales,0307100000,0,0,0,0,0,0.00,0.00
Garlic,Region IV-A,Batangas,0401000000,0,0,0,0,0,0.00,0.00
Garlic,Region IV-A,Cavite,0402100000,0,0,0,0,0,0.00,0.00
Garlic,Region IV-A,Laguna,0403400000,0,0,0,0,0,0.00,0.00
Garlic,Region IV-A,Quezon,0405600000,0,0,0,0,0,0.00,0.00
Garlic,Region IV-A,Rizal,0405800000,0,0,0,0,0,0.00,0.00
Garlic,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,2.44,0.11
Garlic,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,27.89,4.53
Garlic,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,36.21,4.21
Garlic,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0.00,0.00
Garlic,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.00
Garlic,MIMAROPA,Romblon,1705900000,0,0,0,0,0,7.75,4.80
Garlic,Region V,Albay,0500500000,0,0,0,0,0,0.00,0.00
Garlic,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.00,0.00
Garlic,Region V,Camarines Sur,0501700000,0,0,0,0,0,0.00,0.00
Garlic,Region V,Catanduanes,0502000000,0,0,0,0,0,0.00,0.00
Garlic,Region V,Masbate,0504100000,0,0,0,0,0,0.00,0.00
Garlic,Region V,Sorsogon,0506200000,0,0,0,0,0,0.00,0.00
Garlic,Region VI,Aklan,0600400000,0,0,0,0,0,0.00,0.00
Garlic,Region VI,Antique,0600600000,0,0,0,0,0,0.00,0.00
Garlic,Region VI,Capiz,0601900000,0,0,0,0,0,0.00,0.00
Garlic,Region VI,Guimaras,0607900000,0,0,0,0,0,0.00,0.00
Garlic,Region VI,Iloilo,0603000000,0,0,0,0,0,22.60,0.50
Garlic,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Garlic,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0.00
Garlic,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.00
Garlic,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.00,0.00
