Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Hog,CAR,Abra,1400100000,3089.54,3712.91,3773.58,3828.31,3604.69,3373.74
Hog,CAR,Apayao,1408100000,3411.47,3324.33,1893.86,2015.19,1868.37,1977.96
Hog,CAR,Benguet,1401100000,4727.36,4460.82,4291.91,4880.44,4282.61,4321.83
Hog,CAR,Ifugao,1402700000,6045.92,4929.76,3751.70,3549.02,3242.05,1787.68
Hog,CAR,Kalinga,1403200000,5221.47,2117.43,3590.82,4011.46,4315.13,3729.23
Hog,CAR,Mountain Province,1404400000,3286.18,3343.76,3146.94,3839.86,3949.85,4209.48
Hog,Region I,Ilocos Norte,102800000,20771.92,20970.72,12580.12,16963.59,19056.03,20218.36
Hog,Region I,Ilocos Sur,102900000,14441.07,13138.87,11733.69,13477.03,13980.85,11258.73
Hog,Region I,La Union,103300000,15410.99,5876.59,7517.15,9913.68,10660.61,10319.32
Hog,Region I,Pangasinan,105500000,41599.40,17673.91,21231.37,28129.93,24710.44,19563.11
Hog,Region II,Batanes,200900000,265.90,260.90,324.44,382.20,312.69,388.92
Hog,Region II,Cagayan,201500000,29957.99,21828.08,15890.97,17295.14,18254.35,17764.12
Hog,Region II,Isabela,203100000,23634.97,7206.76,7181.40,8220.18,8914.79,9133.66
Hog,Region II,Nueva Vizcaya,205000000,9603.79,7043.41,6927.29,7426.43,7188.84,7039.78
Hog,Region II,Quirino,205700000,5459.09,3331.57,1728.38,2117.81,2128.03,2712.40
Hog,Region III,Aurora,307700000,4757.07,2814.04,2960.78,3762.80,2716.11,2643.36
Hog,Region III,Bataan,300800000,6826.37,2137.41,4041.88,6682.36,8305.06,11222.66
Hog,Region III,Bulacan,301400000,141744.96,21596.94,26763.72,34081.62,40094.84,43123.75
Hog,Region III,Nueva Ecija,304900000,15963.84,17217.00,16569.43,19910.81,25408.16,26179.26
Hog,Region III,Pampanga,305400000,36420.44,34612.51,44326.36,68167.12,76441.50,75823.33
Hog,Region III,Tarlac,306900000,95558.96,22746.04,33316.41,42526.04,42613.63,50700.11
Hog,Region III,Zambales,307100000,21137.85,3658.22,3922.74,5056.96,6859.74,5067.84
Hog,Region IV-A,Batangas,401000000,161189.85,115255.74,136337.95,155050.08,149561.79,129645.11
Hog,Region IV-A,Cavite,402100000,28723.99,17647.46,11918.25,13710.70,16147.87,18430.49
Hog,Region IV-A,Laguna,403400000,45683.00,10563.13,11873.00,14021.98,16176.42,18530.31
Hog,Region IV-A,Quezon,405600000,47555.17,37349.78,31824.17,33402.72,34579.09,38464.66
