Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Malunggay,CAR,Abra,1400100000,11.27,11.09,11.20,19.02,13.66,37.49,0.00
Malunggay,CAR,Apayao,1408100000,4.97,4.51,4.30,4.60,5.31,5.44,0.34
Malunggay,CAR,Benguet,1401100000,0.00,0.00,0.00,0.00,3.59,0.00,0.00
Malunggay,CAR,Ifugao,1402700000,0.00,0.00,0.00,1.50,1.66,3.62,0.20
Malunggay,CAR,Kalinga,1403200000,1.54,1.98,2.74,3.79,4.94,5.33,0.15
Malunggay,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.04,0.23
Malunggay,Region I,Ilocos Norte,0102800000,352.78,342.89,331.16,330.88,333.26,308.55,54.31
Malunggay,Region I,Ilocos Sur,0102900000,1041.30,1026.20,1127.99,989.53,978.84,970.32,336.53
Malunggay,Region I,La Union,0103300000,303.34,280.41,281.50,273.78,270.98,227.35,49.75
Malunggay,Region I,Pangasinan,0105500000,1081.95,1116.27,1238.87,1206.86,1227.02,1279.87,503.32
Malunggay,Region II,Batanes,0200900000,7.30,7.17,8.68,7.90,7.26,8.70,1.88
Malunggay,Region II,Cagayan,0201500000,838.84,850.33,857.24,881.60,832.89,852.63,189.25
Malunggay,Region II,Isabela,0203100000,321.55,312.52,306.84,297.75,307.65,314.62,77.07
Malunggay,Region II,Nueva Vizcaya,0205000000,273.75,278.45,284.41,323.59,284.75,313.28,88.91
Malunggay,Region II,Quirino,0205700000,4.69,3.84,4.53,4.65,5.92,7.54,2.46
Malunggay,Region III,Aurora,0307700000,45.34,60.34,69.62,61.27,53.96,48.90,13.50
Malunggay,Region III,Bataan,0300800000,9.43,12.51,14.17,16.01,14.24,14.39,3.20
Malunggay,Region III,Bulacan,0301400000,50.80,40.10,43.63,36.39,28.02,32.39,14.39
Malunggay,Region III,Nueva Ecija,0304900000,17.40,19.23,16.61,15.41,15.32,14.94,0.23
Malunggay,Region III,Pampanga,0305400000,28.47,29.48,28.49,28.84,28.55,28.66,12.16
Malunggay,Region III,Tarlac,0306900000,2.10,2.26,2.30,2.45,2.57,2.76,1.24
Malunggay,Region III,Zambales,0307100000,11.41,11.41,12.11,11.85,25.59,38.61,4.87
Malunggay,Region IV-A,Batangas,0401000000,86.63,95.83,78.46,109.23,126.55,138.14,54.52
Malunggay,Region IV-A,Cavite,0402100000,1.08,0.64,0.50,0.30,0.38,1.00,0.35
Malunggay,Region IV-A,Laguna,0403400000,125.51,125.80,113.57,111.04,110.76,107.44,57.47
Malunggay,Region IV-A,Quezon,0405600000,1.53,1.59,1.46,1.46,1.69,2.18,0.24
Malunggay,Region IV-A,Rizal,0405800000,1.00,1.20,0.70,1.75,4.02,28.24,4.67
