Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Mango,Cordillera Administrative Region (CAR),Abra,1400100000,1074.12,1023.82,1037.12,1208.56,921.98,1034.05,78
Mango,Cordillera Administrative Region (CAR),Apayao,1408100000,18.03,16.99,17.89,18.61,13.59,11.02,0.44
Mango,Cordillera Administrative Region (CAR),Benguet,1401100000,545,364.72,348.32,351.09,336.42,364.55,44.25
Mango,Cordillera Administrative Region (CAR),Ifugao,1402700000,351.41,840.17,921.4,395.66,322.6,262.13,0
Mango,Cordillera Administrative Region (CAR),Kalinga,1403200000,228.23,182.2,214.13,549.47,548.49,455.44,4.88
Mango,Cordillera Administrative Region (CAR),Mountain Province,1404400000,182.09,167.42,136.06,139.26,95.78,134.16,0.71
Mango,Region I (Ilocos Region),Ilocos Norte,102800000,26082.6,25199.5,22888.12,22943.8,23125.07,21799.81,7156.04
Mango,Region I (Ilocos Region),Ilocos Sur,102900000,9628.25,10524.57,11979.37,12760.38,13100.83,11630.59,297.96
Mango,Region I (Ilocos Region),La Union,103300000,17369.41,14324.33,13670.34,12361.12,18049.6,16695.75,2152.63
Mango,Region I (Ilocos Region),Pangasinan,105500000,125163.77,122420.7,117494.46,118994.41,123600.97,110732.76,20961.04
Mango,Region II (Cagayan Valley),Batanes,200900000,1,0.83,0.35,1.12,1.45,0,0
Mango,Region II (Cagayan Valley),Cagayan,201500000,6660.46,6822.89,6439.13,7147.71,7483,6255.67,5.09
Mango,Region II (Cagayan Valley),Isabela,203100000,19828.4,19907.56,19865.29,19954.18,21462.13,20473.64,10.24
Mango,Region II (Cagayan Valley),Nueva Vizcaya,205000000,22547.44,19114.32,19765.65,20660.59,20240.69,20426.86,11.42
Mango,Region II (Cagayan Valley),Quirino,205700000,1071.64,1203.23,1117.25,1249.54,1471.48,1411.94,1.25
Mango,Region III (Central Luzon),Aurora,307700000,13.7,5.37,9.14,25.56,84.28,14.15,4.03
Mango,Region III (Central Luzon),Bataan,300800000,2983.41,3276.46,3506.81,3747.47,4218.44,3473.67,1393.23
Mango,Region III (Central Luzon),Bulacan,301400000,7863.5,7152.66,7692.32,8901.95,9354.74,9360.15,4036.48
Mango,Region III (Central Luzon),Nueva Ecija,304900000,9764.15,10042.76,10074.82,9211.62,11522.49,11993.76,2809.67
Mango,Region III (Central Luzon),Pampanga,305400000,5564.86,5284.35,5565.51,8311.57,6937.84,7084.72,4660.35
Mango,Region III (Central Luzon),Tarlac,306900000,3496.57,2620.59,2060.87,1816.94,2141.59,2241.56,1060.88
Mango,Region III (Central Luzon),Zambales,307100000,16838.74,19686.71,18919.18,20067.61,15016.59,16893.71,16978.34
Mango,Region IV-A (CALABARZON),Batangas,401000000,30291.54,31050.6,32057.38,35493.36,31859,28661.12,1955.87
Mango,Region IV-A (CALABARZON),Cavite,402100000,3157.51,2912.71,3156.19,3386.28,4077.54,1924.24,122.42
Mango,Region IV-A (CALABARZON),Laguna,403400000,216,230.04,263.79,278.01,370.12,358.91,53.05
Mango,Region IV-A (CALABARZON),Quezon,405600000,5888.53,5829.8,5542.51,6142.67,5603.6,5589.04,31.18
