Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Mango,Cordillera Administrative Region (CAR),Abra,1400100000,6475,6475,6475,10102,7091,8462,0
Mango,Cordillera Administrative Region (CAR),Apayao,1408100000,2850,2980,2880,2890,3730,3990,0
Mango,Cordillera Administrative Region (CAR),Benguet,1401100000,6750,6750,6750,6750,9324,7416,0
Mango,Cordillera Administrative Region (CAR),Ifugao,1402700000,5500,5500,5500,5500,5681,12290,0
Mango,Cordillera Administrative Region (CAR),Kalinga,1403200000,4480,4500,4620,4590,4287,4287,0
Mango,Cordillera Administrative Region (CAR),Mountain Province,1404400000,6895,6895,6896,6896,6895,11768,0
Mango,Region I (Ilocos Region),Ilocos Norte,0102800000,206932,205982,205733,205733,205302,205262,0
Mango,Region I (Ilocos Region),Ilocos Sur,0102900000,41329,41343,41362,41459,41362,40321,0
Mango,Region I (Ilocos Region),La Union,0103300000,78770,78770,78770,79016,78680,78680,0
Mango,Region I (Ilocos Region),Pangasinan,0105500000,455714,455714,449440,474065,450106,449066,0
Mango,Region II (Cagayan Valley),Batanes,0200900000,2608,2581,2188,2285,1470,1357,0
Mango,Region II (Cagayan Valley),Cagayan,0201500000,165785,165934,165934,259277,166804,166367,0
Mango,Region II (Cagayan Valley),Isabela,0203100000,295354,295092,293807,419549,293800,292937,0
Mango,Region II (Cagayan Valley),Nueva Vizcaya,0205000000,377861,378205,378207,378530,378539,378474,0
Mango,Region II (Cagayan Valley),Quirino,0205700000,99221,99518,99405,175372,99989,98846,0
Mango,Region III (Central Luzon),Aurora,0307700000,3447,1422,1422,2680,3472,1834,0
Mango,Region III (Central Luzon),Bataan,0300800000,52392,52392,52483,52392,53260,53260,0
Mango,Region III (Central Luzon),Bulacan,0301400000,467900,466635,459553,491510,468131,468131,0
Mango,Region III (Central Luzon),Nueva Ecija,0304900000,647900,647900,647816,647816,653513,653513,0
Mango,Region III (Central Luzon),Pampanga,0305400000,36003,35717,35661,35685,36196,34938,0
Mango,Region III (Central Luzon),Tarlac,0306900000,178640,178640,178620,178620,178843,178933,0
Mango,Region III (Central Luzon),Zambales,0307100000,491901,491901,491901,477051,489087,489087,0
Mango,Region IV-A (CALABARZON),Batangas,0401000000,797400,797400,797400,855294,819396,800196,0
Mango,Region IV-A (CALABARZON),Cavite,0402100000,44550,43100,43100,48200,43950,43950,0
Mango,Region IV-A (CALABARZON),Laguna,0403400000,3340,3340,3340,3340,4270,4270,0
Mango,Region IV-A (CALABARZON),Quezon,0405600000,26075,26075,26075,28735,26575,26580,0
Mango,Region IV-A (CALABARZON),Rizal,0405800000,35584,35584,35640,36350,38140,39600,0
Mango,MIMAROPA Region,Marinduque,1704000000,5352,5192,5192,5331,8860,8860,0
Mango,MIMAROPA Region,Occidental Mindoro,1705100000,21550,21561,21561,21678,21678,21969,0
Mango,MIMAROPA Region,Oriental Mindoro,1705200000,1686,1686,2126,3245,2861,2961,0
Mango,MIMAROPA Region,Palawan,1705300000,129995,130100,111202,120921,105045,108396,0
Mango,MIMAROPA Region,Romblon,1705900000,35661,35497,35611,35793,35521,35521,0
Mango,MIMAROPA Region,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0
Mango,Region V (Bicol Region),Albay,0500500000,2775,2775,2625,4558,2337,5923,0
Mango,Region V (Bicol Region),Camarines Norte,0501600000,27200,27109,27109,54172,16252,16251,0
Mango,Region V (Bicol Region),Camarines Sur,0501700000,11873,11870,11870,22840,12183,9443,0
Mango,Region V (Bicol Region),Catanduanes,0502000000,335,326,332,335,580,580,0
Mango,Region V (Bicol Region),Masbate,0504100000,5705,5705,5467,5657,7498,2281,0
Mango,Region V (Bicol Region),Sorsogon,0506200000,16989,16942,16831,24904,14522,14002,0
Mango,Region VI (Western Visayas),Aklan,0600400000,9880,9880,9880,9880,9920,14431,0
Mango,Region VI (Western Visayas),Antique,0600600000,7336,7336,7094,7970,7284,7282,0
Mango,Region VI (Western Visayas),Capiz,0601900000,4590,4610,4650,5480,4710,4800,0
Mango,Region VI (Western Visayas),Guimaras,0607900000,159100,159100,159100,162289,175230,163023,0
Mango,Region VI (Western Visayas),Iloilo,0603000000,113401,113301,113301,118570,113958,114058,0
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,140400,140400,140485,155754,0,0,0
Mango,Region VI (Western Visayas),Negros Occidental,1804500000,0,0,0,0,142886,140786,0
Mango,Negros Island Region (NIR),Negros Oriental,1804600000,0,0,0,0,222452,197252,0
Mango,Negros Island Region (NIR),Siquijor,1806100000,0,0,0,0,7923,7917,0
Mango,Negros Island Region (NIR),City of Bacolod,1830200000,0,0,0,0,0,0,0
Mango,Region VII (Central Visayas),Bohol,0701200000,60837,60837,45627,48110,42235,42235,0
Mango,Region VII (Central Visayas),Cebu,0702200000,311217,311217,309727,312065,312065,312065,0
Mango,Negros Island Region (NIR),Negros Oriental,1804600000,192670,192680,191800,206627,0,0,0
Mango,Negros Island Region (NIR),Siquijor,1806100000,8450,8170,7885,7885,0,0,0
Mango,Region VIII (Eastern Visayas),Biliran,0807800000,2920,3045,2995,3556,2595,2595,0
Mango,Region VIII (Eastern Visayas),Eastern Samar,0802600000,1410,1393,1407,2785,2893,2893,0
Mango,Region VIII (Eastern Visayas),Leyte,0803700000,2940,2940,2936,3089,3078,3043,0
Mango,Region VIII (Eastern Visayas),Northern Samar,0804800000,3280,3280,3280,3280,4160,4148,0
Mango,Region VIII (Eastern Visayas),Samar,0806000000,1732,1968,2135,2256,5903,3464,0
Mango,Region VIII (Eastern Visayas),Southern Leyte,0806400000,6920,6825,2047,2185,3844,2854,0
Mango,Region IX (Zamboanga Peninsula),Sulu,0906600000,0,0,0,0,0,0,0
Mango,Region IX (Zamboanga Peninsula),Zamboanga del Norte,0907200000,738243,744243,744343,762846,736135,733335,0
Mango,Region IX (Zamboanga Peninsula),Zamboanga del Sur,0907300000,89387,89387,89387,171597,203191,155736,0
Mango,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,0908300000,23106,23115,23123,23122,23333,23124,0
Mango,Region IX (Zamboanga Peninsula),City of Zamboanga,0907400000,104354,82208,82208,0,0,97460,0
Mango,Region X (Northern Mindanao),Bukidnon,1001300000,156462,156461,145342,146417,146417,146417,0
Mango,Region X (Northern Mindanao),Camiguin,1001800000,4305,4295,4020,4543,4709,4536,0
Mango,Region X (Northern Mindanao),Lanao del Norte,1003500000,89890,89995,89300,94086,93275,92700,0
Mango,Region X (Northern Mindanao),Misamis Occidental,1004200000,75685,76000,76450,76485,69135,69135,0
Mango,Region X (Northern Mindanao),Misamis Oriental,1004300000,174298,175982,167833,167672,168101,168207,0
Mango,Region XI (Davao Region),Davao de Oro,1108200000,16010,16005,16005,16005,15505,14707,0
Mango,Region XI (Davao Region),Davao del Norte,1102300000,81062,78953,78951,78900,75557,75548,0
Mango,Region XI (Davao Region),Davao del Sur,1102400000,228552,229617,229617,282292,282292,282292,0
Mango,Region XI (Davao Region),Davao Occidental,1108600000,36863,36863,36863,36863,36863,36863,0
Mango,Region XI (Davao Region),Davao Oriental,1102500000,45471,46484,46489,46494,46494,45696,0
Mango,Region XI (Davao Region),City of Davao,1130700000,52320,52778,52778,0,0,45680,0
Mango,Region XII (SOCCSKSARGEN),Cotabato,1204700000,425000,393000,390000,385080,385240,385240,0
Mango,Region XII (SOCCSKSARGEN),Sarangani,1208000000,232130,234150,234300,234927,236580,236949,0
Mango,Region XII (SOCCSKSARGEN),Sultan Kudarat,1206500000,75765,74038,66634,66634,66654,66654,0
Mango,Region XII (SOCCSKSARGEN),South Cotabato,1206300000,256202,263062,263359,276742,280456,310771,0
Mango,Region XIII (Caraga),Agusan del Norte,1600200000,137355,137495,123425,123463,123843,126894,0
Mango,Region XIII (Caraga),Agusan del Sur,1600300000,22919,22919,22919,22919,22919,23505,0
