Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Melon,CAR,Abra,1400100000,88.02,85.51,84.80,77.10,68.47,43.00,0.00
Melon,CAR,Apayao,1408100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,CAR,Benguet,1401100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,CAR,Ifugao,1402700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,CAR,Kalinga,1403200000,0.00,0.00,0.00,0.00,0.74,0.60,0.00
Melon,CAR,Mountain Province,1404400000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region I,Ilocos Norte,0102800000,14.06,13.79,14.91,15.29,18.81,20.89,6.74
Melon,Region I,Ilocos Sur,0102900000,28.39,25.85,28.18,31.13,34.39,28.43,12.78
Melon,Region I,La Union,0103300000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region I,Pangasinan,0105500000,217.00,216.40,156.11,144.94,135.85,127.30,114.49
Melon,Region II,Batanes,0200900000,0.00,1.75,1.10,0.00,1.15,3.09,0.00
Melon,Region II,Cagayan,0201500000,2.25,2.32,2.14,1.49,1.29,1.25,0.00
Melon,Region II,Isabela,0203100000,146.23,101.82,81.04,77.87,68.77,66.94,29.11
Melon,Region II,Nueva Vizcaya,0205000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region II,Quirino,0205700000,0.00,0.00,0.00,0.00,0.00,0.00,2.15
Melon,Region III,Aurora,0307700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region III,Bataan,0300800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region III,Bulacan,0301400000,80.70,79.10,73.26,147.70,67.35,70.20,30.88
Melon,Region III,Nueva Ecija,0304900000,164.24,137.25,135.21,1210.09,1195.68,1045.62,46.63
Melon,Region III,Pampanga,0305400000,1527.00,1532.00,1529.80,1919.82,1955.53,1984.13,1125.03
Melon,Region III,Tarlac,0306900000,347.63,333.52,359.46,269.62,322.69,323.81,145.56
Melon,Region III,Zambales,0307100000,0.00,0.00,0.00,0.00,0.00,0.00,14.00
Melon,Region IV-A,Batangas,0401000000,0.00,0.00,0.00,0.60,0.00,0.00,0.00
Melon,Region IV-A,Cavite,0402100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region IV-A,Laguna,0403400000,92.06,90.10,83.27,90.22,71.64,57.38,46.00
Melon,Region IV-A,Quezon,0405600000,0.00,0.00,0.00,0.00,0.01,0.01,0.00
Melon,Region IV-A,Rizal,0405800000,196.42,333.30,311.14,391.78,324.88,321.36,120.77
Melon,MIMAROPA,Marinduque,1704000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,MIMAROPA,Occidental Mindoro,1705100000,22.00,96.00,97.76,91.20,118.71,133.53,189.86
Melon,MIMAROPA,Oriental Mindoro,1705200000,68.34,42.91,26.36,43.42,39.33,35.55,8.17
Melon,MIMAROPA,Palawan,1705300000,19.64,13.62,12.60,4.20,12.43,11.69,0.00
Melon,MIMAROPA,Romblon,1705900000,39.24,38.09,38.42,28.18,26.07,23.37,2.34
Melon,MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region V,Albay,0500500000,2.31,2.79,2.90,2.60,1.50,12.71,0.00
Melon,Region V,Camarines Norte,0501600000,4.00,3.39,4.51,7.22,6.50,6.18,0.00
Melon,Region V,Camarines Sur,0501700000,3.52,1.06,0.40,0.54,0.52,9.50,0.00
Melon,Region V,Catanduanes,0502000000,9.94,0.00,0.00,0.00,2.93,4.49,0.00
Melon,Region V,Masbate,0504100000,0.60,0.67,0.69,0.71,0.00,0.00,0.00
Melon,Region V,Sorsogon,0506200000,13.51,12.80,9.17,5.97,4.18,2.93,0.00
Melon,Region VI,Aklan,0600400000,0.00,0.00,0.00,0.00,0.75,3.00,0.00
Melon,Region VI,Antique,0600600000,2.60,2.33,2.48,3.57,3.89,3.91,1.85
Melon,Region VI,Capiz,0601900000,60.50,52.50,52.00,44.00,56.00,87.00,8.63
Melon,Region VI,Guimaras,0607900000,0.55,0.88,1.12,1.35,2.16,2.62,2.00
Melon,Region VI,Iloilo,0603000000,4306.75,4089.85,3884.00,3430.50,3672.18,3827.91,1436.96
Melon,NIR,Negros Occidental,1804500000,140.00,138.00,147.06,193.47,0.00,0.00,0.00
Melon,NIR,Negros Occidental,1804500000,0.00,0.00,0.00,0.00,165.87,161.29,0.00
Melon,NIR,Negros Oriental,1804600000,0.00,0.00,0.00,0.00,4.88,0.00,0.00
Melon,NIR,Siquijor,1806100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,NIR,City of Bacolod,1830200000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Melon,Region VII,Bohol,0701200000,2.20,1.66,1.50,2.92,2.50,0.00,0.00
Melon,Region VII,Cebu,0702200000,0.00,0.00,0.00,0.00,0.00,7.50,7.51
Melon,NIR,Negros Oriental,1804600000,0.00,0.00,1.20,0.00,0.00,0.00,0.00
Melon,NIR,Siquijor,1806100000,0.31,0.17,0.09,0.00,0.00,0.00,0.00
Melon,Region VIII,Biliran,0807800000,0.97,0.42,0.30,0.35,0.32,0.00,0.00
Melon,Region VIII,Eastern Samar,0802600000,0.00,0.00,0.00,0.31,0.25,0.00,0.00
Melon,Region VIII,Leyte,0803700000,0.54,0.45,0.32,0.20,0.31,0.30,0.01
Melon,Region VIII,Northern Samar,0804800000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
