Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025
Milkfish,CAR,Abra,1400100000,0,0,0,0,0,0
Milkfish,CAR,Apayao,1408100000,0,0,0,0,0,0
Milkfish,CAR,Benguet,1401100000,0,0,0,0,0,0
Milkfish,CAR,Ifugao,1402700000,0,0,0,0,0,0
Milkfish,CAR,Kalinga,1403200000,0,0,0,0,0,0
Milkfish,CAR,Mountain Province,1404400000,0,0,0,0,0,0
Milkfish,Region I,Ilocos Norte,0102800000,21.41,12.54,87.56,77.21,46.63,54.12
Milkfish,Region I,Ilocos Sur,0102900000,254.61,255.26,242.12,222.05,172.54,116.88
Milkfish,Region I,La Union,0103300000,5782.93,5996.99,5255.65,4436.15,3163.96,3357.5
Milkfish,Region I,Pangasinan,0105500000,119907.77,131761.24,137778.18,138818.74,138305.38,137051.34
Milkfish,Region II,Batanes,0200900000,0,0,0,0,0,0
Milkfish,Region II,Cagayan,0201500000,565.45,643.65,687.82,737.3,563.46,679.61
Milkfish,Region II,Isabela,0203100000,0,0,0,0,0,0
Milkfish,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0
Milkfish,Region II,Quirino,0205700000,0,0,0,0,0,0
Milkfish,Region III,Aurora,0307700000,0,0.14,2.99,1.62,2.43,4.85
Milkfish,Region III,Bataan,0300800000,7647.23,8389.33,4967.8,3108.89,1861.52,1839.13
Milkfish,Region III,Bulacan,0301400000,13348.24,14823.4,23045.74,28727.39,25807.26,27576.47
Milkfish,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0
Milkfish,Region III,Pampanga,0305400000,27068.98,30803.17,29055.89,30672.45,29563.96,29524.39
Milkfish,Region III,Tarlac,0306900000,0,0,0,0,0,0
Milkfish,Region III,Zambales,0307100000,30422.7,37388.32,28240.92,7002.76,5666.65,5077.85
Milkfish,Region IV-A,Batangas,0401000000,10196.22,8602.66,6770.28,10153.02,8082.07,7309.96
Milkfish,Region IV-A,Cavite,0402100000,0.86,0.53,5.22,1.74,1.36,2.61
Milkfish,Region IV-A,Laguna,0403400000,482.41,76.51,254.36,147.44,199.18,402.06
Milkfish,Region IV-A,Quezon,0405600000,24410.81,26869.31,25035.03,18395.33,12265.67,9851.96
Milkfish,Region IV-A,Rizal,0405800000,10102.6,6246.34,4655.85,4187.33,3935.76,2847.87
Milkfish,MIMAROPA,Marinduque,1704000000,90.72,63.22,15.96,19.26,24.97,10.55
Milkfish,MIMAROPA,Occidental Mindoro,1705100000,222.35,417.25,541.5,1037.07,146.68,146.17
Milkfish,MIMAROPA,Oriental Mindoro,1705200000,1193.67,1202.63,273.39,113.32,205.58,104.84
Milkfish,MIMAROPA,Palawan,1705300000,84.03,76.78,353.66,836.15,1151.11,1973.93
Milkfish,MIMAROPA,Romblon,1705900000,18.85,29.31,238.97,158.07,61.93,45.81
Milkfish,Region V,Albay,0500500000,117.15,109.83,928.34,73.72,35.11,12.66
Milkfish,Region V,Camarines Norte,0501600000,1233.21,1187.25,104.82,252.34,65.5,34.74
Milkfish,Region V,Camarines Sur,0501700000,1234.29,2038.53,428.47,314.39,79.55,99.8
Milkfish,Region V,Catanduanes,0502000000,9.28,4.93,20.66,3.86,2.86,1.02
Milkfish,Region V,Masbate,0504100000,462.5,448.42,656.32,350.86,961.78,1131.61
Milkfish,Region V,Sorsogon,0506200000,246.09,499.18,106.27,58.08,105.48,60.66
Milkfish,Region VI,Aklan,0600400000,15359.84,10539.95,3883.53,2652.25,1468.38,1549.45
Milkfish,Region VI,Antique,0600600000,132.49,131.76,75.25,30.35,77.97,47.88
Milkfish,Region VI,Capiz,0601900000,42423.09,46458.2,42892.08,49668.34,71986.79,117465.29
Milkfish,Region VI,Guimaras,0607900000,2266.29,2254.31,1788.8,1923.14,2694.32,3306.41
Milkfish,Region VI,Iloilo,0603000000,14817.37,14424.88,2822.05,2749.02,3541.97,4580.69
Milkfish,NIR,Negros Occidental,1804500000,23594.43,23965.6,13270.92,2004.81,2968.76,2530.66
Milkfish,NIR,Negros Oriental,1804600000,886.25,1196.13,754.91,337.4,525.61,845.22
Milkfish,NIR,Siquijor,1806100000,4.51,13.24,7.13,13.89,3.71,11.07
Milkfish,Region VII,Bohol,0701200000,2074.69,2412.73,921.37,1509.09,2327.86,2014.63
Milkfish,Region VII,Cebu,0702200000,3322.1,4035.04,1211.1,452.88,1828.79,1591.36
Milkfish,Region VIII,Biliran,0807800000,33.33,59.43,43.06,63.6,93.03,65.51
Milkfish,Region VIII,Eastern Samar,0802600000,11.19,7.53,43.83,10.49,22.28,11.02
Milkfish,Region VIII,Leyte,0803700000,2118.76,1646.3,313.62,1996.6,1614.98,2549.05
Milkfish,Region VIII,Northern Samar,0804800000,63.31,83.42,94.47,65.87,73.09,21.73
Milkfish,Region VIII,Samar,0806000000,971.12,1602.76,208.95,2589.57,2743.61,1447.86
Milkfish,Region VIII,Southern Leyte,0806400000,34.06,42.81,5.19,1.24,1.84,6.07
Milkfish,Region IX,Sulu,0906600000,0,0,0,0,0,0
Milkfish,Region IX,Zamboanga del Norte,0907200000,1906.08,2065.06,1196.91,599.13,1374.29,1104.14
Milkfish,Region IX,Zamboanga del Sur,0907300000,1445.88,1276.35,2907.25,2051.04,1469.5,348.51
Milkfish,Region IX,Zamboanga Sibugay,0908300000,1874.03,3390.1,1484.69,671.52,681.04,2517.25
Milkfish,Region IX,City of Zamboanga,0907400000,891.76,1020.69,0,0,0,560.4
Milkfish,Region X,Bukidnon,1001300000,0,0,0,0,0,0
Milkfish,Region X,Camiguin,1001800000,3.14,1.95,2.02,1.99,4.58,1.01
Milkfish,Region X,Lanao del Norte,1003500000,5491.87,5525.09,4341.07,2161.63,2059.63,2529.97
Milkfish,Region X,Misamis Occidental,1004200000,8157.61,7960.12,5148.91,4067.12,4384.86,4263.02
Milkfish,Region X,Misamis Oriental,1004300000,1159.18,1253.54,889.84,831.11,880.25,1219.33
Milkfish,Region XI,Davao de Oro,1108200000,358.98,523.97,316.57,592.44,1224.71,1655.21
Milkfish,Region XI,Davao del Norte,1102300000,3422.37,4689.86,2756.71,2507.85,1723.7,1540.91
Milkfish,Region XI,Davao del Sur,1102400000,3773.21,3300.65,12488.78,13572.99,12766.83,8172.21
Milkfish,Region XI,Davao Occidental,1108600000,6639.02,8679.8,9088.22,2732.01,3257.78,1443.27
Milkfish,Region XI,Davao Oriental,1102500000,976.33,1283.18,521.84,240.23,266.15,156.34
Milkfish,Region XI,City of Davao,1130700000,1363.06,1667.6,0,0,0,2066.17
Milkfish,Region XII,Cotabato,1204700000,0,0,0,0,0,0
Milkfish,Region XII,Sarangani,1208000000,3548.18,2909.16,1295.2,1862.46,861.78,1072.62
Milkfish,Region XII,South Cotabato,1206300000,170.19,155.87,77.29,0.48,0,0
Milkfish,Region XII,Sultan Kudarat,1206500000,14.56,21.62,52.34,191.23,543.21,141.4
Milkfish,Region XIII,Agusan del Norte,1600200000,2845.82,3094.43,3352.35,2941.13,3083.3,2217.15
Milkfish,Region XIII,Agusan del Sur,1600300000,0,0,0,0.33,0,0
Milkfish,Region XIII,Dinagat Islands,1608500000,14.88,16.82,6.86,23.26,14.93,4.84
Milkfish,Region XIII,Surigao del Norte,1606700000,371.29,343.32,60.4,152.49,58.52,62.06
Milkfish,Region XIII,Surigao del Sur,1606800000,1638.68,1991.08,879.95,839.89,860.08,405.28
Milkfish,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0
Milkfish,BARMM,Basilan,1900700000,1723.7,1763.18,410.09,80.71,2.74,1.49
Milkfish,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,0
Milkfish,BARMM,Maguindanao del Norte,1908700000,9252.51,6364.18,4450.42,626.59,285.26,1828.36
Milkfish,BARMM,Maguindanao del Sur,1908800000,0,0,0,1985.4,367.51,1279.66
Milkfish,Region IX,Sulu,0906600000,0,0,0,0,0,88.9
Milkfish,BARMM,Tawi-Tawi,1907000000,0,0,0,0,0,0.98
