Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
"Peanut, with shell, dry",CAR,Abra,1400100000,0.00,0.00,0.00,2.94,0.48,16.36,2.84
"Peanut, with shell, dry",CAR,Apayao,1408100000,4.27,4.34,4.53,4.54,4.90,4.92,0.22
"Peanut, with shell, dry",CAR,Benguet,1401100000,5.30,5.95,8.00,3.11,3.85,1.23,0.00
"Peanut, with shell, dry",CAR,Ifugao,1402700000,22.64,25.79,32.80,36.74,38.75,27.01,11.23
"Peanut, with shell, dry",CAR,Kalinga,1403200000,7.69,7.57,9.11,8.90,9.38,6.90,0.84
"Peanut, with shell, dry",CAR,Mountain Province,1404400000,26.44,25.77,27.45,35.47,35.78,35.66,0.00
"Peanut, with shell, dry",Region I,Ilocos Norte,0102800000,1576.61,1559.51,1616.73,1657.86,1659.35,1788.78,584.28
"Peanut, with shell, dry",Region I,Ilocos Sur,0102900000,1966.70,2037.82,2228.05,2132.98,2150.75,2176.88,1178.91
"Peanut, with shell, dry",Region I,La Union,0103300000,3182.54,2914.44,3133.67,2876.41,2762.24,2591.35,2076.02
"Peanut, with shell, dry",Region I,Pangasinan,0105500000,5282.60,5697.93,5823.19,5668.11,5952.48,5229.77,2404.52
"Peanut, with shell, dry",Region II,Batanes,0200900000,0.09,0.22,0.17,0.19,0.47,0.38,0.04
"Peanut, with shell, dry",Region II,Cagayan,0201500000,1519.91,1598.94,2075.98,2084.27,1848.52,1828.18,230.45
"Peanut, with shell, dry",Region II,Isabela,0203100000,977.11,835.45,791.50,772.61,779.51,777.31,9.67
"Peanut, with shell, dry",Region II,Nueva Vizcaya,0205000000,389.35,383.47,401.15,430.62,371.36,402.61,68.54
"Peanut, with shell, dry",Region II,Quirino,0205700000,21.73,24.91,28.03,27.21,12.53,22.73,7.81
"Peanut, with shell, dry",Region III,Aurora,0307700000,886.93,1411.83,1108.22,1119.97,872.91,41.16,0.00
"Peanut, with shell, dry",Region III,Bataan,0300800000,101.52,121.74,162.05,190.31,162.52,162.28,18.99
"Peanut, with shell, dry",Region III,Bulacan,0301400000,42.55,42.27,42.79,39.59,35.13,36.35,35.47
"Peanut, with shell, dry",Region III,Nueva Ecija,0304900000,31.58,39.56,39.44,38.19,34.28,35.67,5.78
"Peanut, with shell, dry",Region III,Pampanga,0305400000,243.99,267.82,296.82,332.33,342.61,341.06,250.79
"Peanut, with shell, dry",Region III,Tarlac,0306900000,403.27,459.81,477.50,487.90,478.15,455.12,151.58
"Peanut, with shell, dry",Region III,Zambales,0307100000,10.74,9.61,9.18,8.48,6.16,0.61,1.54
"Peanut, with shell, dry",Region IV-A,Batangas,0401000000,23.15,30.34,32.56,39.26,39.56,39.34,8.07
"Peanut, with shell, dry",Region IV-A,Cavite,0402100000,162.51,145.55,151.96,177.72,150.23,305.70,0.00
"Peanut, with shell, dry",Region IV-A,Laguna,0403400000,2.04,3.14,2.44,2.08,2.45,4.04,1.54
"Peanut, with shell, dry",Region IV-A,Quezon,0405600000,273.51,286.04,295.79,279.93,272.31,281.66,143.32
"Peanut, with shell, dry",Region IV-A,Rizal,0405800000,34.52,34.40,35.11,33.00,29.40,29.66,10.24
"Peanut, with shell, dry",MIMAROPA,Marinduque,1704000000,191.92,208.33,181.37,84.18,67.54,67.30,30.78
"Peanut, with shell, dry",MIMAROPA,Occidental Mindoro,1705100000,636.22,702.11,792.07,733.09,592.54,680.50,203.10
"Peanut, with shell, dry",MIMAROPA,Oriental Mindoro,1705200000,16.67,15.24,9.62,63.45,59.26,49.85,0.39
"Peanut, with shell, dry",MIMAROPA,Palawan,1705300000,562.48,570.95,539.78,481.55,465.10,408.18,210.37
"Peanut, with shell, dry",MIMAROPA,City of Puerto Princesa,1731500000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Peanut, with shell, dry",MIMAROPA,Romblon,1705900000,56.42,56.16,59.24,65.01,70.00,62.74,17.97
"Peanut, with shell, dry",Region V,Albay,0500500000,717.42,694.24,713.12,596.06,477.32,511.98,93.82
"Peanut, with shell, dry",Region V,Camarines Norte,0501600000,36.64,26.74,29.90,63.94,0.00,0.52,0.00
"Peanut, with shell, dry",Region V,Camarines Sur,0501700000,101.29,106.55,105.02,114.78,327.52,430.61,24.92
"Peanut, with shell, dry",Region V,Catanduanes,0502000000,28.51,27.21,27.40,26.70,26.18,24.90,0.05
