Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Peanut,CAR,Abra,1400100000,0,0,0,0,0,1.23,0.41
Peanut,CAR,Apayao,1408100000,0,0,0,0,0,6.32,0.19
Peanut,CAR,Benguet,1401100000,0,0,0,0,0,1.00,0.00
Peanut,CAR,Ifugao,1402700000,0,0,0,0,0,7.18,1.66
Peanut,CAR,Kalinga,1403200000,0,0,0,0,0,6.30,0.50
Peanut,CAR,Mountain Province,1404400000,0,0,0,0,0,87.15,0.00
Peanut,Region I,Ilocos Norte,0102800000,0,0,0,0,0,1443.85,407.75
Peanut,Region I,Ilocos Sur,0102900000,0,0,0,0,0,1410.50,1238.00
Peanut,Region I,La Union,0103300000,0,0,0,0,0,1908.09,1162.46
Peanut,Region I,Pangasinan,0105500000,0,0,0,0,0,2645.00,1308.00
Peanut,Region II,Batanes,0200900000,0,0,0,0,0,0.28,0.02
Peanut,Region II,Cagayan,0201500000,0,0,0,0,0,1033.00,132.00
Peanut,Region II,Isabela,0203100000,0,0,0,0,0,938.77,14.95
Peanut,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,324.66,51.00
Peanut,Region II,Quirino,0205700000,0,0,0,0,0,24.33,13.00
Peanut,Region III,Aurora,0307700000,0,0,0,0,0,42.65,0.00
Peanut,Region III,Bataan,0300800000,0,0,0,0,0,86.26,34.43
Peanut,Region III,Bulacan,0301400000,0,0,0,0,0,13.75,13.75
Peanut,Region III,Nueva Ecija,0304900000,0,0,0,0,0,70.98,34.19
Peanut,Region III,Pampanga,0305400000,0,0,0,0,0,264.00,125.00
Peanut,Region III,Tarlac,0306900000,0,0,0,0,0,359.00,105.29
Peanut,Region III,Zambales,0307100000,0,0,0,0,0,2.77,0.70
Peanut,Region IV-A,Batangas,0401000000,0,0,0,0,0,41.45,13.10
Peanut,Region IV-A,Cavite,0402100000,0,0,0,0,0,105.21,0.00
Peanut,Region IV-A,Laguna,0403400000,0,0,0,0,0,6.49,0.00
Peanut,Region IV-A,Quezon,0405600000,0,0,0,0,0,331.50,160.00
Peanut,Region IV-A,Rizal,0405800000,0,0,0,0,0,26.36,15.00
Peanut,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,45.48,12.31
Peanut,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,450.43,63.75
Peanut,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,31.20,9.50
Peanut,MIMAROPA,Palawan,1705300000,0,0,0,0,0,602.76,231.61
Peanut,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.00
Peanut,MIMAROPA,Romblon,1705900000,0,0,0,0,0,92.25,31.80
Peanut,Region V,Albay,0500500000,0,0,0,0,0,385.00,45.00
Peanut,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.00,0.00
Peanut,Region V,Camarines Sur,0501700000,0,0,0,0,0,197.65,89.86
Peanut,Region V,Catanduanes,0502000000,0,0,0,0,0,0.12,0.03
Peanut,Region V,Masbate,0504100000,0,0,0,0,0,89.52,19.00
Peanut,Region V,Sorsogon,0506200000,0,0,0,0,0,13.26,0.40
Peanut,Region VI,Aklan,0600400000,0,0,0,0,0,44.04,9.12
Peanut,Region VI,Antique,0600600000,0,0,0,0,0,740.14,369.17
Peanut,Region VI,Capiz,0601900000,0,0,0,0,0,107.53,13.00
Peanut,Region VI,Guimaras,0607900000,0,0,0,0,0,20.95,8.00
Peanut,Region VI,Iloilo,0603000000,0,0,0,0,0,1852.41,525.00
Peanut,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Peanut,NIR,Negros Occidental,1804500000,0,0,0,0,0,655.00,165.00
Peanut,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.00
Peanut,NIR,Negros Oriental,1804600000,0,0,0,0,0,677.06,34.00
Peanut,NIR,Siquijor,1806100000,0,0,0,0,0,102.50,0.00
Peanut,Region VII,Bohol,0701200000,0,0,0,0,0,55.26,2.50
Peanut,Region VII,Cebu,0702200000,0,0,0,0,0,286.28,25.40
Peanut,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.00,0
Peanut,NIR,Siquijor,1806100000,0,0,0,0,0,0.00,0
Peanut,Region VIII,Biliran,0807800000,0,0,0,0,0,3.73,1.73
