Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Peanut,CAR,Abra,1400100000,,,,,,13.30,6.93
Peanut,CAR,Apayao,1408100000,,,,,,0.78,1.16
Peanut,CAR,Benguet,1401100000,,,,,,1.23,
Peanut,CAR,Ifugao,1402700000,,,,,,3.76,6.77
Peanut,CAR,Kalinga,1403200000,,,,,,1.10,1.68
Peanut,CAR,Mountain Province,1404400000,,,,,,0.41,
Peanut,Region I,Ilocos Norte,0102800000,,,,,,1.24,1.43
Peanut,Region I,Ilocos Sur,0102900000,,,,,,1.54,0.95
Peanut,Region I,La Union,0103300000,,,,,,1.36,1.79
Peanut,Region I,Pangasinan,0105500000,,,,,,1.98,1.84
Peanut,Region II,Batanes,0200900000,,,,,,1.36,2.00
Peanut,Region II,Cagayan,0201500000,,,,,,1.77,1.75
Peanut,Region II,Isabela,0203100000,,,,,,0.83,0.65
Peanut,Region II,Nueva Vizcaya,0205000000,,,,,,1.24,1.34
Peanut,Region II,Quirino,0205700000,,,,,,0.93,0.60
Peanut,Region III,Aurora,0307700000,,,,,,0.97,
Peanut,Region III,Bataan,0300800000,,,,,,1.88,0.55
Peanut,Region III,Bulacan,0301400000,,,,,,2.64,2.58
Peanut,Region III,Nueva Ecija,0304900000,,,,,,0.50,0.17
Peanut,Region III,Pampanga,0305400000,,,,,,1.29,2.01
Peanut,Region III,Tarlac,0306900000,,,,,,1.27,1.44
Peanut,Region III,Zambales,0307100000,,,,,,0.22,2.20
Peanut,Region IV-A,Batangas,0401000000,,,,,,0.95,0.62
Peanut,Region IV-A,Cavite,0402100000,,,,,,2.91,
Peanut,Region IV-A,Laguna,0403400000,,,,,,0.62,
Peanut,Region IV-A,Quezon,0405600000,,,,,,0.85,0.90
Peanut,Region IV-A,Rizal,0405800000,,,,,,1.13,0.68
Peanut,MIMAROPA,Marinduque,1704000000,,,,,,1.48,2.50
Peanut,MIMAROPA,Occidental Mindoro,1705100000,,,,,,1.51,3.19
Peanut,MIMAROPA,Oriental Mindoro,1705200000,,,,,,1.60,0.04
Peanut,MIMAROPA,Palawan,1705300000,,,,,,0.68,0.91
Peanut,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Peanut,MIMAROPA,Romblon,1705900000,,,,,,0.68,0.57
Peanut,Region V,Albay,0500500000,,,,,,1.33,2.08
Peanut,Region V,Camarines Norte,0501600000,,,,,,,
Peanut,Region V,Camarines Sur,0501700000,,,,,,2.18,0.28
Peanut,Region V,Catanduanes,0502000000,,,,,,207.50,1.67
Peanut,Region V,Masbate,0504100000,,,,,,0.51,0.26
Peanut,Region V,Sorsogon,0506200000,,,,,,0.86,1.80
Peanut,Region VI,Aklan,0600400000,,,,,,1.00,0.66
Peanut,Region VI,Antique,0600600000,,,,,,0.81,1.01
Peanut,Region VI,Capiz,0601900000,,,,,,0.66,0.72
Peanut,Region VI,Guimaras,0607900000,,,,,,2.45,1.75
Peanut,Region VI,Iloilo,0603000000,,,,,,0.62,0.66
Peanut,NIR,Negros Occidental,1804500000,,,,,,,
Peanut,NIR,Negros Occidental,1804500000,,,,,,0.61,0.78
Peanut,NIR,City of Bacolod,1830200000,,,,,,,
Peanut,NIR,Negros Oriental,1804600000,,,,,,0.34,1.32
Peanut,NIR,Siquijor,1806100000,,,,,,0.84,
Peanut,Region VII,Bohol,0701200000,,,,,,2.26,1.76
Peanut,Region VII,Cebu,0702200000,,,,,,0.93,1.15
Peanut,NIR,Negros Oriental,1804600000,,,,,,,
Peanut,NIR,Siquijor,1806100000,,,,,,,
Peanut,Region VIII,Biliran,0807800000,,,,,,2.26,2.07
Peanut,Region VIII,Eastern Samar,0802600000,,,,,,1.89,0.06
Peanut,Region VIII,Leyte,0803700000,,,,,,0.33,0.70
Peanut,Region VIII,Northern Samar,0804800000,,,,,,1.32,0.28
Peanut,Region VIII,Samar,0806000000,,,,,,0.74,
Peanut,Region VIII,Southern Leyte,0806400000,,,,,,0.37,0.19
Peanut,Region IX,Sulu,0906600000,,,,,,,0.18
Peanut,Region IX,Zamboanga del Norte,0907200000,,,,,,0.95,0.79
Peanut,Region IX,Zamboanga del Sur,0907300000,,,,,,1.82,1.48
Peanut,Region IX,City of Zamboanga,0907400000,,,,,,6.94,7.07
Peanut,Region IX,Zamboanga Sibugay,0908300000,,,,,,2.89,2.91
Peanut,Region X,Bukidnon,1001300000,,,,,,1.20,1.64
Peanut,Region X,Camiguin,1001800000,,,,,,1.81,1.46
Peanut,Region X,Lanao del Norte,1003500000,,,,,,0.42,0.48
Peanut,Region X,Misamis Occidental,1004200000,,,,,,1.64,1.01
Peanut,Region X,Misamis Oriental,1004300000,,,,,,0.45,0.23
Peanut,Region XI,Davao de Oro,1108200000,,,,,,1.21,0.84
Peanut,Region XI,Davao del Norte,1102300000,,,,,,0.57,0.64
Peanut,Region XI,Davao del Sur,1102400000,,,,,,0.96,0.79
Peanut,Region XI,City of Davao,1130700000,,,,,,1.97,0.86
Peanut,Region XI,Davao Occidental,1108600000,,,,,,0.38,0.25
Peanut,Region XI,Davao Oriental,1102500000,,,,,,1.00,0.49
Peanut,Region XII,Cotabato,1204700000,,,,,,0.80,0.58
Peanut,Region XII,Sarangani,1208000000,,,,,,1.68,2.76
Peanut,Region XII,Sultan Kudarat,1206500000,,,,,,0.89,0.75
Peanut,Region XII,South Cotabato,1206300000,,,,,,1.53,0.72
Peanut,Region XIII,Agusan del Norte,1600200000,,,,,,1.07,1.70
Peanut,Region XIII,City of Butuan,1630400000,,,,,,,1.71
Peanut,Region XIII,Agusan del Sur,1600300000,,,,,,2.05,0.16
Peanut,Region XIII,Dinagat Islands,1608500000,,,,,,0.66,1.00
Peanut,Region XIII,Surigao del Norte,1606700000,,,,,,1.00,3.20
Peanut,Region XIII,Surigao del Sur,1606800000,,,,,,11.50,8.00
Peanut,BARMM,Basilan,1900700000,,,,,,0.36,0.60
Peanut,BARMM,Lanao del Sur,1903600000,,,,,,4.12,3.97
Peanut,BARMM,Maguindanao,,,,,,,1.07,2.94
Peanut,BARMM,Maguindanao del Norte,1908700000,,,,,,1.62,
Peanut,BARMM,Maguindanao del Sur,1908800000,,,,,,0.15,0.20
Peanut,BARMM,Sulu,0906600000,,,,,,0.34,
Peanut,BARMM,Tawi-tawi,1907000000,,,,,,0.05,
