Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pechay,CAR,Abra,1400100000,0,0,0,0,0,27.86,9.51
Pechay,CAR,Apayao,1408100000,0,0,0,0,0,3.15,0.45
Pechay,CAR,Benguet,1401100000,0,0,0,0,0,2817.42,830.00
Pechay,CAR,Ifugao,1402700000,0,0,0,0,0,98.28,30.25
Pechay,CAR,Kalinga,1403200000,0,0,0,0,0,23.03,0.35
Pechay,CAR,Mountain Province,1404400000,0,0,0,0,0,268.32,21.50
Pechay,Region I,Ilocos Norte,0102800000,0,0,0,0,0,120.21,51.67
Pechay,Region I,Ilocos Sur,0102900000,0,0,0,0,0,33.07,10.06
Pechay,Region I,La Union,0103300000,0,0,0,0,0,22.90,8.97
Pechay,Region I,Pangasinan,0105500000,0,0,0,0,0,384.00,243.00
Pechay,Region II,Batanes,0200900000,0,0,0,0,0,7.28,2.90
Pechay,Region II,Cagayan,0201500000,0,0,0,0,0,480.20,210.10
Pechay,Region II,Isabela,0203100000,0,0,0,0,0,279.56,158.60
Pechay,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,220.35,54.75
Pechay,Region II,Quirino,0205700000,0,0,0,0,0,26.74,11.91
Pechay,Region III,Aurora,0307700000,0,0,0,0,0,24.27,2.21
Pechay,Region III,Bataan,0300800000,0,0,0,0,0,17.63,5.67
Pechay,Region III,Bulacan,0301400000,0,0,0,0,0,167.52,32.59
Pechay,Region III,Nueva Ecija,0304900000,0,0,0,0,0,135.00,30.00
Pechay,Region III,Pampanga,0305400000,0,0,0,0,0,83.18,35.05
Pechay,Region III,Tarlac,0306900000,0,0,0,0,0,76.50,34.00
Pechay,Region III,Zambales,0307100000,0,0,0,0,0,24.96,21.27
Pechay,Region IV-A,Batangas,0401000000,0,0,0,0,0,59.65,12.26
Pechay,Region IV-A,Cavite,0402100000,0,0,0,0,0,61.70,36.52
Pechay,Region IV-A,Laguna,0403400000,0,0,0,0,0,144.32,67.21
