Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Pili Nut,CAR,Abra,1400100000,0,0,0,0,0,0,0
Pili Nut,CAR,Apayao,1408100000,0,0,0,0,0,0,0
Pili Nut,CAR,Benguet,1401100000,0,0,0,0,0,0,0
Pili Nut,CAR,Ifugao,1402700000,0,0,0,0,0,0,0
Pili Nut,CAR,Kalinga,1403200000,0,0,0,0,0,0,0
Pili Nut,CAR,Mountain Province,1404400000,0,0,0,0,0,0,0
Pili Nut,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0,0
Pili Nut,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0,0
Pili Nut,Region I,La Union,0103300000,0,0,0,0,0,0,0
Pili Nut,Region I,Pangasinan,0105500000,0,0,0,0,0,0,0
Pili Nut,Region II,Batanes,0200900000,0,0,0,0,0,0,0
Pili Nut,Region II,Cagayan,0201500000,0,0,0,0,0,0,0
Pili Nut,Region II,Isabela,0203100000,0,0,0,0,0.08,0.08,0
Pili Nut,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,0,0
Pili Nut,Region II,Quirino,0205700000,0,0,0,0,0,0,0
Pili Nut,Region III,Aurora,0307700000,0,0,0,0,5.86,0,0.42
Pili Nut,Region III,Bataan,0300800000,0,0,0,0,0,0,0
Pili Nut,Region III,Bulacan,0301400000,0,0,0,0,0,0,0
Pili Nut,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0,0
Pili Nut,Region III,Pampanga,0305400000,0,0,0,0,0,0,0
Pili Nut,Region III,Tarlac,0306900000,0,0,0,0,0,0,0
Pili Nut,Region III,Zambales,0307100000,0,0,0,0,0,0,0
Pili Nut,Region IV-A,Batangas,0401000000,0,0,0,0,0,0,0
Pili Nut,Region IV-A,Cavite,0402100000,0,0,0,0,0,0,0
Pili Nut,Region IV-A,Laguna,0403400000,0.8,0.8,0.7,0.65,0.63,0.62,0
Pili Nut,Region IV-A,Quezon,0405600000,21.35,20.88,20.34,27.58,39.78,37.31,12.19
Pili Nut,Region IV-A,Rizal,0405800000,0,0,0,0,0.08,0.07,0.01
Pili Nut,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0,0
Pili Nut,MIMAROPA,Palawan,1705300000,2.07,2.12,1.93,1.89,1.76,1.68,0.45
Pili Nut,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0.7,0.05
Pili Nut,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0,0.06
Pili Nut,Region V,Albay,0500500000,1681.79,1533.03,1695.82,1734.35,1629.28,932.03,445.26
Pili Nut,Region V,Camarines Norte,0501600000,49.66,33.07,33.99,27.7,34.47,36.22,1.49
Pili Nut,Region V,Camarines Sur,0501700000,341.11,302.08,340.86,362.06,316.54,311.62,30.52
Pili Nut,Region V,Catanduanes,0502000000,9.51,6.31,8.43,8.43,9.07,7.78,0.57
