Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Piña,CAR,Abra,1400100000,,,,,,,
Piña,CAR,Apayao,1408100000,,,,,,,
Piña,CAR,Benguet,1401100000,,,,,,,
Piña,CAR,Ifugao,1402700000,,,,,,,
Piña,CAR,Kalinga,1403200000,,,,,,,
Piña,CAR,Mountain Province,1404400000,,,,,,,
Piña,Region I,Ilocos Norte,0102800000,,,,,,,
Piña,Region I,Ilocos Sur,0102900000,,,,,,,
Piña,Region I,La Union,0103300000,,,,,,,
Piña,Region I,Pangasinan,0105500000,,,,,,,
Piña,Region II,Batanes,0200900000,,,,,,,
Piña,Region II,Cagayan,0201500000,,,,,,,
Piña,Region II,Isabela,0203100000,,,,,,,
Piña,Region II,Nueva Vizcaya,0205000000,,,,,,,
Piña,Region II,Quirino,0205700000,,,,,,,
Piña,Region III,Aurora,0307700000,,,,,,,
Piña,Region III,Bataan,0300800000,,,,,,,
Piña,Region III,Bulacan,0301400000,,,,,,,
Piña,Region III,Nueva Ecija,0304900000,,,,,,,
Piña,Region III,Pampanga,0305400000,,,,,,,
Piña,Region III,Tarlac,0306900000,,,,,,,
Piña,Region III,Zambales,0307100000,,,,,,,
Piña,Region IV-A,Batangas,0401000000,,,,,,,
Piña,Region IV-A,Cavite,0402100000,,,,,,,
Piña,Region IV-A,Laguna,0403400000,,,,,,,
Piña,Region IV-A,Quezon,0405600000,,,,,,,
Piña,Region IV-A,Rizal,0405800000,,,,,,,
Piña,MIMAROPA,Marinduque,1704000000,,,,,,,
Piña,MIMAROPA,Occidental Mindoro,1705100000,,,,,,,
Piña,MIMAROPA,Oriental Mindoro,1705200000,,,,,,,
Piña,MIMAROPA,Palawan,1705300000,,,,,,0.25464912,0.06500000
Piña,MIMAROPA,Romblon,1705900000,,,,,,,
Piña,MIMAROPA,City of Puerto Princesa,1731500000,,,,,,,
Piña,Region V,Albay,0500500000,,,,,,,
Piña,Region V,Camarines Norte,0501600000,,,,,,,
Piña,Region V,Camarines Sur,0501700000,,,,,,,
Piña,Region V,Catanduanes,0502000000,,,,,,,
Piña,Region V,Masbate,0504100000,,,,,,,
Piña,Region V,Sorsogon,0506200000,,,,,,,
Piña,Region VI,Aklan,0600400000,,,,,,0.45833333,0.13238095
Piña,Region VI,Antique,0600600000,,,,,,,
Piña,Region VI,Capiz,0601900000,,,,,,,
Piña,Region VI,Guimaras,0607900000,,,,,,0.71600000,0.74626866
Piña,Region VI,Iloilo,0603000000,,,,,,,
Piña,NIR,Negros Occidental,1804500000,,,,,,,
Piña,NIR,Negros Occidental,1804500000,,,,,,0.36666667,0.11666667
Piña,NIR,Negros Oriental,1804600000,,,,,,,
Piña,NIR,Siquijor,1806100000,,,,,,,
Piña,NIR,City of Bacolod,1830200000,,,,,,,
Piña,Region VII,Bohol,0701200000,,,,,,,
Piña,Region VII,Cebu,0702200000,,,,,,,
Piña,NIR,Negros Oriental,1804600000,,,,,,,
Piña,NIR,Siquijor,1806100000,,,,,,,
Piña,Region VIII,Biliran,0807800000,,,,,,,
Piña,Region VIII,Eastern Samar,0802600000,,,,,,,
Piña,Region VIII,Leyte,0803700000,,,,,,,
Piña,Region VIII,Northern Samar,0804800000,,,,,,,
Piña,Region VIII,Samar,0806000000,,,,,,,
Piña,Region VIII,Southern Leyte,0806400000,,,,,,,
Piña,Region IX,Sulu,0906600000,,,,,,,
Piña,Region IX,Zamboanga del Norte,0907200000,,,,,,,
Piña,Region IX,Zamboanga del Sur,0907300000,,,,,,,
Piña,Region IX,Zamboanga Sibugay,0908300000,,,,,,,
Piña,Region IX,City of Zamboanga,0907400000,,,,,,,
Piña,Region X,Bukidnon,1001300000,,,,,,,
Piña,Region X,Camiguin,1001800000,,,,,,,
Piña,Region X,Lanao del Norte,1003500000,,,,,,,
Piña,Region X,Misamis Occidental,1004200000,,,,,,,
Piña,Region X,Misamis Oriental,1004300000,,,,,,,
Piña,Region XI,Davao de Oro,1108200000,,,,,,,
Piña,Region XI,Davao del Norte,1102300000,,,,,,,
Piña,Region XI,Davao del Sur,1102400000,,,,,,,
Piña,Region XI,Davao Occidental,1108600000,,,,,,,
Piña,Region XI,Davao Oriental,1102500000,,,,,,,
Piña,Region XI,City of Davao,1130700000,,,,,,,
Piña,Region XII,Cotabato,1204700000,,,,,,,
Piña,Region XII,Sarangani,1208000000,,,,,,,
Piña,Region XII,Sultan Kudarat,1206500000,,,,,,,
Piña,Region XII,South Cotabato,1206300000,,,,,,,
Piña,Region XIII,Agusan del Norte,1600200000,,,,,,,
Piña,Region XIII,Agusan del Sur,1600300000,,,,,,,
Piña,Region XIII,Dinagat Islands,1608500000,,,,,,,
Piña,Region XIII,Surigao del Norte,1606700000,,,,,,,
Piña,Region XIII,Surigao del Sur,1606800000,,,,,,,
Piña,Region XIII,City of Butuan,1630400000,,,,,,,
Piña,BARMM,Basilan,1900700000,,,,,,,
Piña,BARMM,Lanao del Sur,1903600000,,,,,,15.86312849,
Piña,BARMM,Maguindanao,1908800000,,,,,,,
Piña,BARMM,Maguindanao del Norte,1908700000,,,,,,,
Piña,BARMM,Maguindanao del Sur,1908800000,,,,,,,
Piña,BARMM,Sulu,0906600000,,,,,,,
Piña,BARMM,Tawi-tawi,1907000000,,,,,,,
