Commodity Type,Region,Province,ADM2_PCODE,2020,2021,2022,2023,2024,2025,2026
Potato,CAR,Abra,1400100000,0,0,0,0,0,0.10,0.00
Potato,CAR,Apayao,1408100000,0,0,0,0,0,0.00,0.00
Potato,CAR,Benguet,1401100000,0,0,0,0,0,3914.00,750.00
Potato,CAR,Ifugao,1402700000,0,0,0,0,0,0.38,0.00
Potato,CAR,Kalinga,1403200000,0,0,0,0,0,0.00,0.00
Potato,CAR,Mountain Province,1404400000,0,0,0,0,0,738.15,99.50
Potato,Region I,Ilocos Norte,0102800000,0,0,0,0,0,0.00,0.00
Potato,Region I,Ilocos Sur,0102900000,0,0,0,0,0,0.00,0.00
Potato,Region I,La Union,0103300000,0,0,0,0,0,0.00,0.00
Potato,Region I,Pangasinan,0105500000,0,0,0,0,0,0.00,0.00
Potato,Region II,Batanes,0200900000,0,0,0,0,0,0.20,0.00
Potato,Region II,Cagayan,0201500000,0,0,0,0,0,0.00,0.00
Potato,Region II,Isabela,0203100000,0,0,0,0,0,0.00,0.00
Potato,Region II,Nueva Vizcaya,0205000000,0,0,0,0,0,84.17,52.00
Potato,Region II,Quirino,0205700000,0,0,0,0,0,0.80,0.00
Potato,Region III,Aurora,0307700000,0,0,0,0,0,0.00,0.00
Potato,Region III,Bataan,0300800000,0,0,0,0,0,0.00,0.00
Potato,Region III,Bulacan,0301400000,0,0,0,0,0,0.00,0.00
Potato,Region III,Nueva Ecija,0304900000,0,0,0,0,0,0.00,0.00
Potato,Region III,Pampanga,0305400000,0,0,0,0,0,0.00,0.00
Potato,Region III,Tarlac,0306900000,0,0,0,0,0,0.00,0.00
Potato,Region III,Zambales,0307100000,0,0,0,0,0,0.00,0.00
Potato,Region IV-A,Batangas,0401000000,0,0,0,0,0,0.00,0.00
Potato,Region IV-A,Cavite,0402100000,0,0,0,0,0,0.00,0.00
Potato,Region IV-A,Laguna,0403400000,0,0,0,0,0,0.00,0.00
Potato,Region IV-A,Quezon,0405600000,0,0,0,0,0,0.02,0.00
Potato,Region IV-A,Rizal,0405800000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,Marinduque,1704000000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,Occidental Mindoro,1705100000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,Oriental Mindoro,1705200000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,Palawan,1705300000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,City of Puerto Princesa,1731500000,0,0,0,0,0,0.00,0.00
Potato,MIMAROPA,Romblon,1705900000,0,0,0,0,0,0.00,0.00
Potato,Region V,Albay,0500500000,0,0,0,0,0,0.00,0.00
Potato,Region V,Camarines Norte,0501600000,0,0,0,0,0,0.00,0.00
Potato,Region V,Camarines Sur,0501700000,0,0,0,0,0,0.00,0.11
Potato,Region V,Catanduanes,0502000000,0,0,0,0,0,0.08,0.00
Potato,Region V,Masbate,0504100000,0,0,0,0,0,0.00,0.00
Potato,Region V,Sorsogon,0506200000,0,0,0,0,0,0.00,0.00
Potato,Region VI,Aklan,0600400000,0,0,0,0,0,0.00,0.00
Potato,Region VI,Antique,0600600000,0,0,0,0,0,1.03,0.00
Potato,Region VI,Capiz,0601900000,0,0,0,0,0,0.00,0.00
Potato,Region VI,Guimaras,0607900000,0,0,0,0,0,0.00,0.00
Potato,Region VI,Iloilo,0603000000,0,0,0,0,0,0.00,0.00
Potato,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0
Potato,NIR,Negros Occidental,1804500000,0,0,0,0,0,0.00,0.00
Potato,NIR,City of Bacolod,1830200000,0,0,0,0,0,0.00,0.00
Potato,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.82,0.18
Potato,NIR,Siquijor,1806100000,0,0,0,0,0,0.00,0.00
Potato,Region VII,Bohol,0701200000,0,0,0,0,0,0.00,0.00
Potato,Region VII,Cebu,0702200000,0,0,0,0,0,0.00,0.00
Potato,NIR,Negros Oriental,1804600000,0,0,0,0,0,0.00,0
Potato,NIR,Siquijor,1806100000,0,0,0,0,0,0.00,0
Potato,Region VIII,Biliran,0807800000,0,0,0,0,0,0.00,0.00
Potato,Region VIII,Eastern Samar,0802600000,0,0,0,0,0,0.00,0.00
Potato,Region VIII,Leyte,0803700000,0,0,0,0,0,0.00,0.00
Potato,Region VIII,Northern Samar,0804800000,0,0,0,0,0,0.00,0.00
Potato,Region VIII,Samar,0806000000,0,0,0,0,0,0.00,0.00
Potato,Region VIII,Southern Leyte,0806400000,0,0,0,0,0,0.00,0.00
Potato,Region IX,Sulu,0906600000,0,0,0,0,0,0.00,0.00
Potato,Region IX,Zamboanga del Norte,0907200000,0,0,0,0,0,0.00,0.00
Potato,Region IX,Zamboanga del Sur,0907300000,0,0,0,0,0,0.00,0.00
Potato,Region IX,City of Zamboanga,0907400000,0,0,0,0,0,0.00,0.00
Potato,Region IX,Zamboanga Sibugay,0908300000,0,0,0,0,0,0.00,0.00
Potato,Region X,Bukidnon,1001300000,0,0,0,0,0,511.97,114.24
Potato,Region X,Camiguin,1001800000,0,0,0,0,0,0.00,0.00
Potato,Region X,Lanao del Norte,1003500000,0,0,0,0,0,0.00,6.70
Potato,Region X,Misamis Occidental,1004200000,0,0,0,0,0,0.00,0.00
Potato,Region X,Misamis Oriental,1004300000,0,0,0,0,0,1.76,1.67
Potato,Region XI,Davao de Oro,1108200000,0,0,0,0,0,0.00,0.00
Potato,Region XI,Davao del Norte,1102300000,0,0,0,0,0,0.08,0.02
Potato,Region XI,Davao del Sur,1102400000,0,0,0,0,0,1299.76,624.61
Potato,Region XI,City of Davao,1130700000,0,0,0,0,0,2.16,0.72
Potato,Region XI,Davao Occidental,1108600000,0,0,0,0,0,0.00,0.00
Potato,Region XI,Davao Oriental,1102500000,0,0,0,0,0,0.00,0.00
Potato,Region XII,Cotabato,1204700000,0,0,0,0,0,7.45,3.75
Potato,Region XII,Sarangani,1208000000,0,0,0,0,0,0.15,0.10
Potato,Region XII,Sultan Kudarat,1206500000,0,0,0,0,0,0.00,0.00
Potato,Region XII,South Cotabato,1206300000,0,0,0,0,0,24.32,5.52
Potato,Region XIII,Agusan del Norte,1600200000,0,0,0,0,0,0.20,0.00
Potato,Region XIII,City of Butuan,1630400000,0,0,0,0,0,0.00,0.00
Potato,Region XIII,Agusan del Sur,1600300000,0,0,0,0,0,0.00,0.00
Potato,Region XIII,Dinagat Islands,1608500000,0,0,0,0,0,0.00,0.00
Potato,Region XIII,Surigao del Norte,1606700000,0,0,0,0,0,0.00,0.00
Potato,Region XIII,Surigao del Sur,1606800000,0,0,0,0,0,0.00,0.00
Potato,BARMM,Basilan,1900700000,0,0,0,0,0,0.00,0.00
Potato,BARMM,Lanao del Sur,1903600000,0,0,0,0,0,66.59,18.50
Potato,BARMM,Maguindanao,,0,0,0,0,0,45.62,17.81
Potato,BARMM,Maguindanao del Norte,1908700000,0,0,0,0,0,20.00,5.00
Potato,BARMM,Maguindanao del Sur,1908800000,0,0,0,0,0,25.62,12.81
Potato,BARMM,Sulu,0906600000,0,0,0,0,0,0.00,0
Potato,BARMM,Tawi-tawi,1907000000,0,0,0,0,0,1.00,0.00
